Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public boolean com.zaxxer.hikari.HikariConfig.isJdbc4ConnectionTest()",14362,14524,162,"1.13%",0.6089980070389688,0.5699262282216293,-0.039071778817339475,"-6.42%"
"public boolean com.zaxxer.hikari.HikariConfig.isReadOnly()",11461,6298,-5163,"-45.05%",0.48598566764194545,0.24713545754198712,-0.23885021009995833,"-49.15%"
"public boolean com.zaxxer.hikari.HikariConfig.isAutoCommit()",4093,4028,-65,"-1.59%",0.17355722342365262,0.15805995919008006,-0.01549726423357256,"-8.93%"
"public java.util.Properties com.zaxxer.hikari.HikariConfig.getDataSourceProperties()",9973,13351,3378,"33.87%",0.42288936946105243,0.5238973473552032,0.10100797789415078,"23.89%"
"public void com.zaxxer.hikari.HikariConfig.setRegisterMbeans(boolean)",4468,6935,2467,"55.21%",0.1894585082474664,0.2721315335112227,0.0826730252637563,"43.64%"
"public void com.zaxxer.hikari.HikariConfig.setMaxLifetime(long)",6438,5364,-1074,"-16.68%",0.2729932578552347,0.21048501020247998,-0.06250824765275473,"-22.9%"
"public void com.zaxxer.hikari.HikariConfig.setConnectionCustomizerClassName(java.lang.String)",5095,3972,-1123,"-22.04%",0.216045456472883,0.15586250196201537,-0.06018295451086764,"-27.86%"
"public void com.zaxxer.hikari.HikariConfig.setDataSource(javax.sql.DataSource)",8203,5792,-2411,"-29.39%",0.3478353050926515,0.22727986187411708,-0.1205554432185344,"-34.66%"
"public long com.zaxxer.hikari.HikariConfig.getConnectionTimeout()",9420,8471,-949,"-10.07%",0.39944027477420174,0.33240464605242503,-0.06703562872177671,"-16.78%"
"public boolean com.zaxxer.hikari.HikariConfig.isRegisterMbeans()",4128,3264,-864,"-20.93%",0.17504134334054192,0.12808036415005494,-0.04696097919048697,"-26.83%"
"public void com.zaxxer.hikari.HikariConfig.setDriverClassName(java.lang.String)",760,762,2,"0.26%",0.0322266039095959,0.02990111442473709,-0.0023254894848588094,"-7.22%"
"public long com.zaxxer.hikari.HikariConfig.getIdleTimeout()",3554,2674,-880,"-24.76%",0.15070177670355764,0.10492858264008789,-0.045773194063469747,"-30.37%"
"public long com.zaxxer.hikari.HikariConfig.getLeakDetectionThreshold()",2921,4710,1789,"61.25%",0.12386040792096001,0.18482184900329618,0.06096144108233617,"49.22%"
"public boolean com.zaxxer.hikari.HikariConfig.isIsolateInternalQueries()",3429,3312,-117,"-3.41%",0.14540134842895305,0.1299638989169675,-0.015437449511985557,"-10.62%"
"public void com.zaxxer.hikari.HikariConfig.setCatalog(java.lang.String)",3771,3958,187,"4.96%",0.15990332018827122,0.1553131376549992,-0.004590182533272008,"-2.87%"
"public void com.zaxxer.hikari.HikariConfig.setIdleTimeout(long)",3829,3454,-375,"-9.79%",0.16236271890768775,0.1355360226024172,-0.026826696305270542,"-16.52%"
"public void com.zaxxer.hikari.HikariConfig.setConnectionTestQuery(java.lang.String)",4542,6869,2327,"51.23%",0.19259636178603232,0.26954167320671796,0.07694531142068564,"39.95%"
"public void com.zaxxer.hikari.HikariConfig.setAutoCommit(boolean)",5145,6964,1819,"35.35%",0.21816562778272486,0.27326950243289905,0.05510387465017419,"25.26%"
"public void com.zaxxer.hikari.HikariConfig.addDataSourceProperty(java.lang.String|java.lang.Object)",3232,4537,1305,"40.38%",0.13704787346817623,0.17803327578088213,0.04098540231270589,"29.91%"
"public void com.zaxxer.hikari.HikariConfig.setDataSourceProperties(java.util.Properties)",6315,8257,1942,"30.75%",0.26777763643302377,0.3240072202166065,0.056229583783582726,"21.0%"
"public void com.zaxxer.hikari.HikariConfig.setInitializationFailFast(boolean)",3483,6980,3497,"100.4%",0.14769113344358223,0.27389734735520327,0.12620621391162104,"85.45%"
"public void com.zaxxer.hikari.HikariConfig.setJdbc4ConnectionTest(boolean)",3281,2704,-577,"-17.59%",0.13912564135182123,0.10610579186940826,-0.033019849482412975,"-23.73%"
"public void com.zaxxer.hikari.HikariConfig.setJdbcUrl(java.lang.String)",9367,12037,2670,"28.5%",0.3971928931857694,0.47233558311097157,0.07514268992520218,"18.92%"
"public java.lang.String com.zaxxer.hikari.HikariConfig.getConnectionTestQuery()",3062,6932,3870,"126.39%",0.12983929101471398,0.2720138125882907,0.14217452157357674,"109.5%"
"public void com.zaxxer.hikari.HikariConfig.setLeakDetectionThreshold(long)",6320,7817,1497,"23.69%",0.26798965356400795,0.30674148485324126,0.03875183128923332,"14.46%"
"public void com.zaxxer.hikari.HikariConfig.setUseInstrumentation(boolean)",3111,4458,1347,"43.3%",0.13191705889835897,0.17493329147700518,0.0430162325786462,"32.61%"
"public void com.zaxxer.hikari.HikariConfig.setPoolName(java.lang.String)",3297,3605,308,"9.34%",0.13980409617097062,0.14146130905666301,0.0016572128856923996,"1.19%"
"public java.lang.String com.zaxxer.hikari.HikariConfig.getJdbcUrl()",3299,4065,766,"23.22%",0.1398889030233643,0.15951185057290848,0.01962294754954419,"14.03%"
"public java.lang.String com.zaxxer.hikari.HikariConfig.getConnectionCustomizerClassName()",10561,3629,-6932,"-65.64%",0.4478225840647924,0.1424030764401193,-0.3054195076246731,"-68.2%"
"public void com.zaxxer.hikari.HikariConfig.setIsolateInternalQueries(boolean)",4128,4230,102,"2.47%",0.17504134334054192,0.16598650133417045,-0.009054842006371466,"-5.17%"
"public void com.zaxxer.hikari.HikariConfig.setConnectionInitSql(java.lang.String)",7719,16420,8701,"112.72%",0.3273120468133825,0.6443258515146759,0.3170138047012934,"96.85%"
"public void com.zaxxer.hikari.HikariConfig.setDataSourceClassName(java.lang.String)",4050,4118,68,"1.68%",0.17173387609718865,0.16159158687804112,-0.010142289219147532,"-5.91%"
"public int com.zaxxer.hikari.HikariConfig.getMaximumPoolSize()",4935,3616,-1319,"-26.73%",0.20926090828138913,0.14189295244074712,-0.06736795584064201,"-32.19%"
"public long com.zaxxer.hikari.HikariConfig.getMaxLifetime()",8439,3634,-4805,"-56.94%",0.35784251367510495,0.14259927797833935,-0.2152432356967656,"-60.15%"
"public java.lang.String com.zaxxer.hikari.HikariConfig.getDataSourceClassName()",4802,6584,1782,"37.11%",0.20362125259720987,0.2583581855281745,0.054736932930964655,"26.88%"
"public int com.zaxxer.hikari.HikariConfig.getAcquireRetries()",5906,5567,-339,"-5.74%",0.2504346351185176,0.2184507926542144,-0.03198384246430319,"-12.77%"
"public void com.zaxxer.hikari.HikariConfig.validate()",992,931,-61,"-6.15%",0.04206419878726201,0.03653272641657511,-0.0055314723706869,"-13.15%"
"public void com.zaxxer.hikari.HikariConfig.setTransactionIsolation(java.lang.String)",3685,15954,12269,"332.94%",0.15625662553534325,0.6260398681525663,0.46978324261722304,"300.65%"
"public void com.zaxxer.hikari.HikariConfig.setAcquireRetries(int)",2804,3142,338,"12.05%",0.11889920705593011,0.12329304661748548,0.004393839561555368,"3.7%"
"public void com.zaxxer.hikari.HikariConfig.setMaximumPoolSize(int)",2804,3674,870,"31.03%",0.11889920705593011,0.14416889028409982,0.025269683228169706,"21.25%"
"public final native java.lang.Class java.lang.Object.getClass()",819,786,-33,"-4.03%",0.034728406055209264,0.030842881808193376,-0.0038855242470158882,"-11.19%"
"public int com.zaxxer.hikari.HikariConfig.getMinimumPoolSize()",4688,2191,-2497,"-53.26%",0.19878726201077046,0.08597551404803014,-0.11281174796274032,"-56.75%"
"public java.lang.String com.zaxxer.hikari.HikariConfig.getConnectionInitSql()",8760,5050,-3710,"-42.35%",0.3714540134842895,0.19816355360226023,-0.1732904598820293,"-46.65%"
"public java.lang.String com.zaxxer.hikari.HikariConfig.getPoolName()",2707,2982,275,"10.16%",0.11478607471483696,0.11701459739444357,0.0022285226796066177,"1.94%"
"public javax.sql.DataSource com.zaxxer.hikari.HikariConfig.getDataSource()",4426,9967,5541,"125.19%",0.18767756434719926,0.3911081462878669,0.20343058194066763,"108.39%"
"public void com.zaxxer.hikari.HikariConfig.setAcquireRetryDelay(long)",3372,6306,2934,"87.01%",0.14298435313573338,0.24744938000313924,0.10446502686740586,"73.06%"
"public java.lang.String com.zaxxer.hikari.HikariConfig.getCatalog()",5502,16479,10977,"199.51%",0.23330365093499555,0.6466410296656726,0.41333737873067705,"177.17%"
"public void com.zaxxer.hikari.HikariConfig.setAcquireIncrement(int)",2957,3296,339,"11.46%",0.12538693126404613,0.12933605399466333,0.003949122730617205,"3.15%"
"public long com.zaxxer.hikari.HikariConfig.getAcquireRetryDelay()",4460,4417,-43,"-0.96%",0.1891192808378917,0.1733244388636007,-0.015794841974291013,"-8.35%"
"public int com.zaxxer.hikari.HikariConfig.getTransactionIsolation()",2568,3311,743,"28.93%",0.10889199847347665,0.1299246586093235,0.021032660135846856,"19.32%"
"public void com.zaxxer.hikari.HikariConfig.setReadOnly(boolean)",7622,5539,-2083,"-27.33%",0.3231989144722894,0.21735206404018206,-0.10584685043210731,"-32.75%"
"com.zaxxer.hikari.HikariConfig(java.lang.String)",608,1543,935,"153.78%",0.025781283127676715,0.06054779469471041,0.0347665115670337,"134.85%"
"com.zaxxer.hikari.HikariConfig()",30658,13427,-17231,"-56.2%",1.3000042403426197,0.5268796107361482,-0.7731246296064715,"-59.47%"
"com.zaxxer.hikari.HikariConfig(java.util.Properties)",9991,40431,30440,"304.67%",0.4236526311325955,1.5865248783550463,1.1628722472224509,"274.49%"
"public void com.zaxxer.hikari.HikariConfig.setMinimumPoolSize(int)",3530,3994,464,"13.14%",0.14968409447483358,0.15672578873018364,0.007041694255350062,"4.7%"
"public void com.zaxxer.hikari.HikariConfig.setConnectionTimeout(long)",2827,1447,-1380,"-48.81%",0.11987448585845736,0.05678072516088526,-0.06309376069757211,"-52.63%"
"public int com.zaxxer.hikari.HikariConfig.getAcquireIncrement()",9508,3614,-5894,"-61.99%",0.4031717762795234,0.14181447182545912,-0.26135730445406424,"-64.83%"
"public boolean com.zaxxer.hikari.HikariConfig.isInitializationFailFast()",15631,4313,-11318,"-72.41%",0.6628079548827546,0.16924344686862344,-0.4935645080141311,"-74.47%"
"java.lang.Object()",0,1,1,"INF%",0.0,3.924030764401193e-05,3.924030764401193e-05,"INF%"
