Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public void org.opentripplanner.routing.spt.AbstractShortestPathTree.postVisit(org.opentripplanner.routing.core.State)",14575,44574,29999,"205.83%",0.8512440135498189,2.5081026333558407,1.6568586198060218,"194.64%"
"public java.util.List org.opentripplanner.routing.spt.MultiShortestPathTree.getStates(org.opentripplanner.routing.graph.Vertex)",12641,15316,2675,"21.16%",0.738289919401939,0.8618050866531622,0.12351516725122325,"16.73%"
"public static double org.opentripplanner.routing.spt.MultiShortestPathTree.WEIGHT_EPSILON",38,1,-37,"-97.37%",0.0022193668963906084,5.6268287193337834e-05,-0.0021630986091972708,"-97.46%"
"public org.opentripplanner.routing.spt.GraphPath org.opentripplanner.routing.spt.AbstractShortestPathTree.getPath(org.opentripplanner.routing.graph.Vertex|boolean)",10909,21209,10300,"94.42%",0.6371335124401355,1.1933941030835022,0.5562605906433667,"87.31%"
"public java.util.List org.opentripplanner.routing.spt.AbstractShortestPathTree.getPaths()",1802,1864,62,"3.44%",0.10524471440252307,0.10488408732838173,-0.0003606270741413481,"-0.34%"
"public java.util.Map org.opentripplanner.routing.spt.MultiShortestPathTree.stateSets",37704,26606,-11098,"-29.43%",2.202079196355566,1.4970740490659464,-0.7050051472896195,"-32.02%"
"public java.util.List org.opentripplanner.routing.spt.AbstractShortestPathTree.getPaths(org.opentripplanner.routing.graph.Vertex|boolean)",12366,21627,9261,"74.89%",0.7222287115991123,1.2169142471303174,0.4946855355312051,"68.49%"
"org.opentripplanner.routing.core.State(org.opentripplanner.routing.graph.Vertex| org.opentripplanner.routing.graph.Edge| long| org.opentripplanner.routing.core.RoutingRequest)",27,26,-1,"-3.7%",0.0015769185842775377,0.0014629754670267836,-0.00011394311725075406,"-7.23%"
"org.opentripplanner.routing.core.State(org.opentripplanner.routing.graph.Vertex| org.opentripplanner.routing.core.RoutingRequest)",1,1,0,"0.0%",5.8404392010279176e-05,5.6268287193337834e-05,-2.136104816941342e-06,"-3.66%"
"org.opentripplanner.routing.core.State(org.opentripplanner.routing.graph.Vertex| long| org.opentripplanner.routing.core.RoutingRequest)",27,26,-1,"-3.7%",0.0015769185842775377,0.0014629754670267836,-0.00011394311725075406,"-7.23%"
"org.opentripplanner.routing.core.State(org.opentripplanner.routing.core.RoutingRequest)",1,1,0,"0.0%",5.8404392010279176e-05,5.6268287193337834e-05,-2.136104816941342e-06,"-3.66%"
"public static double org.opentripplanner.routing.spt.MultiShortestPathTree.WALK_DIST_EPSILON",1,38,37,"3700.0%",5.8404392010279176e-05,0.0021381949133468378,0.0020797905213365588,"3561.02%"
"public static boolean org.opentripplanner.routing.spt.MultiShortestPathTree.dominates(org.opentripplanner.routing.core.State|org.opentripplanner.routing.core.State)",1,1,0,"0.0%",5.8404392010279176e-05,5.6268287193337834e-05,-2.136104816941342e-06,"-3.66%"
"public final native java.lang.Class java.lang.Object.getClass()",1880,1919,39,"2.07%",0.10980025697932484,0.1079788431240153,-0.0018214138553095394,"-1.66%"
"public final org.opentripplanner.routing.core.RoutingRequest org.opentripplanner.routing.spt.AbstractShortestPathTree.options",17184,16023,-1161,"-6.76%",1.0036210723046373,0.9015867656988521,-0.10203430660578516,"-10.17%"
"public static int org.opentripplanner.routing.spt.MultiShortestPathTree.TIME_DIFF_MARGIN",1,20,19,"1900.0%",5.8404392010279176e-05,0.0011253657438667567,0.0010669613518564775,"1826.85%"
"public org.opentripplanner.routing.core.RoutingRequest org.opentripplanner.routing.spt.AbstractShortestPathTree.getOptions()",13268,19189,5921,"44.63%",0.774909473192384,1.0797321629529597,0.3048226897605757,"39.34%"
"public java.util.Set org.opentripplanner.routing.spt.MultiShortestPathTree.getVertices()",13689,14896,1207,"8.82%",0.7994977222287116,0.8381724060319604,0.03867468380324879,"4.84%"
"public java.lang.String org.opentripplanner.routing.spt.MultiShortestPathTree.toString()",53052,36806,-16246,"-30.62%",3.098469804929331,2.0710105784379924,-1.0274592264913385,"-33.16%"
"public boolean org.opentripplanner.routing.spt.MultiShortestPathTree.visit(org.opentripplanner.routing.core.State)",1836,1868,32,"1.74%",0.10723046373087256,0.10510916047715507,-0.0021213032537174825,"-1.98%"
"public static long org.opentripplanner.routing.spt.MultiShortestPathTree.serialVersionUID",27,26,-1,"-3.7%",0.0015769185842775377,0.0014629754670267836,-0.00011394311725075406,"-7.23%"
"public org.opentripplanner.routing.core.State org.opentripplanner.routing.spt.MultiShortestPathTree.getState(org.opentripplanner.routing.graph.Vertex)",16697,19170,2473,"14.81%",0.9751781333956313,1.0786630654962863,0.10348493210065501,"10.61%"
"public int org.opentripplanner.routing.spt.MultiShortestPathTree.getVertexCount()",19360,22813,3453,"17.84%",1.1307090293190047,1.283648435741616,0.15293940642261128,"13.53%"
"java.lang.Object()",1,1,0,"0.0%",5.8404392010279176e-05,5.6268287193337834e-05,-2.136104816941342e-06,"-3.66%"
"public static double org.opentripplanner.routing.spt.MultiShortestPathTree.TIME_EPSILON",38,38,0,"0.0%",0.0022193668963906084,0.0021381949133468378,-8.117198304377063e-05,"-3.66%"
