Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.String,27067,7940,-19127,"-70.67%",2,2,0,"0.0%",1.4391216503615483,0.5391823984788809,-0.8999392518826673,"-62.53%",0.00010633772862611655,0.00013581420616596497,2.9476477539848418e-05,"27.72%"
class java.util.Comparator$$Lambda$204/1408912858,10265,0,-10265,"-INF%",1,0,-1,"-INF%",0.5457783921735432,0.0,-0.5457783921735432,"-INF%",5.3168864313058275e-05,0.0,-5.3168864313058275e-05,"-INF%"
class java.lang.Long,38967,27261,-11706,"-30.04%",9,9,0,"0.0%",2.0718311356869417,1.8512155371451855,-0.22061559854175616,"-10.65%",0.00047851977881752447,0.0006111639277468423,0.00013264414892931784,"27.72%"
class java.util.concurrent.atomic.AtomicBoolean,7945,11562,3617,"45.53%",2,2,0,"0.0%",0.422426626967248,0.7851419258454434,0.3627152988781954,"85.86%",0.00010633772862611655,0.00013581420616596497,2.9476477539848418e-05,"27.72%"
class java.lang.Integer,8592,17398,8806,"102.49%",3,3,0,"0.0%",0.45682688217779666,1.1814477794377292,0.7246208972599325,"158.62%",0.00015950659293917482,0.00020372130924894744,4.421471630977261e-05,"27.72%"
class java.util.Collections$ReverseComparator2,11980,6758,-5222,"-43.59%",10647,5710,-4937,"-46.37%",0.6369629944704381,0.4589162026347956,-0.17804679183564254,"-27.95%",0.5660888983411314,0.38774955860383,-0.17833933973730143,"-31.5%"
class rx.concurrency.TestScheduler,20783,59356,38573,"185.6%",17001,41042,24041,"141.41%",1.10500850701829,4.030694010593508,2.9256855035752176,"264.77%",0.9039238621863037,2.787043324731767,1.8831194625454633,"208.33%"
class rx.concurrency.TestScheduler$TimedAction,27534,62853,35319,"128.27%",27534,62853,35319,"128.27%",1.4639515099957465,4.268165150074698,2.8042136400789515,"191.55%",1.4639515099957465,4.268165150074698,2.8042136400789515,"191.55%"
class java.lang.Class,1021,2448,1427,"139.76%",8,9,1,"12.5%",0.0542854104636325,0.1662365883471411,0.11195117788350861,"206.23%",0.0004253509145044662,0.0006111639277468423,0.0001858130132423761,"43.68%"
class rx.concurrency.TestScheduler$CompareActionsByTime,14908,21870,6962,"46.7%",1,1,0,"0.0%",0.7926414291790728,1.4851283444248269,0.6924869152457541,"87.36%",5.3168864313058275e-05,6.790710308298248e-05,1.4738238769924209e-05,"27.72%"
class java.util.PriorityQueue,16596,6623,-9973,"-60.09%",11409,5004,-6405,"-56.14%",0.882390472139515,0.44974874371859297,-0.4326417284209221,"-49.03%",0.6066035729476819,0.3398071438272443,-0.26679642912043755,"-43.98%"
class rx.concurrency.TestScheduler$1,26894,13370,-13524,"-50.29%",1,1,0,"0.0%",1.4299234368353892,0.9079179682194758,-0.5220054686159135,"-36.51%",5.3168864313058275e-05,6.790710308298248e-05,1.4738238769924209e-05,"27.72%"
class java.util.Comparator$$Lambda$207/1423291368,0,8973,8973,"INF%",0,1,1,"INF%",0.0,0.6093304359636018,0.6093304359636018,"INF%",0.0,6.790710308298248e-05,6.790710308298248e-05,"INF%"
