Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public org.activiti.engine.impl.persistence.entity.DeploymentEntityManager org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectDeploymentEntityManager13() throws java.io.IOException",2,2,0,"0.0%",0.0009765625,0.0010335917312661498,5.7029231266149784e-05,"5.84%"
"public org.activiti.engine.impl.persistence.entity.DeploymentEntityManager org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectDeploymentEntityManager14() throws java.io.IOException",1,1,0,"0.0%",0.00048828125,0.0005167958656330749,2.8514615633074892e-05,"5.84%"
"public java.lang.String org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectString941() throws java.io.IOException",2,1,-1,"-50.0%",0.0009765625,0.0005167958656330749,-0.0004597666343669251,"-47.08%"
"public org.activiti.engine.impl.persistence.entity.DeploymentEntityManager org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectDeploymentEntityManager15() throws java.io.IOException",1,6,5,"500.0%",0.00048828125,0.0031007751937984496,0.0026124939437984496,"535.04%"
"public org.activiti.engine.impl.persistence.entity.DeploymentEntityManager org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectDeploymentEntityManager18() throws java.io.IOException",4,6,2,"50.0%",0.001953125,0.0031007751937984496,0.0011476501937984496,"58.76%"
"public org.activiti.engine.impl.persistence.entity.DeploymentEntityManager org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectDeploymentEntityManager19() throws java.io.IOException",1,3,2,"200.0%",0.00048828125,0.0015503875968992248,0.0010621063468992248,"217.52%"
"public org.activiti.engine.impl.persistence.entity.DeploymentEntityManager org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectDeploymentEntityManager12() throws java.io.IOException",3,1,-2,"-66.67%",0.00146484375,0.0005167958656330749,-0.0009480478843669251,"-64.72%"
"public java.lang.String org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectString946() throws java.io.IOException",1,3,2,"200.0%",0.00048828125,0.0015503875968992248,0.0010621063468992248,"217.52%"
"public java.lang.String org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectString948() throws java.io.IOException",7,0,-7,"-INF%",0.00341796875,0.0,-0.00341796875,"-INF%"
"public java.lang.String org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectString949() throws java.io.IOException",3,3,0,"0.0%",0.00146484375,0.0015503875968992248,8.554384689922478e-05,"5.84%"
"public java.lang.String org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectString942() throws java.io.IOException",2,0,-2,"-INF%",0.0009765625,0.0,-0.0009765625,"-INF%"
"public java.lang.String org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectString943() throws java.io.IOException",2,680,678,"33900.0%",0.0009765625,0.35142118863049093,0.35044462613049093,"35885.53%"
"public org.activiti.engine.impl.persistence.entity.DeploymentEntityManager org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectDeploymentEntityManager11() throws java.io.IOException",1,1,0,"0.0%",0.00048828125,0.0005167958656330749,2.8514615633074892e-05,"5.84%"
