Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.removeEventSubscription(org.activiti.engine.impl.persistence.entity.EventSubscriptionEntity)",246,208,-38,"-15.45%",0.01615339155558474,0.011341330425299891,-0.00481206113028485,"-29.79%"
"public boolean org.activiti.engine.impl.persistence.entity.VariableScopeImpl.hasVariableLocal(java.lang.String)",179,222,43,"24.02%",0.011753890603453937,0.012104689203925845,0.0003507986004719077,"2.98%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.setProcessDefinitionId(java.lang.String)",1230,2068,838,"68.13%",0.0807669577779237,0.11275899672846237,0.031992038950538676,"39.61%"
"public boolean org.activiti.engine.impl.persistence.entity.ExecutionEntity.isConcurrent()",2121,2218,97,"4.57%",0.13927375402193184,0.12093784078516903,-0.018335913236762813,"-13.17%"
"public org.activiti.engine.impl.pvm.PvmProcessElement org.activiti.engine.impl.persistence.entity.ExecutionEntity.getEventSource()",1499,1971,472,"31.49%",0.09843062577976229,0.10747001090512541,0.00903938512536312,"9.18%"
"public void org.activiti.engine.impl.persistence.entity.VariableScopeImpl.removeVariableLocal(java.lang.String)",194,206,12,"6.19%",0.012738853503184714,0.011232279171210469,-0.001506574331974245,"-11.83%"
"public java.lang.String org.activiti.engine.impl.persistence.entity.ExecutionEntity.updateProcessBusinessKey(java.lang.String)",188,242,54,"28.72%",0.012344868343292403,0.013195201744820065,0.0008503334015276618,"6.89%"
"public boolean org.activiti.engine.impl.persistence.entity.ExecutionEntity.isSuspended()",2241,3451,1210,"53.99%",0.14715345721977804,0.1881679389312977,0.04101448171151967,"27.87%"
"public org.activiti.engine.impl.persistence.entity.ExecutionEntity org.activiti.engine.impl.persistence.entity.ExecutionEntity.getSuperExecution()",11068,1494,-9574,"-86.5%",0.7267712916146826,0.08146128680479825,-0.6453100048098843,"-88.79%"
"public org.activiti.engine.impl.pvm.runtime.StartingExecution org.activiti.engine.impl.persistence.entity.ExecutionEntity.getStartingExecution()",1390,1709,319,"22.95%",0.09127322870838532,0.09318429661941112,0.0019110679110257989,"2.09%"
"org.activiti.engine.impl.bpmn.behavior.UserTaskActivityBehavior(org.activiti.engine.impl.task.TaskDefinition)",441,563,122,"27.66%",0.02895790925208484,0.0306979280261723,0.0017400187740874602,"6.01%"
"public java.lang.Integer org.activiti.engine.impl.persistence.entity.ExecutionEntity.getExecutionListenerIndex()",9,7,-2,"-22.22%",0.0005909777398384661,0.0003816793893129771,-0.00020929835052548902,"-35.42%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.setSuperExecution(org.activiti.engine.impl.persistence.entity.ExecutionEntity)",1467,12880,11413,"777.98%",0.09632937159366997,0.7022900763358778,0.6059607047422079,"629.05%"
"public java.util.List org.activiti.engine.impl.persistence.entity.ExecutionEntity.getTasks()",224,217,-7,"-3.12%",0.014708779302646267,0.01183206106870229,-0.0028767182339439774,"-19.56%"
"public void org.activiti.engine.impl.persistence.entity.VariableScopeImpl.deleteVariablesInstanceForLeavingScope()",184,212,28,"15.22%",0.012082211570030862,0.011559432933478735,-0.0005227786365521268,"-4.33%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.removeJob(org.activiti.engine.impl.persistence.entity.JobEntity)",867,259,-608,"-70.13%",0.0569308556044389,0.014122137404580152,-0.04280871819985874,"-75.19%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.setTransition(org.activiti.engine.impl.pvm.process.TransitionImpl)",1612,4089,2477,"153.66%",0.10585067962440081,0.22295528898582334,0.11710460936142253,"110.63%"
"public void org.activiti.engine.impl.bpmn.behavior.AbstractBpmnActivityBehavior.setMultiInstanceActivityBehavior(org.activiti.engine.impl.bpmn.behavior.MultiInstanceActivityBehavior)",1090,1458,368,"33.76%",0.07157397071376978,0.07949836423118865,0.007924393517418873,"11.07%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.remove()",152,222,70,"46.05%",0.009980957383938538,0.012104689203925845,0.0021237318199873075,"21.28%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.destroyScope(java.lang.String)",187,221,34,"18.18%",0.012279204149977017,0.012050163576881134,-0.00022904057309588305,"-1.87%"
"public void org.activiti.engine.impl.persistence.entity.VariableScopeImpl.setVariables(java.util.Map)",809,1623,814,"100.62%",0.05312233239214656,0.08849509269356598,0.03537276030141942,"66.59%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.inactivate()",6874,2462,-4412,"-64.18%",0.45137566484995734,0.1342420937840785,-0.3171335710658788,"-70.26%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.setEventSource(org.activiti.engine.impl.pvm.PvmProcessElement)",4501,1008,-3493,"-77.6%",0.29555453411254845,0.0549618320610687,-0.24059270205147976,"-81.4%"
"public java.lang.String org.activiti.engine.impl.persistence.entity.ExecutionEntity.getId()",4048,1272,-2776,"-68.58%",0.265808654540679,0.06935659760087241,-0.19645205693980655,"-73.91%"
"public void org.activiti.engine.impl.persistence.entity.VariableScopeImpl.setVariablesLocal(java.util.Map)",2256,1684,-572,"-25.35%",0.14813842011950884,0.09182115594329335,-0.05631726417621549,"-38.02%"
"public void org.activiti.engine.impl.bpmn.behavior.UserTaskActivityBehavior.execute(org.activiti.engine.impl.pvm.delegate.ActivityExecution) throws java.lang.Exception",164,199,35,"21.34%",0.010768927703723159,0.010850599781897492,8.167207817433297e-05,"0.76%"
"public java.lang.String org.activiti.engine.impl.persistence.entity.ExecutionEntity.getProcessDefinitionId()",856,1798,942,"110.05%",0.05620854947796966,0.09803707742639041,0.04182852794842075,"74.42%"
"public java.lang.String org.activiti.engine.impl.persistence.entity.ExecutionEntity.getEventName()",6341,3248,-3093,"-48.78%",0.41637664981285705,0.17709923664122137,-0.23927741317163567,"-57.47%"
"public void org.activiti.engine.impl.persistence.entity.VariableScopeImpl.setVariable(java.lang.String|java.lang.Object)",130,180,50,"38.46%",0.008536345131000066,0.009814612868047983,0.001278267737047917,"14.97%"
"public int org.activiti.engine.impl.persistence.entity.ExecutionEntity.getRevisionNext()",5902,3591,-2311,"-39.16%",0.38755006894740296,0.19580152671755724,-0.19174854222984572,"-49.48%"
"public boolean org.activiti.engine.impl.persistence.entity.VariableScopeImpl.hasVariable(java.lang.String)",177,197,20,"11.3%",0.011622562216823167,0.01074154852780807,-0.0008810136890150966,"-7.58%"
"public java.lang.String org.activiti.engine.impl.persistence.entity.ExecutionEntity.getActivityId()",1591,1616,25,"1.57%",0.10447173156477772,0.088113413304253,-0.016358318260524723,"-15.66%"
"public java.util.Map org.activiti.engine.impl.persistence.entity.VariableScopeImpl.getVariablesLocal()",163,214,51,"31.29%",0.010703263510407774,0.011668484187568157,0.0009652206771603826,"9.02%"
"public org.activiti.engine.impl.pvm.PvmProcessInstance org.activiti.engine.impl.persistence.entity.ExecutionEntity.createSubProcessInstance(org.activiti.engine.impl.pvm.PvmProcessDefinition)",183,212,29,"15.85%",0.012016547376715477,0.011559432933478735,-0.00045711444323674223,"-3.8%"
"public void org.activiti.engine.impl.persistence.entity.VariableScopeImpl.createVariableLocal(java.lang.String|java.lang.Object)",152,186,34,"22.37%",0.009980957383938538,0.010141766630316249,0.00016080924637771124,"1.61%"
"public boolean org.activiti.engine.impl.persistence.entity.ExecutionEntity.isEnded()",1957,1917,-40,"-2.04%",0.12850482631820867,0.10452562704471101,-0.02397919927349766,"-18.66%"
"public org.activiti.engine.impl.javax.el.ELContext org.activiti.engine.impl.persistence.entity.VariableScopeImpl.getCachedElContext()",1077,1015,-62,"-5.76%",0.07072033620066978,0.05534351145038168,-0.0153768247502881,"-21.74%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.end()",187,199,12,"6.42%",0.012279204149977017,0.010850599781897492,-0.0014286043680795252,"-11.63%"
"public org.activiti.engine.impl.bpmn.behavior.MultiInstanceActivityBehavior org.activiti.engine.impl.bpmn.behavior.AbstractBpmnActivityBehavior.getMultiInstanceActivityBehavior()",1064,2124,1060,"99.62%",0.06986670168756977,0.11581243184296619,0.04594573015539642,"65.76%"
"public org.activiti.engine.impl.pvm.process.ProcessDefinitionImpl org.activiti.engine.impl.persistence.entity.ExecutionEntity.getProcessDefinition()",1051,13562,12511,"1190.39%",0.06901306717446976,0.7394765539803708,0.6704634868059011,"971.5%"
"public void org.activiti.engine.impl.persistence.entity.VariableScopeImpl.removeVariablesLocal(java.util.Collection)",364,305,-59,"-16.21%",0.023901766366800185,0.01663031624863686,-0.007271450118163325,"-30.42%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.setExecutions(java.util.List)",1973,82,-1891,"-95.84%",0.12955545341125485,0.004471101417666303,-0.12508435199358856,"-96.55%"
"public void org.activiti.engine.impl.persistence.entity.VariableScopeImpl.removeVariablesLocal()",176,196,20,"11.36%",0.011556898023507782,0.010687022900763359,-0.0008698751227444231,"-7.53%"
"public void org.activiti.engine.impl.persistence.entity.VariableScopeImpl.removeVariables()",168,215,47,"27.98%",0.0110315844769847,0.011723009814612868,0.0006914253376281675,"6.27%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.setTransitionBeingTaken(org.activiti.engine.impl.pvm.process.TransitionImpl)",6456,1573,-4883,"-75.64%",0.4239280320441263,0.08576881134133042,-0.3381592207027959,"-79.77%"
"public void org.activiti.engine.impl.persistence.entity.VariableScopeImpl.removeVariables(java.util.Collection)",191,255,64,"33.51%",0.012541860923238559,0.013904034896401308,0.0013621739731627495,"10.86%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.start()",189,214,25,"13.23%",0.012410532536607788,0.011668484187568157,-0.0007420483490396309,"-5.98%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.addEventSubscription(org.activiti.engine.impl.persistence.entity.EventSubscriptionEntity)",494,227,-267,"-54.05%",0.03243811149780025,0.0123773173391494,-0.02006079415865085,"-61.84%"
"public org.activiti.engine.impl.pvm.process.TransitionImpl org.activiti.engine.impl.persistence.entity.ExecutionEntity.getTransitionBeingTaken()",1336,1099,-237,"-17.74%",0.08772736226935451,0.059923664122137406,-0.027803698147217108,"-31.69%"
"public java.util.List org.activiti.engine.impl.persistence.entity.ExecutionEntity.getEventSubscriptions()",908,212,-696,"-76.65%",0.05962308753036969,0.011559432933478735,-0.04806365459689096,"-80.61%"
"public void org.activiti.engine.impl.persistence.entity.VariableScopeImpl.createVariablesLocal(java.util.Map)",1256,1342,86,"6.85%",0.08247422680412371,0.07317339149400218,-0.009300835310121533,"-11.28%"
"public org.activiti.engine.impl.persistence.entity.ExecutionEntity org.activiti.engine.impl.persistence.entity.ExecutionEntity.getParent()",2902,994,-1908,"-65.75%",0.1905574890012476,0.05419847328244275,-0.13635901571880488,"-71.56%"
"java.util.ArrayList()",4883,1238,-3645,"-74.65%",0.32063825595902556,0.06750272628135223,-0.25313552967767333,"-78.95%"
"public org.activiti.engine.impl.pvm.process.ActivityImpl org.activiti.engine.impl.persistence.entity.ExecutionEntity.getActivity()",995,2017,1022,"102.71%",0.0653358723488082,0.10997818974918211,0.044642317400373915,"68.33%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.setEventScope(boolean)",1307,4059,2752,"210.56%",0.08582310066320835,0.221319520174482,0.13549641951127367,"157.88%"
"org.activiti.engine.impl.persistence.entity.ExecutionEntity[7]",641,0,-641,"-INF%",0.04209074791516186,0.0,-0.04209074791516186,"-INF%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.executeActivity(org.activiti.engine.impl.pvm.PvmActivity)",176,233,57,"32.39%",0.011556898023507782,0.012704471101417666,0.001147573077909884,"9.93%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.setScope(boolean)",1592,1607,15,"0.94%",0.10453739575809311,0.0876226826608506,-0.016914713097242504,"-16.18%"
"public final native java.lang.Class java.lang.Object.getClass()",183,222,39,"21.31%",0.012016547376715477,0.012104689203925845,8.814182721036783e-05,"0.73%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.setSubProcessInstance(org.activiti.engine.impl.pvm.runtime.InterpretableExecution)",6445,4006,-2439,"-37.84%",0.4232057259176571,0.21842966194111232,-0.20477606397654477,"-48.39%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.take(org.activiti.engine.impl.pvm.PvmTransition)",173,219,46,"26.59%",0.011359905443561627,0.011941112322791712,0.0005812068792300853,"5.12%"
"public int org.activiti.engine.impl.persistence.entity.ExecutionEntity.getCachedEntityState()",1220,2109,889,"72.87%",0.08011031584476985,0.11499454743729554,0.03488423159252568,"43.55%"
"java.lang.String[4]",45,61,16,"35.56%",0.0029548886991923305,0.003326063249727372,0.0003711745505350413,"12.56%"
"java.lang.String[3]",60,56,-4,"-6.67%",0.003939851598923108,0.0030534351145038168,-0.0008864164844192908,"-22.5%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.removeIdentityLinks()",150,232,82,"54.67%",0.009849628997307769,0.012649945474372955,0.0028003164770651866,"28.43%"
"public boolean org.activiti.engine.impl.persistence.entity.ExecutionEntity.isActive()",2002,16211,14209,"709.74%",0.131459715017401,0.8839149400218103,0.7524552250044092,"572.38%"
"public boolean org.activiti.engine.impl.persistence.entity.ExecutionEntity.isActive(java.lang.String)",163,220,57,"34.97%",0.010703263510407774,0.011995637949836423,0.0012923744394286486,"12.07%"
"java.lang.String[6]",30,36,6,"20.0%",0.001969925799461554,0.0019629225736095966,-7.0032258519571455e-06,"-0.36%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.setReplacedBy(org.activiti.engine.impl.pvm.runtime.InterpretableExecution)",169,185,16,"9.47%",0.011097248670300085,0.010087241003271538,-0.0010100076670285472,"-9.1%"
"java.lang.String[5]",35,53,18,"51.43%",0.002298246766038479,0.0028898582333696837,0.0005916114673312047,"25.74%"
"public java.lang.String org.activiti.engine.impl.persistence.entity.ExecutionEntity.getSuperExecutionId()",1371,6324,4953,"361.27%",0.090025609035393,0.34482006543075244,0.25479445639535947,"283.02%"
"public boolean org.activiti.engine.impl.persistence.entity.VariableScopeImpl.hasVariables()",178,204,26,"14.61%",0.011688226410138551,0.011123227917121047,-0.0005649984930175041,"-4.83%"
"java.lang.String[2]",61,60,-1,"-1.64%",0.004005515792238492,0.003271537622682661,-0.0007339781695558313,"-18.32%"
"java.lang.String[1]",73,55,-18,"-24.66%",0.0047934861120231135,0.0029989094874591058,-0.0017945766245640077,"-37.44%"
"public java.util.List org.activiti.engine.impl.persistence.entity.ExecutionEntity.getCompensateEventSubscriptions(java.lang.String)",264,238,-26,"-9.85%",0.017335347035261673,0.012977099236641221,-0.004358247798620452,"-25.14%"
"public java.util.List org.activiti.engine.impl.persistence.entity.ExecutionEntity.getCompensateEventSubscriptions()",220,297,77,"35.0%",0.014446122529384726,0.016194111232279172,0.0017479887028944464,"12.1%"
"java.lang.String[8]",16,28,12,"75.0%",0.0010506270930461619,0.0015267175572519084,0.0004760904642057465,"45.31%"
"java.lang.String[7]",16,33,17,"106.25%",0.0010506270930461619,0.0017993456924754634,0.0007487185994293015,"71.26%"
"public java.lang.Object org.activiti.engine.impl.persistence.entity.VariableScopeImpl.getVariable(java.lang.String)",165,230,65,"39.39%",0.010834591897038545,0.012540894220283533,0.0017063023232449879,"15.75%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.setCachedEntityState(int)",2866,2306,-560,"-19.54%",0.18819357804189377,0.1257360959651036,-0.062457482076790166,"-33.19%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.setEventName(java.lang.String)",1050,41802,40752,"3881.14%",0.06894740298115437,2.27928026172301,2.2103328587418556,"3205.82%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.setId(java.lang.String)",734,7951,7217,"983.24%",0.04819751789349268,0.43353326063249725,0.38533574273900456,"799.49%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.setParent(org.activiti.engine.impl.pvm.runtime.InterpretableExecution)",1963,13196,11233,"572.24%",0.128898811478101,0.7195201744820066,0.5906213630039056,"458.21%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.disposeStartingExecution()",1014,1680,666,"65.68%",0.06658349202180051,0.0916030534351145,0.02501956141331399,"37.58%"
"public org.activiti.engine.impl.persistence.entity.ExecutionEntity org.activiti.engine.impl.persistence.entity.ExecutionEntity.createExecution()",182,194,12,"6.59%",0.011950883183400093,0.010577971646673937,-0.0013729115367261558,"-11.49%"
"public java.lang.String org.activiti.engine.impl.persistence.entity.ExecutionEntity.getBusinessKey()",1929,5551,3622,"187.77%",0.1266662289053779,0.30267175572519084,0.17600552681981294,"138.95%"
"public java.util.Set org.activiti.engine.impl.persistence.entity.VariableScopeImpl.getVariableNamesLocal()",156,216,60,"38.46%",0.01024361415720008,0.011777535441657579,0.0015339212844574998,"14.97%"
"public org.activiti.engine.impl.persistence.entity.IdentityLinkEntity org.activiti.engine.impl.persistence.entity.ExecutionEntity.addIdentityLink(java.lang.String|java.lang.String)",171,219,48,"28.07%",0.011228577056930856,0.011941112322791712,0.0007125352658608562,"6.35%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.removeTask(org.activiti.engine.impl.persistence.entity.TaskEntity)",1850,193,-1657,"-89.57%",0.12147875763346247,0.010523446019629226,-0.11095531161383325,"-91.34%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.destroy()",185,212,27,"14.59%",0.012147875763346248,0.011559432933478735,-0.000588442829867513,"-4.84%"
"public java.lang.String org.activiti.engine.impl.persistence.entity.ExecutionEntity.getCurrentActivityName()",4074,1441,-2633,"-64.63%",0.267515923566879,0.07857142857142857,-0.1889444949954504,"-70.63%"
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.addJob(org.activiti.engine.impl.persistence.entity.JobEntity)",192,217,25,"13.02%",0.012607525116553943,0.01183206106870229,-0.0007754640478516532,"-6.15%"
