Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public java.lang.String org.antlr.v4.codegen.Target.getTokenTypeAsTargetLabel(org.antlr.v4.tool.Grammar|int)",620,50,-570,"-91.94%",0.03371397498640565,0.030845157310302282,-0.0028688176761033704,"-8.51%"
"public java.lang.String org.antlr.v4.codegen.Target.language",5138,111,-5027,"-97.84%",0.2793909733550843,0.06847624922887106,-0.2109147241262132,"-75.49%"
"org.antlr.v4.codegen.target.Python3Target$PythonStringRenderer()",392,37,-355,"-90.56%",0.021315932572050028,0.02282541640962369,0.0015094838375736622,"7.08%"
"public void org.antlr.v4.codegen.Target.genListenerFile(org.antlr.v4.tool.Grammar|org.stringtemplate.v4.ST)",590,51,-539,"-91.36%",0.032082653616095705,0.03146206045650833,-0.0006205931595873737,"-1.93%"
"public java.lang.String org.antlr.v4.codegen.Target.getLanguage()",17715,311,-17404,"-98.24%",0.9632952691680261,0.1918568784700802,-0.7714383906979458,"-80.08%"
"public org.stringtemplate.v4.STGroup org.antlr.v4.codegen.target.Python3Target.loadTemplates()",1099,886,-213,"-19.38%",0.05976073953235454,0.5465761875385564,0.48681544800620186,"814.61%"
"public java.lang.String org.antlr.v4.codegen.Target.getAltLabelContextStructName(java.lang.String)",631,1053,422,"66.88%",0.034312126155519304,0.649599012954966,0.6152868867994468,"1793.21%"
"public java.lang.String org.antlr.v4.codegen.target.Python3Target$PythonStringRenderer.toString(java.lang.Object|java.lang.String|java.util.Locale)",2011,157,-1854,"-92.19%",0.10935290918977705,0.09685379395434916,-0.01249911523542789,"-11.43%"
"public boolean org.antlr.v4.codegen.target.Python3Target.wantsBaseListener()",4098,131,-3967,"-96.8%",0.22283849918433932,0.08081431215299198,-0.14202418703134734,"-63.73%"
"public int org.antlr.v4.codegen.target.Python3Target.getSerializedATNSegmentLimit()",6215,245,-5970,"-96.06%",0.3379554105492115,0.15114127082048118,-0.18681413972873034,"-55.28%"
"public static java.lang.String[] org.antlr.v4.codegen.target.Python3Target.python3Keywords",39,596,557,"1428.21%",0.0021207177814029365,0.3676742751388032,0.36555355735740025,"17237.26%"
"public java.lang.String org.antlr.v4.codegen.Target.getTargetStringLiteralFromANTLRStringLiteral(org.antlr.v4.codegen.CodeGenerator|java.lang.String|boolean)",9197,424,-8773,"-95.39%",0.5001087547580206,0.2615669339913634,-0.23854182076665725,"-47.7%"
"public java.lang.String org.antlr.v4.codegen.Target.getImplicitRuleLabel(java.lang.String)",724,176,-548,"-75.69%",0.039369222403480154,0.10857495373226403,0.06920573132878388,"175.79%"
"public org.stringtemplate.v4.STGroup org.antlr.v4.codegen.Target.templates",13391,512,-12879,"-96.18%",0.7281674823273518,0.3158544108574954,-0.41231307146985646,"-56.62%"
"public static boolean java.util.Collections.addAll(java.util.Collection|java.lang.Object[])",4036,305,-3731,"-92.44%",0.21946710168569875,0.1881554595928439,-0.031311642092854836,"-14.27%"
"public boolean org.antlr.v4.codegen.target.Python3Target.supportsOverloadedMethods()",11286,551,-10735,"-95.12%",0.6137030995106035,0.33991363355953114,-0.2737894659510724,"-44.61%"
"int[6]",1,1,0,"0.0%",5.43773790103317e-05,0.0006169031462060457,0.000562525767195714,"1034.48%"
"int[5]",1,1,0,"0.0%",5.43773790103317e-05,0.0006169031462060457,0.000562525767195714,"1034.48%"
"public java.lang.String org.antlr.v4.codegen.Target.getRuleFunctionContextStructName(org.antlr.v4.tool.Rule)",599,51,-548,"-91.49%",0.03257205002718869,0.03146206045650833,-0.0011099895706803559,"-3.41%"
"public java.lang.String org.antlr.v4.codegen.Target.getRuleFunctionContextStructName(org.antlr.v4.codegen.model.RuleFunction)",603,64,-539,"-89.39%",0.03278955954323002,0.03948180135718692,0.006692241813956903,"20.41%"
"public java.lang.String org.antlr.v4.codegen.Target.getElementListName(java.lang.String)",632,53,-579,"-91.61%",0.034366503534529635,0.03269586674892042,-0.0016706367856092127,"-4.86%"
"public java.lang.String org.antlr.v4.codegen.Target.getTargetStringLiteralFromString(java.lang.String)",11891,391,-11500,"-96.71%",0.6466014138118543,0.24120913016656384,-0.40539228364529045,"-62.7%"
