Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.Boolean,31513,7466,-24047,"-76.31%",2,2,0,"0.0%",1.7290134972017996,1.8303505761215983,0.1013370789197987,"5.86%",0.0001097333479644464,0.0004903162539838195,0.0003805829060193731,"346.83%"
class org.stringtemplate.v4.STGroupFile,585,1413,828,"141.54%",522,1235,713,"136.59%",0.03209700427960057,0.3464084334395685,0.31431142915996796,"979.25%",0.02864040381872051,0.30277028683500856,0.27412988301628805,"957.14%"
class java.lang.Integer,51288,2908,-48380,"-94.33%",2,2,0,"0.0%",2.8140019752002634,0.7129198332924737,-2.10108214190779,"-74.67%",0.0001097333479644464,0.0004903162539838195,0.0003805829060193731,"346.83%"
class org.antlr.v4.codegen.target.Python3Target$PythonStringRenderer,385,96,-289,"-75.06%",1,1,0,"0.0%",0.02112366948315593,0.02353518019122334,0.002411510708067409,"11.42%",5.48666739822232e-05,0.00024515812699190976,0.00019029145300968655,"346.83%"
class [Ljava.lang.String;,32715,6636,-26079,"-79.72%",9,13,4,"44.44%",1.7949632393284318,1.6268693307183133,-0.16809390861011853,"-9.36%",0.0004938000658400088,0.003187055650894827,0.0026932555850548183,"545.41%"
class org.antlr.v4.codegen.target.Python3Target,43570,8666,-34904,"-80.11%",1899,2106,207,"10.9%",2.390540985405465,2.1245403285118902,-0.26600065689357466,"-11.13%",0.10419181389224186,0.516303015444962,0.4121112015527202,"395.53%"
class [I,6142,765,-5377,"-87.54%",6,5,-1,"-16.67%",0.3369911115988149,0.18754596714881097,-0.14944514445000392,"-44.35%",0.0003292000438933392,0.001225790634959549,0.0008965905910662097,"272.35%"
class java.util.HashSet,11192,2706,-8486,"-75.82%",7,6,-1,"-14.29%",0.6140678152090421,0.6633978916401079,0.049330076431065795,"8.03%",0.0003840667178755624,0.0014709487619514587,0.0010868820440758963,"282.99%"
class java.lang.Class,578,133,-445,"-76.99%",7,7,0,"0.0%",0.03171293756172501,0.032606030889924004,0.0008930933281989933,"2.82%",0.0003840667178755624,0.0017161068889433686,0.0013320401710678062,"346.83%"
class java.util.LinkedHashSet,4880,789,-4091,"-83.83%",12,8,-4,"-33.33%",0.2677493690332492,0.1934297621966168,-0.07431960683663238,"-27.76%",0.0006584000877866784,0.001961265015935278,0.0013028649281485996,"197.88%"
class java.lang.String,51389,13702,-37687,"-73.34%",528,405,-123,"-23.3%",2.819543509272468,3.359156656043148,0.5396131467706797,"19.14%",0.02896960386261385,0.09928904143172346,0.0703194375691096,"242.74%"
