Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public boolean org.atmosphere.cpr.AtmosphereConfig.getuseServletContextParameters()",2807,3614,807,"28.75%",0.22739792611795204,0.2557859721140916,0.02838804599613956,"12.48%"
"public static final org.slf4j.Logger org.atmosphere.cpr.AtmosphereConfig.logger",1,1,0,"0.0%",8.101101749837978e-05,7.077641729775638e-05,-1.0234600200623398e-05,"-12.63%"
"org.atmosphere.cpr.AtmosphereConfig(org.atmosphere.cpr.AtmosphereFramework)",1,1,0,"0.0%",8.101101749837978e-05,7.077641729775638e-05,-1.0234600200623398e-05,"-12.63%"
"org.atmosphere.cpr.AtmosphereConfig()",52929,47380,-5549,"-10.48%",4.287832145171743,3.3533866515676976,-0.9344454936040454,"-21.79%"
"public org.atmosphere.cpr.AtmosphereFramework org.atmosphere.cpr.AtmosphereConfig.getframework()",2139,10895,8756,"409.35%",0.17328256642903433,0.7711090664590559,0.5978265000300216,"345.0%"
"public java.util.List org.atmosphere.cpr.AtmosphereConfig.startUpHook",2420,3701,1281,"52.93%",0.19604666234607906,0.2619435204189964,0.06589685807291731,"33.61%"
"public boolean org.atmosphere.cpr.AtmosphereConfig.isThrowExceptionOnCloned()",1937,6372,4435,"228.96%",0.15691834089436163,0.45098733102130373,0.2940689901269421,"187.4%"
"public org.atmosphere.cpr.AtmosphereConfig org.atmosphere.cpr.AtmosphereConfig.startupHook(org.atmosphere.cpr.AtmosphereConfig$StartupHook)",12530,11554,-976,"-7.79%",1.0150680492546986,0.8177507254582773,-0.1973173237964213,"-19.44%"
"public java.util.Map org.atmosphere.cpr.AtmosphereConfig.properties()",2543,7782,5239,"206.02%",0.20601101749837977,0.5507820794111402,0.3447710619127604,"167.36%"
"public java.util.Map org.atmosphere.cpr.AtmosphereConfig.handlers()",410,449,39,"9.51%",0.03321451717433571,0.03177861136669262,-0.0014359058076430925,"-4.32%"
"public java.util.Map org.atmosphere.cpr.AtmosphereConfig.getproperties()",14136,11292,-2844,"-20.12%",1.1451717433570965,0.7992073041262652,-0.3459644392308313,"-30.21%"
"public boolean org.atmosphere.cpr.AtmosphereConfig.sessionTimeoutRemovalAllowed",4112,2133,-1979,"-48.13%",0.33311730395333766,0.1509660980961144,-0.18215120585722328,"-54.68%"
"public org.atmosphere.cpr.AtmosphereConfig org.atmosphere.cpr.AtmosphereConfig.populate(org.atmosphere.cpr.AtmosphereConfig)",3305,15266,11961,"361.91%",0.2677414128321452,1.080472786467549,0.8127313736354038,"303.55%"
"public org.atmosphere.cpr.AtmosphereFramework org.atmosphere.cpr.AtmosphereConfig.framework()",2959,3212,253,"8.55%",0.23971160077770576,0.22733385236039352,-0.012377748417312234,"-5.16%"
"public int org.atmosphere.cpr.AtmosphereConfig.getInitParameter(java.lang.String|int)",3013,1961,-1052,"-34.92%",0.24408619572261828,0.13879255432090026,-0.10529364140171801,"-43.14%"
"public java.lang.String org.atmosphere.cpr.AtmosphereConfig.getInitParameter(java.lang.String)",2706,2662,-44,"-1.63%",0.21921581335061568,0.1884068228466275,-0.030808990503988193,"-14.05%"
"public java.lang.String org.atmosphere.cpr.AtmosphereConfig.getInitParameter(java.lang.String|java.lang.String)",2383,4204,1821,"76.42%",0.193049254698639,0.2975440583197679,0.10449480362112887,"54.13%"
