Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.String,5490,7412,1922,"35.01%",2,2,0,"0.0%",0.3668314846986503,0.5015563675734199,0.13472488287476964,"36.73%",0.00013363624214887077,0.00013533631073216944,1.7000685832986682e-06,"1.27%"
class java.lang.Integer,10680,6356,-4324,"-40.49%",9,9,0,"0.0%",0.7136175330749699,0.4300987955068345,-0.2835187375681354,"-39.73%",0.0006013630896699185,0.0006090133982947625,7.650308624843993e-06,"1.27%"
class org.atmosphere.cpr.AtmosphereConfig,88473,96601,8128,"9.19%",163,165,2,"1.23%",5.911599625818522,6.5368114765191505,0.6252118507006283,"10.58%",0.010891353735132968,0.011165245635403978,0.0002738919002710106,"2.51%"
class java.lang.Boolean,51787,34531,-17256,"-33.32%",2,2,0,"0.0%",3.4603100360817853,2.3366490729462717,-1.1236609631355137,"-32.47%",0.00013363624214887077,0.00013533631073216944,1.7000685832986682e-06,"1.27%"
class java.lang.Class,546,538,-8,"-1.47%",4,4,0,"0.0%",0.03648269410664172,0.03640546758695358,-7.722651968813943e-05,"-0.21%",0.00026727248429774154,0.0002706726214643389,3.4001371665973363e-06,"1.27%"
class [Lorg.atmosphere.config.AtmosphereHandlerConfig;,30,38,8,"26.67%",1,1,0,"0.0%",0.0020045436322330616,0.002571389903911219,0.0005668462716781576,"28.28%",6.681812107443539e-05,6.766815536608472e-05,8.500342916493341e-07,"1.27%"
class ch.qos.logback.classic.Logger,6410,7197,787,"12.28%",1,1,0,"0.0%",0.42830415608713085,0.4870077141697117,0.058703558082580876,"13.71%",6.681812107443539e-05,6.766815536608472e-05,8.500342916493341e-07,"1.27%"
class java.util.HashMap,21403,35563,14160,"66.16%",6,5,-1,"-16.67%",1.4301082453561407,2.4064826092840708,0.9763743639279301,"68.27%",0.00040090872644661234,0.0003383407768304236,-6.256794961618872e-05,"-15.61%"
class [Lorg.atmosphere.cpr.AtmosphereConfig$ShutdownHook;,905,491,-414,"-45.75%",1,1,0,"0.0%",0.060470399572364025,0.0332250642847476,-0.027245335287616426,"-45.06%",6.681812107443539e-05,6.766815536608472e-05,8.500342916493341e-07,"1.27%"
class java.util.ArrayList,68033,66704,-1329,"-1.95%",21,21,0,"0.0%",4.545837231057063,4.513736635539315,-0.0321005955177478,"-0.71%",0.001403180542563143,0.0014210312626877792,1.7850720124636165e-05,"1.27%"
class [Lorg.atmosphere.cpr.AtmosphereConfig$StartupHook;,4417,2427,-1990,"-45.05%",1,1,0,"0.0%",0.2951356407857811,0.16423061307348763,-0.13090502771229345,"-44.35%",6.681812107443539e-05,6.766815536608472e-05,8.500342916493341e-07,"1.27%"
