Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"java.util.concurrent.ExecutorService[][][4]",18,6,-12,"-66.67%",0.000664819944598338,0.00022318937618569356,-0.00044163056841264447,"-66.43%"
"public static org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures org.apache.lucene.util.LuceneTestCase.replaceMaxFailureRule(org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures)",503,219,-284,"-56.46%",0.018578024007386888,0.008146412230777816,-0.010431611776609073,"-56.15%"
"java.util.concurrent.ExecutorService[][][2]",30,0,-30,"-INF%",0.00110803324099723,0.0,-0.00110803324099723,"-INF%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testFilteredQuery() throws java.io.IOException",105,107,2,"1.9%",0.003878116343490305,0.0039802105419782016,0.00010209419848789675,"2.63%"
"java.util.concurrent.ExecutorService[][][3]",6,11,5,"83.33%",0.00022160664819944597,0.00040918052300710484,0.00018757387480765886,"84.64%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testQueryStringRegexpTooManyDeterminizedStates() throws java.lang.Exception",133,118,-15,"-11.28%",0.004912280701754386,0.0043893910649853065,-0.0005228896367690796,"-10.64%"
"public static java.util.Random org.apache.lucene.util.LuceneTestCase.random()",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"java.util.concurrent.ExecutorService[][][0]",37,0,-37,"-INF%",0.0013665743305632501,0.0,-0.0013665743305632501,"-INF%"
"public static void org.junit.Assert.assertTrue(boolean)",2,2,0,"0.0%",7.386888273314867e-05,7.439645872856452e-05,5.275759954158501e-07,"0.71%"
"public static void org.junit.Assert.assertTrue(java.lang.String|boolean)",30,30,0,"0.0%",0.00110803324099723,0.0011159468809284678,7.913639931237792e-06,"0.71%"
"randoop.operation.UncheckedCast@2b7a6f74",6,0,-6,"-INF%",0.00022160664819944597,0.0,-0.00022160664819944597,"-INF%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testSpanTermQueryBuilder() throws java.io.IOException",115,96,-19,"-16.52%",0.004247460757156048,0.003571030018971097,-0.0006764307381849507,"-15.93%"
"public static boolean org.elasticsearch.test.ElasticsearchTestCase.randomBoolean()",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"public void org.apache.lucene.util.LuceneTestCase.assertStoredFieldEquals(java.lang.String|org.apache.lucene.index.IndexableField|org.apache.lucene.index.IndexableField)",97,105,8,"8.25%",0.00358264081255771,0.0039058140832496373,0.00032317327069192716,"9.02%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testTermsFilterWithMultipleFields() throws java.io.IOException",109,123,14,"12.84%",0.004025854108956602,0.004575382211806718,0.0005495281028501161,"13.65%"
"public void org.apache.lucene.util.LuceneTestCase.setIndexWriterMaxDocs(int)",7633,13311,5678,"74.39%",0.28192059095106187,0.49514563106796117,0.2132250401168993,"75.63%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testSpanNotQueryBuilder() throws java.io.IOException",107,110,3,"2.8%",0.003951985226223453,0.004091805230071049,0.00013982000384759555,"3.54%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testTermsWithNameFilterQuery() throws java.lang.Exception",110,106,-4,"-3.64%",0.004062788550323176,0.003943012312613919,-0.00011977623770925705,"-2.95%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testWildcardBoostQuery() throws java.io.IOException",122,124,2,"1.64%",0.004506001846722068,0.004612580441171001,0.00010657859444893232,"2.37%"
"public final org.junit.rules.TestRule org.apache.lucene.util.LuceneTestCase.ruleChain",5604,3915,-1689,"-30.14%",0.20698060941828256,0.14563106796116504,-0.06134954145711752,"-29.64%"
"java.lang.reflect.Type[3]",1,0,-1,"-INF%",3.6934441366574334e-05,0.0,-3.6934441366574334e-05,"-INF%"
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newFSDirectory(java.nio.file.Path|org.apache.lucene.store.LockFactory)",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newFSDirectory(java.nio.file.Path)",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.SYSPROP_MONSTER",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"org.elasticsearch.index.query.SimpleIndexQueryParserTests[0]",5,111,106,"2120.0%",0.00018467220683287164,0.004129003459435331,0.0039443312526024595,"2135.86%"
"public static void org.junit.Assert.assertNotSame(java.lang.String|java.lang.Object|java.lang.Object)",7703,3258,-4445,"-57.7%",0.2845060018467221,0.12119183126883161,-0.1633141705778905,"-57.4%"
"public static void org.junit.Assert.assertNotSame(java.lang.Object|java.lang.Object)",3417,4493,1076,"31.49%",0.12620498614958447,0.1671316445337202,0.04092665838413573,"32.43%"
"randoop.operation.ArrayElementSet@2b98d3b2",3,0,-3,"-INF%",0.00011080332409972299,0.0,-0.00011080332409972299,"-INF%"
"org.elasticsearch.index.query.SimpleIndexQueryParserTests[3]",1,138,137,"13700.0%",3.6934441366574334e-05,0.005133355652270952,0.005096421210904378,"13798.56%"
"public static void org.junit.Assert.assertNull(java.lang.Object)",103,102,-1,"-0.97%",0.003804247460757156,0.0037942193951567907,-1.0028065600365451e-05,"-0.26%"
"public static void org.junit.Assert.assertNull(java.lang.String|java.lang.Object)",121,138,17,"14.05%",0.004469067405355494,0.005133355652270952,0.0006642882469154576,"14.86%"
