Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class [Ljava.lang.String;,750,512,-238,"-31.73%",41,84,43,"104.88%",0.027876895628902765,0.019247396714409233,-0.008629498914493532,"-30.96%",0.0015239369610466845,0.0031577760234577645,0.00163383906241108,"107.21%"
class [[Lorg.elasticsearch.test.ElasticsearchSingleNodeTest;,42,0,-42,"-INF%",25,0,-25,"-INF%",0.0015611061552185548,0.0,-0.0015611061552185548,"-INF%",0.0009292298542967588,0.0,-0.0009292298542967588,"-INF%"
class [[Ljava.lang.CharSequence;,1,0,-1,"-INF%",1,0,-1,"-INF%",3.716919417187035e-05,0.0,-3.716919417187035e-05,"-INF%",3.716919417187035e-05,0.0,-3.716919417187035e-05,"-INF%"
class java.util.ArrayList,46,3,-43,"-93.48%",46,3,-43,"-93.48%",0.0017097829319060362,0.0001127777151234916,-0.0015970052167825447,"-93.4%",0.0017097829319060362,0.0001127777151234916,-0.0015970052167825447,"-93.4%"
class [[[I,34,21,-13,"-38.24%",7,5,-2,"-28.57%",0.001263752601843592,0.0007894440058644411,-0.0004743085959791509,"-37.53%",0.00026018435920309246,0.00018796285853915265,-7.22215006639398e-05,"-27.76%"
class [[[[[Ljava.lang.String;,1,1,0,"0.0%",1,1,0,"0.0%",3.716919417187035e-05,3.7592571707830533e-05,4.2337753596018255e-07,"1.14%",3.716919417187035e-05,3.7592571707830533e-05,4.2337753596018255e-07,"1.14%"
class [[Lorg.apache.lucene.search.QueryCachingPolicy;,7,10,3,"42.86%",6,3,-3,"-50.0%",0.00026018435920309246,0.0003759257170783053,0.00011574135787521285,"44.48%",0.00022301516503122213,0.0001127777151234916,-0.00011023744990773053,"-49.43%"
class [[[[Lorg.elasticsearch.test.ElasticsearchSingleNodeTest;,33,0,-33,"-INF%",3,0,-3,"-INF%",0.0012265834076717217,0.0,-0.0012265834076717217,"-INF%",0.00011150758251561107,0.0,-0.00011150758251561107,"-INF%"
class [[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,1,14,13,"1300.0%",1,2,1,"100.0%",3.716919417187035e-05,0.0005262960039096275,0.0004891268097377572,"1315.95%",3.716919417187035e-05,7.518514341566107e-05,3.8015949243790716e-05,"102.28%"
class [[[Lorg.junit.rules.RuleChain;,3,0,-3,"-INF%",3,0,-3,"-INF%",0.00011150758251561107,0.0,-0.00011150758251561107,"-INF%",0.00011150758251561107,0.0,-0.00011150758251561107,"-INF%"
class [[I,106,48,-58,"-54.72%",8,7,-1,"-12.5%",0.003939934582218257,0.0018044434419758656,-0.0021354911402423913,"-54.2%",0.0002973535533749628,0.00026314800195481375,-3.420555142014906e-05,"-11.5%"
class [[Lorg.elasticsearch.index.query.SimpleIndexQueryParserTests;,34,0,-34,"-INF%",7,0,-7,"-INF%",0.001263752601843592,0.0,-0.001263752601843592,"-INF%",0.00026018435920309246,0.0,-0.00026018435920309246,"-INF%"
class [[[[D,12,2,-10,"-83.33%",3,2,-1,"-33.33%",0.00044603033006244426,7.518514341566107e-05,-0.00037084518664678317,"-83.14%",0.00011150758251561107,7.518514341566107e-05,-3.632243909995e-05,"-32.57%"
class [[[Ljava.util.concurrent.ExecutorService;,35,3,-32,"-91.43%",2,3,1,"50.0%",0.0013009217960154623,0.0001127777151234916,-0.0011881440808919708,"-91.33%",7.43383883437407e-05,0.0001127777151234916,3.84393267797509e-05,"51.71%"
class java.lang.Object,274,323,49,"17.88%",1,1,0,"0.0%",0.010184359203092477,0.012142400661629263,0.0019580414585367856,"19.23%",3.716919417187035e-05,3.7592571707830533e-05,4.2337753596018255e-07,"1.14%"
