Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.String,531,755,224,"42.18%",4,4,0,"0.0%",0.02485605954219913,0.036597188560349006,0.011741129018149877,"47.24%",0.0001872396199035716,0.00019389238972370335,6.6527698201317436e-06,"3.55%"
class org.elasticsearch.common.xcontent.ToXContent$1,1,1,0,"0.0%",1,1,0,"0.0%",4.68099049758929e-05,4.847309743092584e-05,1.6631924550329359e-06,"3.55%",4.68099049758929e-05,4.847309743092584e-05,1.6631924550329359e-06,"3.55%"
class org.elasticsearch.index.mapper.object.ObjectMapper$Dynamic,3,3,0,"0.0%",3,3,0,"0.0%",0.0001404297149276787,0.0001454192922927775,4.989577365098794e-06,"3.55%",0.0001404297149276787,0.0001454192922927775,4.989577365098794e-06,"3.55%"
class org.elasticsearch.index.query.support.NestedInnerQueryParseSupport,20702,20011,-691,"-3.34%",75,75,0,"0.0%",0.9690586528109348,0.9699951526902569,0.0009364998793220947,"0.1%",0.0035107428731919674,0.003635482307319438,0.00012473943412747053,"3.55%"
class java.lang.Boolean,44827,59842,15015,"33.5%",2,2,0,"0.0%",2.098347610354351,2.900727096461464,0.802379486107113,"38.24%",9.36198099517858e-05,9.694619486185167e-05,3.3263849100658718e-06,"3.55%"
class org.elasticsearch.index.mapper.object.ObjectMapper$Defaults,1,1,0,"0.0%",1,1,0,"0.0%",4.68099049758929e-05,4.847309743092584e-05,1.6631924550329359e-06,"3.55%",4.68099049758929e-05,4.847309743092584e-05,1.6631924550329359e-06,"3.55%"
class java.lang.Class,636,607,-29,"-4.56%",3,4,1,"33.33%",0.029771099564667884,0.029423170140571983,-0.00034792942409590105,"-1.17%",0.0001404297149276787,0.00019389238972370335,5.346267479602464e-05,"38.07%"
class org.elasticsearch.index.mapper.ContentPath$Type,1,1,0,"0.0%",1,1,0,"0.0%",4.68099049758929e-05,4.847309743092584e-05,1.6631924550329359e-06,"3.55%",4.68099049758929e-05,4.847309743092584e-05,1.6631924550329359e-06,"3.55%"
class org.elasticsearch.index.mapper.object.ObjectMapper$Nested,646,604,-42,"-6.5%",5,5,0,"0.0%",0.030239198614426813,0.029277750848279206,-0.0009614477661476079,"-3.18%",0.0002340495248794645,0.0002423654871546292,8.315962275164693e-06,"3.55%"
class org.elasticsearch.index.mapper.object.ObjectMapper$TypeParser,4,4,0,"0.0%",1,1,0,"0.0%",0.0001872396199035716,0.00019389238972370335,6.6527698201317436e-06,"3.55%",4.68099049758929e-05,4.847309743092584e-05,1.6631924550329359e-06,"3.55%"
