Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"float[][][5]",27,0,-27,"-INF%",0.0012,0.0,-0.0012,"-INF%"
"public static org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures org.apache.lucene.util.LuceneTestCase.replaceMaxFailureRule(org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures)",200,618,418,"209.0%",0.008888888888888889,0.02930576631259484,0.020416877423705952,"229.69%"
"float[][][4]",1,5,4,"400.0%",4.4444444444444447e-05,0.00023710166919575115,0.0001926572247513067,"433.48%"
"java.lang.String[][][4]",18,6,-12,"-66.67%",0.0008,0.0002845220030349014,-0.0005154779969650987,"-64.43%"
"float[][][6]",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"java.lang.String[][][0]",207,0,-207,"-INF%",0.0092,0.0,-0.0092,"-INF%"
"public static java.util.Random org.apache.lucene.util.LuceneTestCase.random()",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"public static void org.junit.Assert.assertTrue(java.lang.String|boolean)",28,28,0,"0.0%",0.0012444444444444445,0.0013277693474962064,8.332490305176191e-05,"6.7%"
"public static void org.junit.Assert.assertTrue(boolean)",2,2,0,"0.0%",8.888888888888889e-05,9.484066767830046e-05,5.951778789411565e-06,"6.7%"
"public static void org.elasticsearch.test.ESTestCase.setProcessors()",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"public static org.elasticsearch.common.settings.Settings$Builder org.elasticsearch.test.ESTestCase.settings(org.elasticsearch.Version)",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
