Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class [[Lorg.junit.rules.RuleChain;,110,13,-97,"-88.18%",3,2,-1,"-33.33%",0.004505057951427284,0.0005779832829450472,-0.003927074668482237,"-87.17%",0.00012286521685710776,8.892050506846879e-05,-3.3944711788638974e-05,"-27.63%"
class [[Ljava.util.Set;,14,36,22,"157.14%",1,5,4,"400.0%",0.0005733710119998362,0.0016005690912324383,0.0010271980792326022,"179.15%",4.095507228570259e-05,0.00022230126267117198,0.0001813461903854694,"442.79%"
class [Lorg.junit.rules.RuleChain;,197,97,-100,"-50.76%",60,97,37,"61.67%",0.00806814924028341,0.004312644495820736,-0.0037555047444626736,"-46.55%",0.002457304337142155,0.004312644495820736,0.0018553401586785812,"75.5%"
class [[D,250,197,-53,"-21.2%",11,5,-6,"-54.55%",0.010238768071425645,0.008758669749244176,-0.0014800983221814699,"-14.46%",0.00045050579514272843,0.00022230126267117198,-0.00022820453247155646,"-50.66%"
class [[[[[[[D,2,0,-2,"-INF%",1,0,-1,"-INF%",8.191014457140517e-05,0.0,-8.191014457140517e-05,"-INF%",4.095507228570259e-05,0.0,-4.095507228570259e-05,"-INF%"
class [[Ljava.util.concurrent.ExecutorService;,120,70,-50,"-41.67%",4,5,1,"25.0%",0.00491460867428431,0.0031122176773964077,-0.0018023909968879022,"-36.67%",0.00016382028914281035,0.00022230126267117198,5.8480973528361626e-05,"35.7%"
class [C,4998,4728,-270,"-5.4%",156,64,-92,"-58.97%",0.2046934512839415,0.21020807398186023,0.00551462269791872,"2.69%",0.006388991276569603,0.002845456162191001,-0.003543535114378602,"-55.46%"
class java.lang.Object,19,3,-16,"-84.21%",1,1,0,"0.0%",0.0007781463734283491,0.00013338075760270317,-0.000644765615825646,"-82.86%",4.095507228570259e-05,4.4460252534234394e-05,3.5051802485318065e-06,"8.56%"
class [[[[[[[[I,4,0,-4,"-INF%",4,0,-4,"-INF%",0.00016382028914281035,0.0,-0.00016382028914281035,"-INF%",0.00016382028914281035,0.0,-0.00016382028914281035,"-INF%"
class [Ljava.util.List;,166,6,-160,"-96.39%",3,3,0,"0.0%",0.006798541999426629,0.00026676151520540635,-0.006531780484221223,"-96.08%",0.00012286521685710776,0.00013338075760270317,1.0515540745595413e-05,"8.56%"
class [[Lorg.apache.lucene.search.QueryCachingPolicy;,4,12,8,"200.0%",3,4,1,"33.33%",0.00016382028914281035,0.0005335230304108127,0.00036970274126800235,"225.68%",0.00012286521685710776,0.00017784101013693757,5.497579327982981e-05,"44.74%"
class [[Ljava.lang.Class;,24,4,-20,"-83.33%",2,3,1,"50.0%",0.000982921734856862,0.00017784101013693757,-0.0008050807247199245,"-81.91%",8.191014457140517e-05,0.00013338075760270317,5.1470613031298e-05,"62.84%"
class [Lorg.junit.rules.TestRule;,55,2,-53,"-96.36%",12,2,-10,"-83.33%",0.002252528975713642,8.892050506846879e-05,-0.002163608470645173,"-96.05%",0.000491460867428431,8.892050506846879e-05,-0.00040254036235996224,"-81.91%"
class [F,1470,1056,-414,"-28.16%",86,53,-33,"-38.37%",0.0602039562599828,0.04695002667615152,-0.01325392958383128,"-22.02%",0.003522136216570422,0.0023563933843144228,-0.0011657428322559994,"-33.1%"
class [[[[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,1,0,-1,"-INF%",1,0,-1,"-INF%",4.095507228570259e-05,0.0,-4.095507228570259e-05,"-INF%",4.095507228570259e-05,0.0,-4.095507228570259e-05,"-INF%"
class org.apache.lucene.store.MockDirectoryWrapper$Throttling,290,1401,1111,"383.1%",1,3,2,"200.0%",0.011876970962853749,0.06228881380046239,0.05041184283760864,"424.45%",4.095507228570259e-05,0.00013338075760270317,9.242568531700059e-05,"225.68%"
class [[F,106,10,-96,"-90.57%",7,5,-2,"-28.57%",0.004341237662284474,0.00044460252534234395,-0.0038966351369421302,"-89.76%",0.0002866855059999181,0.00022230126267117198,-6.438424332874611e-05,"-22.46%"
class [[[[[J,2,0,-2,"-INF%",2,0,-2,"-INF%",8.191014457140517e-05,0.0,-8.191014457140517e-05,"-INF%",8.191014457140517e-05,0.0,-8.191014457140517e-05,"-INF%"
class [Lorg.elasticsearch.index.analysis.KuromojiAnalysisTests;,373,46,-327,"-87.67%",78,43,-35,"-44.87%",0.015276241962567064,0.0020451716165747823,-0.013231070345992281,"-86.61%",0.0031944956382848016,0.001911790858972079,-0.0012827047793127226,"-40.15%"
class [B,3667,5619,1952,"53.23%",287,43,-244,"-85.02%",0.15018225007167138,0.24982215898986307,0.09963990891819169,"66.35%",0.011754105745996642,0.001911790858972079,-0.009842314887024563,"-83.74%"
class [[Ljava.util.List;,2,0,-2,"-INF%",1,0,-1,"-INF%",8.191014457140517e-05,0.0,-8.191014457140517e-05,"-INF%",4.095507228570259e-05,0.0,-4.095507228570259e-05,"-INF%"
class [[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,49,65,16,"32.65%",9,7,-2,"-22.22%",0.0020067985419994264,0.0028899164147252357,0.0008831178727258093,"44.01%",0.00036859565057132326,0.0003112217677396408,-5.737388283168248e-05,"-15.57%"
class [[[[Ljava.util.Locale;,3,0,-3,"-INF%",2,0,-2,"-INF%",0.00012286521685710776,0.0,-0.00012286521685710776,"-INF%",8.191014457140517e-05,0.0,-8.191014457140517e-05,"-INF%"
class [[[[[[I,128,5,-123,"-96.09%",7,3,-4,"-57.14%",0.005242249252569931,0.00022230126267117198,-0.005019947989898759,"-95.76%",0.0002866855059999181,0.00013338075760270317,-0.0001533047483972149,"-53.47%"
class [[[Lorg.junit.rules.RuleChain;,7,6,-1,"-14.29%",3,2,-1,"-33.33%",0.0002866855059999181,0.00026676151520540635,-1.9923990794511735e-05,"-6.95%",0.00012286521685710776,8.892050506846879e-05,-3.3944711788638974e-05,"-27.63%"
class [[[Lorg.junit.rules.TestRule;,2,0,-2,"-INF%",2,0,-2,"-INF%",8.191014457140517e-05,0.0,-8.191014457140517e-05,"-INF%",8.191014457140517e-05,0.0,-8.191014457140517e-05,"-INF%"
class [[[J,89,7,-82,"-92.13%",10,4,-6,"-60.0%",0.00364500143342753,0.0003112217677396408,-0.003333779665687889,"-91.46%",0.0004095507228570258,0.00017784101013693757,-0.00023170971272008824,"-56.58%"
class [[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,26,12,-14,"-53.85%",4,8,4,"100.0%",0.0010648318794282672,0.0005335230304108127,-0.0005313088490174545,"-49.9%",0.00016382028914281035,0.00035568202027387515,0.0001918617311310648,"117.12%"
class [[[[F,16,0,-16,"-INF%",3,0,-3,"-INF%",0.0006552811565712414,0.0,-0.0006552811565712414,"-INF%",0.00012286521685710776,0.0,-0.00012286521685710776,"-INF%"
class [Ljava.lang.Iterable;,232,272,40,"17.24%",4,5,1,"25.0%",0.009501576770283,0.012093188689311755,0.0025916119190287547,"27.28%",0.00016382028914281035,0.00022230126267117198,5.8480973528361626e-05,"35.7%"
class [[I,292,137,-155,"-53.08%",5,9,4,"80.0%",0.011958881107425155,0.006091054597190112,-0.005867826510235043,"-49.07%",0.0002047753614285129,0.0004001422728081096,0.00019536691137959667,"95.41%"
class java.util.HashSet,9798,14069,4271,"43.59%",790,412,-378,"-47.85%",0.4012777982553139,0.6255112929041436,0.22423349464882975,"55.88%",0.03235450710570504,0.018317624044104572,-0.014036883061600468,"-43.38%"
class [[[[[[[I,26,0,-26,"-INF%",4,0,-4,"-INF%",0.0010648318794282672,0.0,-0.0010648318794282672,"-INF%",0.00016382028914281035,0.0,-0.00016382028914281035,"-INF%"
class java.lang.Boolean,3506,3572,66,"1.88%",2,2,0,"0.0%",0.14358848343367325,0.15881202205228526,0.015223538618612004,"10.6%",8.191014457140517e-05,8.892050506846879e-05,7.010360497063613e-06,"8.56%"
class [[[Ljava.util.concurrent.ExecutorService;,150,25,-125,"-83.33%",4,8,4,"100.0%",0.006143260842855387,0.0011115063133558599,-0.005031754529499527,"-81.91%",0.00016382028914281035,0.00035568202027387515,0.0001918617311310648,"117.12%"
class [[J,137,41,-96,"-70.07%",10,6,-4,"-40.0%",0.005610844903141254,0.00182287035390361,-0.0037879745492376436,"-67.51%",0.0004095507228570258,0.00026676151520540635,-0.00014278920765161947,"-34.86%"
class [[Ljava.util.Locale;,193,11,-182,"-94.3%",7,4,-3,"-42.86%",0.007904328951140599,0.0004890627778765783,-0.0074152661732640205,"-93.81%",0.0002866855059999181,0.00017784101013693757,-0.00010884449586298051,"-37.97%"
class [[[I,66,16,-50,"-75.76%",5,5,0,"0.0%",0.0027030347708563705,0.0007113640405477503,-0.00199167073030862,"-73.68%",0.0002047753614285129,0.00022230126267117198,1.7525901242659066e-05,"8.56%"
class [[[Lorg.elasticsearch.index.analysis.KuromojiAnalysisTests;,4,2,-2,"-50.0%",1,2,1,"100.0%",0.00016382028914281035,8.892050506846879e-05,-7.489978407434156e-05,"-45.72%",4.095507228570259e-05,8.892050506846879e-05,4.79654327827662e-05,"117.12%"
class [[[[[I,105,23,-82,"-78.1%",5,3,-2,"-40.0%",0.004300282589998771,0.0010225858082873911,-0.0032776967817113797,"-76.22%",0.0002047753614285129,0.00013338075760270317,-7.139460382580973e-05,"-34.86%"
