Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public com.netflix.appinfo.InstanceInfo$Builder com.netflix.appinfo.InstanceInfo$Builder.setHomePageUrl(java.lang.String|java.lang.String)",342,449,107,"31.29%",0.024500322372662798,0.03493347856531549,0.010433156192652695,"42.58%"
"public java.lang.String com.netflix.appinfo.PropertiesInstanceConfig.getStatusPageUrl()",3872,1135,-2737,"-70.69%",0.2773837667454689,0.0883062320080915,-0.18907753473737737,"-68.16%"
"public java.lang.String com.netflix.appinfo.PropertiesInstanceConfig.getVirtualHostName()",1417,3141,1724,"121.67%",0.10151156959667598,0.24437874426203998,0.142867174665364,"140.74%"
"public java.lang.String com.netflix.appinfo.PropertiesInstanceConfig.getStatusPageUrlPath()",1860,716,-1144,"-61.51%",0.13324736728992048,0.05570683887030265,-0.07754052841961784,"-58.19%"
"ADDED",81,4,-77,"-95.06%",0.005802707930367505,0.00031121139033688633,-0.0054914965400306185,"-94.64%"
"public java.lang.String com.netflix.appinfo.PropertiesInstanceConfig.getAppname()",1347,679,-668,"-49.59%",0.09649688373092628,0.05282813350968645,-0.04366875022123983,"-45.25%"
"public java.lang.String com.netflix.appinfo.InstanceInfo.getVersion()",881,476,-405,"-45.97%",0.06311340353893545,0.03703415545008947,-0.02607924808884598,"-41.32%"
"UP",231,4,-227,"-98.27%",0.016548463356973995,0.00031121139033688633,-0.01623725196663711,"-98.12%"
"public com.netflix.appinfo.InstanceInfo$InstanceStatus com.netflix.appinfo.InstanceInfo.getOverriddenStatus()",1541,2416,875,"56.78%",0.11039472741600401,0.18797167976347934,0.07757695234747533,"70.27%"
"public void com.netflix.appinfo.InstanceInfo.setLastDirtyTimestamp(java.lang.Long)",845,545,-300,"-35.5%",0.060534422236549895,0.04240255193340076,-0.018131870303149132,"-29.95%"
"public synchronized void com.netflix.appinfo.ApplicationInfoManager.setInstanceStatus(com.netflix.appinfo.InstanceInfo$InstanceStatus)",3681,3018,-663,"-18.01%",0.26370083816892326,0.23480899400918073,-0.028891844159742525,"-10.96%"
"public java.lang.String com.netflix.appinfo.InstanceInfo.getHostName()",802,927,125,"15.59%",0.057453972347589366,0.07212323971057341,0.014669267362984045,"25.53%"
"public java.lang.String com.netflix.appinfo.PropertiesInstanceConfig.getSecureHealthCheckUrl()",1342,498,-844,"-62.89%",0.09613869188337273,0.03874581809694235,-0.05739287378643038,"-59.7%"
"public com.netflix.appinfo.InstanceInfo com.netflix.appinfo.InstanceInfo$Builder.getRawInstance()",14656,15078,422,"2.88%",1.049931943548965,1.173111335874893,0.12317939232592812,"11.73%"
"public static com.netflix.appinfo.InstanceInfo$InstanceStatus com.netflix.appinfo.InstanceInfo$InstanceStatus.toEnum(java.lang.String)",901,1522,621,"68.92%",0.06454617092914965,0.11841593402318525,0.0538697630940356,"83.46%"
"public long com.netflix.appinfo.InstanceInfo.getLastUpdatedTimestamp()",834,632,-202,"-24.22%",0.059746400171932085,0.04917139967322804,-0.010575000498704044,"-17.7%"
"com.netflix.appinfo.InstanceInfo$Builder(com.netflix.appinfo.InstanceInfo)",1156,13731,12575,"1087.8%",0.08281395515438068,1.0683109001789466,0.9854969450245659,"1190.01%"
"public com.netflix.appinfo.InstanceInfo$Builder com.netflix.appinfo.InstanceInfo$Builder.setHealthCheckUrlsForDeser(java.lang.String|java.lang.String)",2310,1384,-926,"-40.09%",0.16548463356973994,0.10767914105656266,-0.05780549251317728,"-34.93%"
"public boolean com.netflix.appinfo.InstanceInfo.equals(java.lang.Object)",1412,820,-592,"-41.93%",0.10115337774912243,0.0637983350190617,-0.03735504273006074,"-36.93%"
"public java.lang.String com.netflix.appinfo.InstanceInfo.getStatusPageUrl()",1762,1375,-387,"-21.96%",0.1262268070778709,0.10697891542830468,-0.019247891649566223,"-15.25%"
"public int com.netflix.appinfo.InstanceInfo.getPort()",619,400,-219,"-35.38%",0.04434415072712945,0.031121139033688634,-0.013223011693440818,"-29.82%"
