Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.String,19027,12580,-6447,"-33.88%",17,14,-3,"-17.65%",1.363063256680278,0.9787598226095076,-0.3843034340707705,"-28.19%",0.001217852281682069,0.001089239866179102,-0.00012861241550296684,"-10.56%"
class java.lang.Long,851,670,-181,"-21.27%",805,618,-187,"-23.23%",0.06096425245361416,0.05212790788142846,-0.008836344572185698,"-14.49%",0.0576688874561215,0.04808215980704894,-0.009586727649072556,"-16.62%"
class [Ljava.lang.String;,289,197,-92,"-31.83%",12,34,22,"183.33%",0.02070348878859517,0.015327160974091652,-0.005376327814503519,"-25.97%",0.0008596604341285192,0.002645296817863534,0.0017856363837350149,"207.71%"
class java.util.concurrent.ConcurrentHashMap,4041,878,-3163,"-78.27%",16,5,-11,"-68.75%",0.28949065119277884,0.06831090017894655,-0.2211797510138323,"-76.4%",0.001146213912171359,0.0003890142379211079,-0.000757199674250251,"-66.06%"
class java.lang.Integer,8636,16706,8070,"93.45%",11,10,-1,"-9.09%",0.618668959094491,1.2997743717420058,0.6811054126475148,"110.09%",0.0007880220646178094,0.0007780284758422158,-9.993588775593517e-06,"-1.27%"
class com.netflix.appinfo.InstanceInfo$Builder,126670,115841,-10829,"-8.55%",129,90,-39,"-30.23%",9.074432265921628,9.012759667003813,-0.061672598917814625,"-0.68%",0.009241349666881582,0.007002256282579942,-0.00223909338430164,"-24.23%"
class com.netflix.appinfo.LeaseInfo,2935,123,-2812,"-95.81%",1,1,0,"0.0%",0.21025861451393366,0.009569750252859254,-0.2006888642610744,"-95.45%",7.163836951070993e-05,7.780284758422158e-05,6.16447807351165e-06,"8.6%"
class java.util.LinkedHashSet,3448,1947,-1501,"-43.53%",6,3,-3,"-50.0%",0.24700909807292787,0.15148214424647943,-0.09552695382644844,"-38.67%",0.0004298302170642596,0.00023340854275266475,-0.00019642167431159485,"-45.7%"
class com.netflix.appinfo.InstanceInfo$ActionType,4015,4199,184,"4.58%",3,3,0,"0.0%",0.2876280535855004,0.3266941570061464,0.03906610342064598,"13.58%",0.0002149151085321298,0.00023340854275266475,1.849343422053495e-05,"8.6%"
class com.netflix.appinfo.InstanceInfo,34792,34065,-727,"-2.09%",19007,15975,-3032,"-15.95%",2.4924421520166202,2.650354002956508,0.1579118509398878,"6.34%",1.3616304892900637,1.2429004901579397,-0.11872999913212401,"-8.72%"
class com.netflix.appinfo.InstanceInfo$PortType,1988,3146,1158,"58.25%",2,2,0,"0.0%",0.14241707858729136,0.2447677584999611,0.10235067991266975,"71.87%",0.00014327673902141987,0.00015560569516844317,1.23289561470233e-05,"8.6%"
class com.netflix.appinfo.InstanceInfo$InstanceStatus,12129,11189,-940,"-7.75%",5,5,0,"0.0%",0.8689017837954008,0.8705360616198553,0.0016342778244544665,"0.19%",0.0003581918475535497,0.0003890142379211079,3.082239036755822e-05,"8.6%"
class com.netflix.appinfo.MyDataCenterInstanceConfig,11224,18820,7596,"67.68%",10624,14573,3949,"37.17%",0.8040690593882083,1.4642495915350502,0.6601805321468419,"82.1%",0.7610860376817824,1.1338208978448612,0.3727348601630788,"48.97%"
class java.util.LinkedHashMap,2705,3437,732,"27.06%",15,23,8,"53.33%",0.19378178952647038,0.2674083871469696,0.0736265976204992,"37.99%",0.001074575542660649,0.0017894654944370964,0.0007148899517764474,"66.53%"
class com.netflix.appinfo.ApplicationInfoManager,8602,4764,-3838,"-44.62%",1,1,0,"0.0%",0.6162332545311269,0.37065276589123164,-0.24558048863989523,"-39.85%",7.163836951070993e-05,7.780284758422158e-05,6.16447807351165e-06,"8.6%"
class java.lang.Boolean,14276,11283,-2993,"-20.97%",2,2,0,"0.0%",1.0227093631348951,0.8778495292927722,-0.14485983384212298,"-14.16%",0.00014327673902141987,0.00015560569516844317,1.23289561470233e-05,"8.6%"
class java.lang.Class,284,216,-68,"-23.94%",12,11,-1,"-8.33%",0.020345296941041622,0.016805415078191863,-0.0035398818628497586,"-17.4%",0.0008596604341285192,0.0008558313234264374,-3.82911070208184e-06,"-0.45%"
class com.netflix.appinfo.AbstractInstanceConfig$1,4609,4405,-204,"-4.43%",1,1,0,"0.0%",0.3301812450748621,0.34272154360849605,0.012540298533633976,"3.8%",7.163836951070993e-05,7.780284758422158e-05,6.16447807351165e-06,"8.6%"
