Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public static final java.util.Locale java.util.Locale.UK",77,8,-69,"-89.61%",0.070902394106814,0.005594405594405594,-0.0653079885124084,"-92.11%"
"public static java.util.List java.util.Locale.filter(java.util.List|java.util.Collection)",96,2,-94,"-97.92%",0.08839779005524862,0.0013986013986013986,-0.08699918865664721,"-98.42%"
"public static java.util.List java.util.Locale.filter(java.util.List|java.util.Collection|java.util.Locale$FilteringMode)",4,2,-2,"-50.0%",0.003683241252302026,0.0013986013986013986,-0.0022846398537006273,"-62.03%"
"public static final java.util.Locale java.util.Locale.TRADITIONAL_CHINESE",19,2,-17,"-89.47%",0.017495395948434623,0.0013986013986013986,-0.016096794549833225,"-92.01%"
"public static final java.util.Locale java.util.Locale.US",67,3,-64,"-95.52%",0.061694290976058934,0.002097902097902098,-0.05959638887815684,"-96.6%"
"public static final java.util.Locale java.util.Locale.GERMAN",32,32,0,"0.0%",0.029465930018416207,0.022377622377622378,-0.00708830764079383,"-24.06%"
"public final java.lang.String java.util.Locale.toString()",19,21,2,"10.53%",0.017495395948434623,0.014685314685314685,-0.002810081263119938,"-16.06%"
"public static com.github.javafaker.service.FakeValuesServiceInterface com.github.javafaker.Faker.createProxiedFakeValuesService(com.github.javafaker.service.FakeValuesServiceInterface|com.github.javafaker.service.FakeValuesServiceInterface)",18,17,-1,"-5.56%",0.016574585635359115,0.011888111888111888,-0.004686473747247228,"-28.28%"
"public java.lang.String java.util.Locale.getVariant()",56,258,202,"360.71%",0.05156537753222836,0.18041958041958042,0.12885420288735205,"249.89%"
"public com.github.javafaker.Business com.github.javafaker.Faker.business()",42,81,39,"92.86%",0.03867403314917127,0.056643356643356645,0.017969323494185376,"46.46%"
"public static final java.util.Locale java.util.Locale.PRC",3,1,-2,"-66.67%",0.0027624309392265192,0.0006993006993006993,-0.00206313023992582,"-74.69%"
"public java.lang.String java.util.Locale$LanguageRange.getRange()",56,15,-41,"-73.21%",0.05156537753222836,0.01048951048951049,-0.04107586704271787,"-79.66%"
"public static final java.util.Locale java.util.Locale.FRENCH",7,26,19,"271.43%",0.006445672191528545,0.01818181818181818,0.011736145990289635,"182.08%"
"public static final java.util.Locale java.util.Locale.CHINESE",1,1,0,"0.0%",0.0009208103130755065,0.0006993006993006993,-0.00022150961377480718,"-24.06%"
"public java.util.Set java.util.Locale.getExtensionKeys()",35,29,-6,"-17.14%",0.03222836095764273,0.02027972027972028,-0.011948640677922447,"-37.07%"
"public java.util.Locale$Builder java.util.Locale$Builder.clear()",63,238,175,"277.78%",0.058011049723756904,0.16643356643356644,0.10842251670980954,"186.9%"
"public void java.util.Random.nextBytes(byte[])",85,63,-22,"-25.88%",0.07826887661141804,0.044055944055944055,-0.03421293255547399,"-43.71%"
"public static final java.util.Locale java.util.Locale.CANADA_FRENCH",3,2,-1,"-33.33%",0.0027624309392265192,0.0013986013986013986,-0.0013638295406251206,"-49.37%"
"public java.lang.String java.util.Locale.getISO3Language() throws java.util.MissingResourceException",22,47,25,"113.64%",0.020257826887661142,0.032867132867132866,0.012609305979471724,"62.24%"
"public static java.util.List java.util.Locale.filterTags(java.util.List|java.util.Collection)",123,159,36,"29.27%",0.1132596685082873,0.11118881118881119,-0.0020708573194761076,"-1.83%"
"public static java.util.List java.util.Locale.filterTags(java.util.List|java.util.Collection|java.util.Locale$FilteringMode)",19,44,25,"131.58%",0.017495395948434623,0.03076923076923077,0.013273834820796148,"75.87%"
"public static java.util.List java.util.Locale$LanguageRange.parse(java.lang.String)",17,22,5,"29.41%",0.01565377532228361,0.015384615384615385,-0.00026915993766822577,"-1.72%"
"public static java.util.List java.util.Locale$LanguageRange.parse(java.lang.String|java.util.Map)",10,21,11,"110.0%",0.009208103130755065,0.014685314685314685,0.00547721155455962,"59.48%"
"public com.github.javafaker.Business com.github.javafaker.Faker.business",44,87,43,"97.73%",0.040515653775322284,0.06083916083916084,0.020323507063838557,"50.16%"
"public boolean java.util.Random.nextBoolean()",86,43,-43,"-50.0%",0.07918968692449356,0.03006993006993007,-0.04911975685456349,"-62.03%"
"public com.github.javafaker.DateAndTime com.github.javafaker.Faker.dateAndTime",119,71,-48,"-40.34%",0.10957642725598526,0.04965034965034965,-0.05992607760563561,"-54.69%"
