Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class [Ljava.util.Locale$LanguageRange;,35,72,37,"105.71%",3,3,0,"0.0%",0.030782761653474055,0.06382978723404255,0.03304702558056849,"107.36%",0.002638522427440633,0.0026595744680851063,2.1052040644473167e-05,"0.8%"
class java.lang.Long,60,26,-34,"-56.67%",10,17,7,"70.0%",0.052770448548812667,0.02304964539007092,-0.029720803158741746,"-56.32%",0.008795074758135445,0.015070921985815602,0.006275847227680157,"71.36%"
class com.github.javafaker.Address,110,141,31,"28.18%",96,136,40,"41.67%",0.09674582233948989,0.125,0.02825417766051011,"29.2%",0.08443271767810026,0.12056737588652482,0.036134658208424555,"42.8%"
class [Ljava.util.Locale;,27,0,-27,"-INF%",2,0,-2,"-INF%",0.023746701846965697,0.0,-0.023746701846965697,"-INF%",0.001759014951627089,0.0,-0.001759014951627089,"-INF%"
class java.lang.Integer,103,36,-67,"-65.05%",22,22,0,"0.0%",0.09058927000879508,0.031914893617021274,-0.0586743763917738,"-64.77%",0.019349164467897976,0.01950354609929078,0.00015438163139280467,"0.8%"
class java.util.Locale$FilteringMode,35,74,39,"111.43%",5,5,0,"0.0%",0.030782761653474055,0.06560283687943262,0.03482007522595856,"113.12%",0.0043975373790677225,0.004432624113475178,3.5086734407455133e-05,"0.8%"
class [B,84,7,-77,"-91.67%",9,6,-3,"-33.33%",0.07387862796833773,0.0062056737588652485,-0.06767295420947249,"-91.6%",0.0079155672823219,0.005319148936170213,-0.0025964183461516877,"-32.8%"
class java.util.stream.DoublePipeline$Head,213,522,309,"145.07%",213,522,309,"145.07%",0.18733509234828497,0.4627659574468085,0.27543086509852355,"147.03%",0.18733509234828497,0.4627659574468085,0.27543086509852355,"147.03%"
class java.lang.Float,19,18,-1,"-5.26%",8,7,-1,"-12.5%",0.016710642040457344,0.015957446808510637,-0.0007531952319467065,"-4.51%",0.007036059806508356,0.0062056737588652485,-0.0008303860476431071,"-11.8%"
class com.github.javafaker.Options,168,765,597,"355.36%",166,563,397,"239.16%",0.14775725593667546,0.6781914893617021,0.5304342334250267,"358.99%",0.14599824098504838,0.499113475177305,0.3531152341922566,"241.86%"
class com.github.javafaker.PhoneNumber,109,59,-50,"-45.87%",109,57,-52,"-47.71%",0.09586631486367635,0.05230496453900709,-0.043561350324669255,"-45.44%",0.09586631486367635,0.05053191489361702,-0.04533439997005933,"-47.29%"
class com.github.javafaker.Lorem,54,71,17,"31.48%",54,70,16,"29.63%",0.047493403693931395,0.06294326241134751,0.015449858717416116,"32.53%",0.047493403693931395,0.06205673758865248,0.014563333894721087,"30.66%"
class com.github.javafaker.Hacker,52,256,204,"392.31%",49,206,157,"320.41%",0.04573438874230431,0.22695035460992907,0.18121596586762476,"396.24%",0.04309586631486367,0.18262411347517732,0.13952824716031365,"323.76%"
class com.sun.proxy.$Proxy4,12,11,-1,"-8.33%",12,11,-1,"-8.33%",0.010554089709762533,0.00975177304964539,-0.0008023166601171423,"-7.6%",0.010554089709762533,0.00975177304964539,-0.0008023166601171423,"-7.6%"
class com.github.javafaker.Book,594,129,-465,"-78.28%",460,116,-344,"-74.78%",0.5224274406332454,0.11436170212765957,-0.40806573850558586,"-78.11%",0.4045734388742304,0.10283687943262411,-0.3017365594416063,"-74.58%"
class java.util.stream.LongPipeline$Head,363,70,-293,"-80.72%",363,70,-293,"-80.72%",0.31926121372031663,0.06205673758865248,-0.25720447613166414,"-80.56%",0.31926121372031663,0.06205673758865248,-0.25720447613166414,"-80.56%"
class com.github.javafaker.service.RandomService,1045,92,-953,"-91.2%",4,80,76,"1900.0%",0.9190853122251539,0.08156028368794327,-0.8375250285372107,"-91.13%",0.003518029903254178,0.07092198581560284,0.06740395591234867,"1915.96%"
class [Ljava.lang.String;,8,60,52,"650.0%",4,3,-1,"-25.0%",0.007036059806508356,0.05319148936170213,0.04615542955519377,"655.98%",0.003518029903254178,0.0026595744680851063,-0.0008584554351690715,"-24.4%"
class java.util.ArrayList,191,303,112,"58.64%",24,20,-4,"-16.67%",0.167985927880387,0.26861702127659576,0.10063109339620877,"59.9%",0.021108179419525065,0.01773049645390071,-0.0033776829656243547,"-16.0%"
class java.lang.Class,11,11,0,"0.0%",6,6,0,"0.0%",0.009674582233948988,0.00975177304964539,7.719081569640233e-05,"0.8%",0.005277044854881266,0.005319148936170213,4.2104081288946334e-05,"0.8%"
class com.github.javafaker.Finance,282,80,-202,"-71.63%",264,75,-189,"-71.59%",0.24802110817941952,0.07092198581560284,-0.1770991223638167,"-71.4%",0.23218997361477572,0.06648936170212766,-0.16570061191264807,"-71.36%"
class java.util.Collections$EmptySet,250,267,17,"6.8%",1,1,0,"0.0%",0.2198768689533861,0.23670212765957446,0.016825258706188367,"7.65%",0.0008795074758135445,0.0008865248226950354,7.017346881490983e-06,"0.8%"
class java.lang.String,3963,740,-3223,"-81.33%",57,70,13,"22.81%",3.4854881266490767,0.6560283687943262,-2.8294597578547505,"-81.18%",0.05013192612137203,0.06205673758865248,0.011924811467280451,"23.79%"
class com.github.javafaker.Name,154,878,724,"470.13%",151,658,507,"335.76%",0.13544415127528583,0.7783687943262412,0.6429246430509553,"474.68%",0.13280562884784522,0.5833333333333334,0.4505277044854882,"339.24%"
class com.github.javafaker.DateAndTime,375,71,-304,"-81.07%",356,68,-288,"-80.9%",0.32981530343007914,0.06294326241134751,-0.26687204101873163,"-80.92%",0.3131046613896218,0.06028368794326241,-0.2528209734463594,"-80.75%"
class java.lang.Character,2,2,0,"0.0%",2,2,0,"0.0%",0.001759014951627089,0.0017730496453900709,1.4034693762981967e-05,"0.8%",0.001759014951627089,0.0017730496453900709,1.4034693762981967e-05,"0.8%"
class com.github.javafaker.App,78,181,103,"132.05%",78,172,94,"120.51%",0.06860158311345646,0.16046099290780141,0.09185940979434495,"133.9%",0.06860158311345646,0.1524822695035461,0.08388068639008964,"122.27%"
class com.github.javafaker.Internet,69,98,29,"42.03%",60,91,31,"51.67%",0.06068601583113457,0.08687943262411348,0.02619341679297891,"43.16%",0.052770448548812667,0.08067375886524823,0.027903310316435566,"52.88%"
class com.github.javafaker.Company,87,235,148,"170.11%",84,168,84,"100.0%",0.07651715039577836,0.20833333333333334,0.13181618293755498,"172.27%",0.07387862796833773,0.14893617021276595,0.07505754224442822,"101.6%"
class java.util.stream.IntPipeline$Head,85,71,-14,"-16.47%",85,71,-14,"-16.47%",0.07475813544415127,0.06294326241134751,-0.011814873032803763,"-15.8%",0.07475813544415127,0.06294326241134751,-0.011814873032803763,"-15.8%"
class java.util.Random,421,511,90,"21.38%",421,511,90,"21.38%",0.3702726473175022,0.4530141843971631,0.08274153707966092,"22.35%",0.3702726473175022,0.4530141843971631,0.08274153707966092,"22.35%"
class java.util.Locale$LanguageRange,40,84,44,"110.0%",11,54,43,"390.91%",0.03518029903254178,0.07446808510638298,0.039287786073841195,"111.68%",0.009674582233948988,0.047872340425531915,0.03819775819158293,"394.83%"
class com.github.javafaker.Number,113,83,-30,"-26.55%",113,80,-33,"-29.2%",0.09938434476693052,0.07358156028368794,-0.02580278448324258,"-25.96%",0.09938434476693052,0.07092198581560284,-0.028462358951327676,"-28.64%"
class com.github.javafaker.Business,100,45,-55,"-55.0%",99,45,-54,"-54.55%",0.08795074758135445,0.0398936170212766,-0.04805713056007785,"-54.64%",0.0870712401055409,0.0398936170212766,-0.047177623084264306,"-54.18%"
class java.util.Locale,3308,1186,-2122,"-64.15%",83,128,45,"54.22%",2.909410729991205,1.051418439716312,-1.857992290274893,"-63.86%",0.07299912049252419,0.11347517730496454,0.04047605681244035,"55.45%"
class com.github.javafaker.Faker,1438,1502,64,"4.45%",1438,1502,64,"4.45%",1.264731750219877,1.3315602836879432,0.06682853346806628,"5.28%",1.264731750219877,1.3315602836879432,0.06682853346806628,"5.28%"
class java.util.Locale$Category,28,20,-8,"-28.57%",2,2,0,"0.0%",0.024626209322779244,0.01773049645390071,-0.006895712868878533,"-28.0%",0.001759014951627089,0.0017730496453900709,1.4034693762981967e-05,"0.8%"
class java.lang.Double,158,81,-77,"-48.73%",19,55,36,"189.47%",0.13896218117854,0.07180851063829788,-0.06715367054024213,"-48.33%",0.016710642040457344,0.04875886524822695,0.03204822320776961,"191.78%"
class java.util.Locale$Builder,687,619,-68,"-9.9%",186,125,-61,"-32.8%",0.604221635883905,0.5487588652482269,-0.05546277063567806,"-9.18%",0.16358839050131926,0.11081560283687943,-0.05277278766443984,"-32.26%"
class com.github.javafaker.Code,91,173,82,"90.11%",90,169,79,"87.78%",0.08003518029903255,0.15336879432624115,0.0733336140272086,"91.63%",0.079155672823219,0.149822695035461,0.070667022212242,"89.28%"
class java.lang.Boolean,203,221,18,"8.87%",2,2,0,"0.0%",0.1785400175901495,0.19592198581560283,0.01738196822545332,"9.74%",0.001759014951627089,0.0017730496453900709,1.4034693762981967e-05,"0.8%"
class com.github.javafaker.Color,67,92,25,"37.31%",65,86,21,"32.31%",0.058927000879507474,0.08156028368794327,0.022633282808435795,"38.41%",0.05716798592788039,0.07624113475177305,0.01907314882389266,"33.36%"
class com.github.javafaker.service.FakeValuesService,64,254,190,"296.88%",64,228,164,"256.25%",0.056288478452066845,0.225177304964539,0.16888882651247217,"300.04%",0.056288478452066845,0.20212765957446807,0.14583918112240124,"259.09%"
