Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public static java.lang.String org.jsoup.helper.HttpConnection$Response.getRequestCookieString(org.jsoup.Connection$Request)",1,1,0,"0.0%",3.96809650410698e-05,0.000146177459435755,0.0001064964943946852,"268.38%"
"public java.util.Map org.jsoup.helper.HttpConnection$Base.cookies()",5332,200,-5132,"-96.25%",0.21157890559898418,0.029235491887151,-0.18234341371183319,"-86.18%"
"public static void org.jsoup.helper.HttpConnection$Response.serialiseRequestUrl(org.jsoup.Connection$Request) throws java.io.IOException",1,1,0,"0.0%",3.96809650410698e-05,0.000146177459435755,0.0001064964943946852,"268.38%"
"public java.nio.ByteBuffer org.jsoup.helper.HttpConnection$Response.byteData",10509,829,-9680,"-92.11%",0.4170072616166025,0.1211811138722409,-0.2958261477443616,"-70.94%"
"public java.lang.String org.jsoup.helper.HttpConnection$Response.statusMessage",4036,245,-3791,"-93.93%",0.1601523749057577,0.035813477561759975,-0.12433889734399772,"-77.64%"
"public byte[] org.jsoup.helper.HttpConnection$Response.bodyAsBytes()",995,96,-899,"-90.35%",0.03948256021586445,0.01403303610583248,-0.02544952411003197,"-64.46%"
"public java.lang.String org.jsoup.helper.HttpConnection$Response.body()",1094,85,-1009,"-92.23%",0.04341097575493036,0.012425084052039176,-0.030985891702891184,"-71.38%"
"public java.lang.String org.jsoup.helper.HttpConnection$Response.charset()",9097,590,-8507,"-93.51%",0.36097773897861196,0.08624470106709545,-0.2747330379115165,"-76.11%"
"public static int org.jsoup.helper.HttpConnection$Response.MAX_REDIRECTS",1,1,0,"0.0%",3.96809650410698e-05,0.000146177459435755,0.0001064964943946852,"268.38%"
"public int org.jsoup.helper.HttpConnection$Response.statusCode()",5903,570,-5333,"-90.34%",0.23423673663743502,0.08332115187838035,-0.15091558475905467,"-64.43%"
"public java.lang.String org.jsoup.helper.HttpConnection$Base.cookie(java.lang.String)",11524,731,-10793,"-93.66%",0.45728344113328834,0.10685572284753692,-0.3504277182857514,"-76.63%"
"public org.jsoup.Connection$Base org.jsoup.helper.HttpConnection$Base.cookie(java.lang.String|java.lang.String)",2694,944,-1750,"-64.96%",0.10690051982064204,0.13799152170735274,0.031091001886710698,"29.08%"
"public org.jsoup.Connection$Method org.jsoup.helper.HttpConnection$Base.method()",19250,779,-18471,"-95.95%",0.7638585770405937,0.11387224090045316,-0.6499863361401406,"-85.09%"
"public org.jsoup.Connection$Base org.jsoup.helper.HttpConnection$Base.method(org.jsoup.Connection$Method)",1025,70,-955,"-93.17%",0.040672989167096545,0.01023242216050285,-0.030440567006593693,"-74.84%"
"public boolean org.jsoup.helper.HttpConnection$Base.hasHeader(java.lang.String)",3675,233,-3442,"-93.66%",0.14582754652593152,0.03405934804853092,-0.1117681984774006,"-76.64%"
"public static boolean java.util.Collections.addAll(java.util.Collection|java.lang.Object[])",1,1,0,"0.0%",3.96809650410698e-05,0.000146177459435755,0.0001064964943946852,"268.38%"
"public java.lang.String org.jsoup.helper.HttpConnection$Base.getHeaderCaseInsensitive(java.lang.String)",5109,794,-4315,"-84.46%",0.2027300503948256,0.11606490279198947,-0.08666514760283614,"-42.75%"
"public static org.jsoup.helper.HttpConnection$Response org.jsoup.helper.HttpConnection$Response.execute(org.jsoup.Connection$Request) throws java.io.IOException",1,1,0,"0.0%",3.96809650410698e-05,0.000146177459435755,0.0001064964943946852,"268.38%"
"public static org.jsoup.helper.HttpConnection$Response org.jsoup.helper.HttpConnection$Response.execute(org.jsoup.Connection$Request|org.jsoup.helper.HttpConnection$Response) throws java.io.IOException",980,370,-610,"-62.24%",0.0388873457402484,0.05408565999122935,0.015198314250980949,"39.08%"
"public boolean org.jsoup.helper.HttpConnection$Response.executed",4032,326,-3706,"-91.91%",0.15999365104559343,0.04765385177605613,-0.1123397992695373,"-70.22%"
