Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.String,2852,3911,1059,"37.13%",2,14,12,"600.0%",0.11166797180892718,0.17061466649216944,0.05894669468324226,"52.79%",7.830853563038371e-05,0.0006107403044976661,0.0005324317688672824,"679.92%"
class java.util.LinkedHashMap$Entry,947,32,-915,"-96.62%",2,9,7,"350.0%",0.03707909162098669,0.0013959778388518082,-0.03568311378213488,"-96.24%",7.830853563038371e-05,0.00039261876717707107,0.00031431023154668736,"401.37%"
class java.util.ArrayList,1,1,0,"0.0%",1,1,0,"0.0%",3.9154267815191856e-05,4.3624307464119006e-05,4.47003964892715e-06,"11.42%",3.9154267815191856e-05,4.3624307464119006e-05,4.47003964892715e-06,"11.42%"
class java.lang.Integer,10595,16256,5661,"53.43%",1,17,16,"1600.0%",0.4148394675019577,0.7091567421367185,0.2943172746347608,"70.95%",3.9154267815191856e-05,0.0007416132268900232,0.0007024589590748313,"1794.08%"
class java.util.LinkedHashMap,34886,15189,-19697,"-56.46%",9,201,192,"2133.33%",1.365935787000783,0.6626096060725036,-0.7033261809282795,"-51.49%",0.0003523884103367267,0.00876848580028792,0.008416097389951194,"2388.3%"
class org.jsoup.helper.HttpConnection$Response,102761,118715,15954,"15.53%",31,1201,1170,"3774.19%",4.02353171495693,5.178859660602888,1.1553279456459578,"28.71%",0.0012137823022709475,0.05239279326440693,0.05117901096213598,"4216.49%"
class [Lorg.jsoup.Connection$KeyVal;,1,1,0,"0.0%",1,1,0,"0.0%",3.9154267815191856e-05,4.3624307464119006e-05,4.47003964892715e-06,"11.42%",3.9154267815191856e-05,4.3624307464119006e-05,4.47003964892715e-06,"11.42%"
class java.lang.Boolean,22100,10991,-11109,"-50.27%",2,2,0,"0.0%",0.86530931871574,0.479474763338132,-0.385834555377608,"-44.59%",7.830853563038371e-05,8.724861492823801e-05,8.9400792978543e-06,"11.42%"
class java.lang.Class,1423,957,-466,"-32.75%",3,7,4,"133.33%",0.05571652310101801,0.04174846224316189,-0.013968060857856124,"-25.07%",0.00011746280344557557,0.0003053701522488331,0.0001879073488032575,"159.97%"
class java.util.regex.Pattern$$Lambda$200/1885780198,0,4183,4183,"INF%",0,1,1,"INF%",0.0,0.1824804781224098,0.1824804781224098,"INF%",0.0,4.3624307464119006e-05,4.3624307464119006e-05,"INF%"
class [Ljava.lang.String;,0,10778,10778,"INF%",0,179,179,"INF%",0.0,0.47018278584827466,0.47018278584827466,"INF%",0.0,0.007808751036077303,0.007808751036077303,"INF%"
class java.util.regex.Matcher,0,2764,2764,"INF%",0,2727,2727,"INF%",0.0,0.12057758583082494,0.12057758583082494,"INF%",0.0,0.11896348645465253,0.11896348645465253,"INF%"
class java.util.stream.ReferencePipeline$Head,0,3635,3635,"INF%",0,3635,3635,"INF%",0.0,0.1585743576320726,0.1585743576320726,"INF%",0.0,0.1585743576320726,0.1585743576320726,"INF%"
class java.util.regex.Pattern,0,4844,4844,"INF%",0,4738,4738,"INF%",0.0,0.21131614535619248,0.21131614535619248,"INF%",0.0,0.20669196876499585,0.20669196876499585,"INF%"
