Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.String,50488,37921,-12567,"-24.89%",10,9,-1,"-10.0%",2.900608985407331,2.261779792437075,-0.6388291929702561,"-22.02%",0.000574514535217741,0.0005368006680186091,-3.771386719913193e-05,"-6.56%"
class org.jsoup.nodes.Document$OutputSettings,87070,83484,-3586,"-4.12%",53415,61466,8051,"15.07%",5.002298058140871,4.979362996540618,-0.02293506160025327,"-0.46%",3.0687693898655635,3.666109984492425,0.5973405946268615,"19.47%"
class java.lang.Integer,54124,9571,-44553,"-82.32%",9,9,0,"0.0%",3.1095024704125014,0.5708576881784564,-2.538644782234045,"-81.64%",0.000517063081695967,0.0005368006680186091,1.9737586322642162e-05,"3.82%"
class sun.nio.cs.UTF_8,8504,23442,14938,"175.66%",1,1,0,"0.0%",0.48856716074916695,1.3981868066324705,0.9096196458833036,"186.18%",5.74514535217741e-05,5.9644518668734345e-05,2.1930651469602455e-06,"3.82%"
class org.jsoup.nodes.TextNode,30340,34304,3964,"13.07%",705,446,-259,"-36.74%",1.7430770998506262,2.046045568412263,0.30296846856163673,"17.38%",0.040503274732850744,0.02660145532625552,-0.013901819406595226,"-34.32%"
class org.jsoup.nodes.Attributes,4529,4030,-499,"-11.02%",96,49,-47,"-48.96%",0.2601976330001149,0.2403674102349994,-0.01983022276511548,"-7.62%",0.005515339538090314,0.002922581414767983,-0.0025927581233223308,"-47.01%"
class java.util.Collections$UnmodifiableRandomAccessList,1611,4195,2584,"160.4%",1,1,0,"0.0%",0.09255429162357807,0.2502087558153406,0.1576544641917625,"170.34%",5.74514535217741e-05,5.9644518668734345e-05,2.1930651469602455e-06,"3.82%"
class sun.nio.cs.UTF_8$Encoder,11525,15927,4402,"38.2%",1,1,0,"0.0%",0.6621280018384466,0.9499582488369319,0.28783024699848536,"43.47%",5.74514535217741e-05,5.9644518668734345e-05,2.1930651469602455e-06,"3.82%"
class java.lang.Boolean,21930,12706,-9224,"-42.06%",2,2,0,"0.0%",1.259910375732506,0.7578432542049386,-0.5020671215275675,"-39.85%",0.0001149029070435482,0.00011928903733746869,4.386130293920491e-06,"3.82%"
class java.util.ArrayList,3019,1822,-1197,"-39.65%",1,1,0,"0.0%",0.173445938182236,0.10867231301443397,-0.06477362516780202,"-37.35%",5.74514535217741e-05,5.9644518668734345e-05,2.1930651469602455e-06,"3.82%"
class org.jsoup.nodes.Entities$EscapeMode,15293,55632,40339,"263.77%",1,1,0,"0.0%",0.8786050787084914,3.318143862579029,2.439538783870538,"277.66%",5.74514535217741e-05,5.9644518668734345e-05,2.1930651469602455e-06,"3.82%"
class java.lang.Class,411,416,5,"1.22%",9,9,0,"0.0%",0.023612547397449155,0.024812119766193488,0.0011995723687443331,"5.08%",0.000517063081695967,0.0005368006680186091,1.9737586322642162e-05,"3.82%"
class java.util.Collections$EmptyList,2428,2392,-36,"-1.48%",1,1,0,"0.0%",0.1394921291508675,0.14266968865561255,0.0031775595047450478,"2.28%",5.74514535217741e-05,5.9644518668734345e-05,2.1930651469602455e-06,"3.82%"
