Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public static java.lang.String org.jsoup.helper.HttpConnection$Response.getRequestCookieString(org.jsoup.Connection$Request)",1,1,0,"0.0%",4.013646397752358e-05,9.606147934678194e-05,5.592501536925836e-05,"139.34%"
"public java.util.Map org.jsoup.helper.HttpConnection$Base.cookies()",4061,1894,-2167,"-53.36%",0.16299418021272327,0.181940441882805,0.018946261670081732,"11.62%"
"public static void org.jsoup.helper.HttpConnection$Response.serialiseRequestUrl(org.jsoup.Connection$Request) throws java.io.IOException",1,1,0,"0.0%",4.013646397752358e-05,9.606147934678194e-05,5.592501536925836e-05,"139.34%"
"public java.nio.ByteBuffer org.jsoup.helper.HttpConnection$Response.byteData",7135,707,-6428,"-90.09%",0.28637367047963075,0.06791546589817483,-0.21845820458145593,"-76.28%"
"public java.lang.String org.jsoup.helper.HttpConnection$Response.statusMessage",4245,694,-3551,"-83.65%",0.1703792895845876,0.06666666666666667,-0.10371262291792092,"-60.87%"
"public byte[] org.jsoup.helper.HttpConnection$Response.bodyAsBytes()",1007,122,-885,"-87.88%",0.04041741922536624,0.011719500480307397,-0.028697918745058844,"-71.0%"
"public java.lang.String org.jsoup.helper.HttpConnection$Response.body()",959,98,-861,"-89.78%",0.03849086895444511,0.00941402497598463,-0.02907684397846048,"-75.54%"
"public static java.util.regex.Pattern org.jsoup.helper.HttpConnection$Response.xmlContentTypeRxp",9,698,689,"7655.56%",0.0003612281757977122,0.0670509125840538,0.06668968440825608,"18461.93%"
"public static java.util.LinkedHashMap org.jsoup.helper.HttpConnection$Response.createHeaderMap(java.net.HttpURLConnection)",1,1,0,"0.0%",4.013646397752358e-05,9.606147934678194e-05,5.592501536925836e-05,"139.34%"
"public java.lang.String org.jsoup.helper.HttpConnection$Response.charset()",4728,686,-4042,"-85.49%",0.1897652016857315,0.0658981748318924,-0.12386702685383909,"-65.27%"
"public static int org.jsoup.helper.HttpConnection$Response.MAX_REDIRECTS",1,94,93,"9300.0%",4.013646397752358e-05,0.009029779058597502,0.008989642594619977,"22397.69%"
"public int org.jsoup.helper.HttpConnection$Response.statusCode()",5659,553,-5106,"-90.23%",0.22713224964880593,0.05312199807877041,-0.17401025157003552,"-76.61%"
"public org.jsoup.Connection$Base org.jsoup.helper.HttpConnection$Base.cookie(java.lang.String|java.lang.String)",7985,263,-7722,"-96.71%",0.32048966486052577,0.02526416906820365,-0.2952254957923221,"-92.12%"
"public java.lang.String org.jsoup.helper.HttpConnection$Base.cookie(java.lang.String)",4215,599,-3616,"-85.79%",0.1691751956652619,0.05754082612872238,-0.11163436953653952,"-65.99%"
"public org.jsoup.Connection$Base org.jsoup.helper.HttpConnection$Base.method(org.jsoup.Connection$Method)",997,127,-870,"-87.26%",0.04001605458559101,0.012199807877041306,-0.0278162467085497,"-69.51%"
"public org.jsoup.Connection$Method org.jsoup.helper.HttpConnection$Base.method()",6749,350,-6399,"-94.81%",0.27088099538430666,0.03362151777137368,-0.23725947761293298,"-87.59%"
"public static java.lang.String org.jsoup.helper.HttpConnection$Response.setOutputContentType(org.jsoup.Connection$Request)",1,1,0,"0.0%",4.013646397752358e-05,9.606147934678194e-05,5.592501536925836e-05,"139.34%"
"public boolean org.jsoup.helper.HttpConnection$Base.hasHeader(java.lang.String)",3498,302,-3196,"-91.37%",0.1403973509933775,0.029010566762728146,-0.11138678423064935,"-79.34%"
"public boolean org.jsoup.helper.HttpConnection$Base.hasHeaderWithValue(java.lang.String|java.lang.String)",4568,261,-4307,"-94.29%",0.18334336744932772,0.025072046109510086,-0.15827132133981764,"-86.33%"
"public java.lang.String org.jsoup.helper.HttpConnection$Base.getHeaderCaseInsensitive(java.lang.String)",11404,2733,-8671,"-76.03%",0.4577162351996789,0.26253602305475504,-0.19518021214492387,"-42.64%"
"public static org.jsoup.helper.HttpConnection$Response org.jsoup.helper.HttpConnection$Response.execute(org.jsoup.Connection$Request) throws java.io.IOException",1,1,0,"0.0%",4.013646397752358e-05,9.606147934678194e-05,5.592501536925836e-05,"139.34%"
"public static org.jsoup.helper.HttpConnection$Response org.jsoup.helper.HttpConnection$Response.execute(org.jsoup.Connection$Request|org.jsoup.helper.HttpConnection$Response) throws java.io.IOException",992,384,-608,"-61.29%",0.03981537226570339,0.03688760806916427,-0.0029277641965391246,"-7.35%"
"public boolean org.jsoup.helper.HttpConnection$Response.executed",7186,621,-6565,"-91.36%",0.2884206301424844,0.059654178674351584,-0.22876645146813285,"-79.32%"
"public org.jsoup.Connection$Base org.jsoup.helper.HttpConnection$Base.removeHeader(java.lang.String)",4798,420,-4378,"-91.25%",0.19257475416415815,0.040345821325648415,-0.15222893283850975,"-79.05%"
"public static javax.net.ssl.HostnameVerifier org.jsoup.helper.HttpConnection$Response.getInsecureVerifier()",1,1,0,"0.0%",4.013646397752358e-05,9.606147934678194e-05,5.592501536925836e-05,"139.34%"
"public int org.jsoup.helper.HttpConnection$Response.numRedirects",12137,334,-11803,"-97.25%",0.4871362632952037,0.03208453410182517,-0.45505172919337855,"-93.41%"
"public static java.lang.String org.jsoup.helper.HttpConnection$Response.LOCATION",3,71,68,"2266.67%",0.00012040939193257074,0.006820365033621518,0.006699955641688947,"5564.31%"
"public java.lang.String org.jsoup.helper.HttpConnection$Response.charset",4673,695,-3978,"-85.13%",0.18755769616696769,0.06676272814601344,-0.12079496802095424,"-64.4%"
"public org.jsoup.Connection$Base org.jsoup.helper.HttpConnection$Base.removeCookie(java.lang.String)",3045,1392,-1653,"-54.29%",0.12221553281155931,0.13371757925072045,0.01150204643916114,"9.41%"
"public int org.jsoup.helper.HttpConnection$Response.statusCode",5496,239,-5257,"-95.65%",0.2205900060204696,0.022958693563880885,-0.19763131245658871,"-89.59%"
"public java.lang.String org.jsoup.helper.HttpConnection$Response.contentType()",8305,295,-8010,"-96.45%",0.3333333333333333,0.028338136407300672,-0.30499519692603266,"-91.5%"
"public java.util.Map org.jsoup.helper.HttpConnection$Base.headers()",4432,338,-4094,"-92.37%",0.17788480834838452,0.032468780019212294,-0.14541602832917222,"-81.75%"
"public final native java.lang.Class java.lang.Object.getClass()",987,126,-861,"-87.23%",0.039614689945815774,0.012103746397694525,-0.02751094354812125,"-69.45%"
"public static synchronized void org.jsoup.helper.HttpConnection$Response.initUnSecureTSL() throws java.io.IOException",1,1,0,"0.0%",4.013646397752358e-05,9.606147934678194e-05,5.592501536925836e-05,"139.34%"
"public org.jsoup.Connection$Request org.jsoup.helper.HttpConnection$Response.req",5820,434,-5386,"-92.54%",0.23359422034918723,0.04169068203650336,-0.19190353831268386,"-82.15%"
"public java.lang.String org.jsoup.helper.HttpConnection$Response.contentType",8811,1911,-6900,"-78.31%",0.3536423841059603,0.1835734870317003,-0.17006889707425998,"-48.09%"
"public boolean org.jsoup.helper.HttpConnection$Base.hasCookie(java.lang.String)",3601,569,-3032,"-84.2%",0.14453140678306242,0.05465898174831892,-0.08987242503474349,"-62.18%"
"public org.jsoup.Connection$Base org.jsoup.helper.HttpConnection$Base.url(java.net.URL)",985,106,-879,"-89.24%",0.03953441701786073,0.010182516810758886,-0.029351900207101843,"-74.24%"
"public java.net.URL org.jsoup.helper.HttpConnection$Base.url()",6549,326,-6223,"-95.02%",0.2628537025888019,0.03131604226705091,-0.231537660321751,"-88.09%"
"public static void org.jsoup.helper.HttpConnection$Response.writePost(org.jsoup.Connection$Request|java.io.OutputStream|java.lang.String) throws java.io.IOException",3,73,70,"2333.33%",0.00012040939193257074,0.007012487992315082,0.006892078600382511,"5723.87%"
