Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public static java.lang.String org.jsoup.helper.HttpConnection$Response.getRequestCookieString(org.jsoup.Connection$Request)",1,1,0,"0.0%",4.0526849037487334e-05,3.947732027949943e-05,-1.0495287579879046e-06,"-2.59%"
"public java.util.Map org.jsoup.helper.HttpConnection$Base.cookies()",8194,5681,-2513,"-30.67%",0.3320770010131712,0.22427065650783626,-0.10780634450533497,"-32.46%"
"public static void org.jsoup.helper.HttpConnection$Response.serialiseRequestUrl(org.jsoup.Connection$Request) throws java.io.IOException",1,1,0,"0.0%",4.0526849037487334e-05,3.947732027949943e-05,-1.0495287579879046e-06,"-2.59%"
"public java.nio.ByteBuffer org.jsoup.helper.HttpConnection$Response.byteData",4633,3258,-1375,"-29.68%",0.18776089159067882,0.12861710947060914,-0.05914378212006968,"-31.5%"
"public java.lang.String org.jsoup.helper.HttpConnection$Response.statusMessage",11291,4572,-6719,"-59.51%",0.4575886524822695,0.18049030831787138,-0.2770983441643981,"-60.56%"
"public byte[] org.jsoup.helper.HttpConnection$Response.bodyAsBytes()",1034,782,-252,"-24.37%",0.0419047619047619,0.030871264458568554,-0.01103349744619335,"-26.33%"
"public java.lang.String org.jsoup.helper.HttpConnection$Response.body()",962,816,-146,"-15.18%",0.038986828774062815,0.03221349334807153,-0.006773335425991282,"-17.37%"
"public static java.util.regex.Pattern org.jsoup.helper.HttpConnection$Response.xmlContentTypeRxp",1,1,0,"0.0%",4.0526849037487334e-05,3.947732027949943e-05,-1.0495287579879046e-06,"-2.59%"
"public java.lang.String org.jsoup.helper.HttpConnection$Response.charset()",10964,5219,-5745,"-52.4%",0.44433637284701116,0.2060321345387075,-0.23830423830830366,"-53.63%"
"public static int org.jsoup.helper.HttpConnection$Response.MAX_REDIRECTS",25,1,-24,"-96.0%",0.0010131712259371835,3.947732027949943e-05,-0.000973693905657684,"-96.1%"
"public int org.jsoup.helper.HttpConnection$Response.statusCode()",7964,6704,-1260,"-15.82%",0.32275582573454914,0.26465595515376417,-0.058099870580784974,"-18.0%"
"public org.jsoup.Connection$Base org.jsoup.helper.HttpConnection$Base.cookie(java.lang.String|java.lang.String)",4647,13508,8861,"190.68%",0.18832826747720366,0.5332596423354783,0.34493137485827463,"183.15%"
"public java.lang.String org.jsoup.helper.HttpConnection$Base.cookie(java.lang.String)",3023,2286,-737,"-24.38%",0.12251266464032422,0.09024515415893569,-0.032267510481388526,"-26.34%"
"public org.jsoup.Connection$Base org.jsoup.helper.HttpConnection$Base.method(org.jsoup.Connection$Method)",1024,882,-142,"-13.87%",0.04149949341438703,0.0348189964865185,-0.006680496927868533,"-16.1%"
"public org.jsoup.Connection$Method org.jsoup.helper.HttpConnection$Base.method()",17835,3938,-13897,"-77.92%",0.7227963525835867,0.15546168726066875,-0.5673346653229179,"-78.49%"
"public static synchronized void org.jsoup.helper.HttpConnection$Response.initUnSecureSSL() throws java.io.IOException",1,1,0,"0.0%",4.0526849037487334e-05,3.947732027949943e-05,-1.0495287579879046e-06,"-2.59%"
"public boolean org.jsoup.helper.HttpConnection$Base.hasHeader(java.lang.String)",2854,2019,-835,"-29.26%",0.11566362715298885,0.07970470964430934,-0.03595891750867951,"-31.09%"
"public boolean org.jsoup.helper.HttpConnection$Base.hasHeaderWithValue(java.lang.String|java.lang.String)",2595,3427,832,"32.06%",0.10516717325227963,0.13528877659784455,0.03012160334556492,"28.64%"
"public java.lang.String org.jsoup.helper.HttpConnection$Base.getHeaderCaseInsensitive(java.lang.String)",7741,25501,17760,"229.43%",0.31371833839918944,1.006711144447515,0.6929928060483255,"220.9%"
"public static org.jsoup.helper.HttpConnection$Response org.jsoup.helper.HttpConnection$Response.execute(org.jsoup.Connection$Request|org.jsoup.helper.HttpConnection$Response) throws java.io.IOException",935,791,-144,"-15.4%",0.03789260385005066,0.031226560341084047,-0.006666043508966612,"-17.59%"
"public static org.jsoup.helper.HttpConnection$Response org.jsoup.helper.HttpConnection$Response.execute(org.jsoup.Connection$Request) throws java.io.IOException",1,1,0,"0.0%",4.0526849037487334e-05,3.947732027949943e-05,-1.0495287579879046e-06,"-2.59%"
