Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3WindowConfiguration.setWindowListener(com.badlogic.gdx.backends.lwjgl3.Lwjgl3WindowListener)",53646,32201,-21445,"-39.98%",1.6503414754199224,0.9898558298238603,-0.660485645596062,"-40.02%"
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3WindowConfiguration.setTitle(java.lang.String)",36582,62963,26381,"72.11%",1.1253922352796406,1.9354769296978267,0.8100846944181861,"71.98%"
"com.badlogic.gdx.backends.lwjgl3.Lwjgl3Application(com.badlogic.gdx.ApplicationListener| com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration)",1,1,0,"0.0%",3.076355134436719e-05,3.07399096246657e-05,-2.3641719701489295e-08,"-0.08%"
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3WindowConfiguration.setDecorated(boolean)",49169,33024,-16145,"-32.84%",1.5126130560511906,1.0151547754449601,-0.49745828060623043,"-32.89%"
"public static final int com.badlogic.gdx.Application.LOG_INFO",1,1,0,"0.0%",3.076355134436719e-05,3.07399096246657e-05,-2.3641719701489295e-08,"-0.08%"
"com.badlogic.gdx.backends.lwjgl3.Lwjgl3WindowConfiguration()",32500,32525,25,"0.08%",0.9998154186919338,0.999815560542252,1.4185031815827642e-07,"0.0%"
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3WindowConfiguration.setResizable(boolean)",29887,28663,-1224,"-4.1%",0.9194302590291024,0.8810980295717931,-0.0383322294573093,"-4.17%"
"public static final int com.badlogic.gdx.Application.LOG_ERROR",1,1,0,"0.0%",3.076355134436719e-05,3.07399096246657e-05,-2.3641719701489295e-08,"-0.08%"
"public static final int com.badlogic.gdx.Application.LOG_DEBUG",1,1,0,"0.0%",3.076355134436719e-05,3.07399096246657e-05,-2.3641719701489295e-08,"-0.08%"
"public static final int com.badlogic.gdx.Application.LOG_NONE",1,1,0,"0.0%",3.076355134436719e-05,3.07399096246657e-05,-2.3641719701489295e-08,"-0.08%"
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3WindowConfiguration.setFullscreenMode(com.badlogic.gdx.Graphics$DisplayMode)",38196,44154,5958,"15.6%",1.1750446071494494,1.3572899695674894,0.18224536241804,"15.51%"
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3WindowConfiguration.setWindowPosition(int|int)",31945,60850,28905,"90.48%",0.98274164769581,1.870523500660908,0.887781852965098,"90.34%"
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3WindowConfiguration.setInitialBackgroundColor(com.badlogic.gdx.graphics.Color)",38237,35858,-2379,"-6.22%",1.1763059127545683,1.1022716793212628,-0.07403423343330551,"-6.29%"
"public final native java.lang.Class java.lang.Object.getClass()",6082,6004,-78,"-1.28%",0.18710391927644127,0.18456241738649287,-0.0025415018899483943,"-1.36%"
"java.lang.Object()",1,1,0,"0.0%",3.076355134436719e-05,3.07399096246657e-05,-2.3641719701489295e-08,"-0.08%"
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3WindowConfiguration.setInitialVisible(boolean)",34279,29804,-4475,"-13.05%",1.054543776533563,0.9161722664535367,-0.13837151008002635,"-13.12%"
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3WindowConfiguration.setWindowedMode(int|int)",37232,44583,7351,"19.74%",1.1453885436534794,1.3704773907964711,0.2250888471429917,"19.65%"
