Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder(int| int| int| int| int)",34,248,214,"629.41%",0.0779816513761468,0.10726643598615918,0.029284784610012382,"37.55%"
"org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder(int| int| int| int| int| boolean)",31,221,190,"612.9%",0.07110091743119266,0.09558823529411764,0.024487317862924976,"34.44%"
"org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder(int| int| int)",43,250,207,"481.4%",0.09862385321100918,0.10813148788927336,0.009507634678264182,"9.64%"
"public void org.jboss.netty.buffer.DynamicChannelBuffer.setMedium(int|int)",3,21,18,"600.0%",0.006880733944954129,0.009083044982698962,0.0022023110377448335,"32.01%"
"public short org.jboss.netty.buffer.AbstractChannelBuffer.getUnsignedByte(int)",6,43,37,"616.67%",0.013761467889908258,0.018598615916955018,0.00483714802704676,"35.15%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.readableBytes()",7,107,100,"1428.57%",0.016055045871559634,0.046280276816609,0.030225230945049364,"188.26%"
"public long org.jboss.netty.buffer.DynamicChannelBuffer.getLong(int)",1,21,20,"2000.0%",0.0022935779816513763,0.009083044982698962,0.006789467001047586,"296.02%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.setFloat(int|float)",4,70,66,"1650.0%",0.009174311926605505,0.03027681660899654,0.021102504682391034,"230.02%"
"byte[0]",32,1,-31,"-96.88%",0.07339449541284404,0.00043252595155709344,-0.07296196946128694,"-99.41%"
"public boolean org.jboss.netty.buffer.AbstractChannelBuffer.readable()",20,55,35,"175.0%",0.045871559633027525,0.02378892733564014,-0.022082632297387387,"-48.14%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.compareTo(org.jboss.netty.buffer.ChannelBuffer)",29,51,22,"75.86%",0.06651376146788991,0.022058823529411766,-0.04445493793847814,"-66.84%"
"org.jboss.netty.buffer.DynamicChannelBuffer(java.nio.ByteOrder| int)",13,2674,2661,"20469.23%",0.02981651376146789,1.1565743944636677,1.1267578807021998,"3778.97%"
"org.jboss.netty.buffer.DynamicChannelBuffer(int)",637,5503,4866,"763.89%",1.4610091743119267,2.3801903114186853,0.9191811371067586,"62.91%"
"org.jboss.netty.buffer.DynamicChannelBuffer(java.nio.ByteOrder| int| org.jboss.netty.buffer.ChannelBufferFactory)",22,797,775,"3522.73%",0.05045871559633028,0.34472318339100344,0.2942644677946732,"583.18%"
"public int org.jboss.netty.buffer.DynamicChannelBuffer.setBytes(int|java.io.InputStream|int) throws java.io.IOException",8,22,14,"175.0%",0.01834862385321101,0.009515570934256055,-0.008833052918954955,"-48.14%"
"public int org.jboss.netty.buffer.DynamicChannelBuffer.setBytes(int|java.nio.channels.ScatteringByteChannel|int) throws java.io.IOException",2,17,15,"750.0%",0.0045871559633027525,0.007352941176470588,0.0027657852131678356,"60.29%"
"public void org.jboss.netty.buffer.DynamicChannelBuffer.setBytes(int|byte[]|int|int)",8,26,18,"225.0%",0.01834862385321101,0.01124567474048443,-0.007102949112726581,"-38.71%"
"public void org.jboss.netty.buffer.DynamicChannelBuffer.setBytes(int|org.jboss.netty.buffer.ChannelBuffer|int|int)",31,394,363,"1170.97%",0.07110091743119266,0.1704152249134948,0.09931430748230215,"139.68%"
"public void org.jboss.netty.buffer.DynamicChannelBuffer.setBytes(int|java.nio.ByteBuffer)",6,54,48,"800.0%",0.013761467889908258,0.023356401384083045,0.009594933494174788,"69.72%"
"public java.nio.ByteBuffer org.jboss.netty.buffer.AbstractChannelBuffer.toByteBuffer()",56,406,350,"625.0%",0.12844036697247707,0.17560553633217993,0.04716516935970286,"36.72%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.getBytes(int|org.jboss.netty.buffer.ChannelBuffer|int)",59,22,-37,"-62.71%",0.1353211009174312,0.009515570934256055,-0.12580552998317512,"-92.97%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.getBytes(int|org.jboss.netty.buffer.ChannelBuffer)",1,16,15,"1500.0%",0.0022935779816513763,0.006920415224913495,0.004626837243262119,"201.73%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.getBytes(int|byte[])",6,85,79,"1316.67%",0.013761467889908258,0.03676470588235294,0.023003237992444685,"167.16%"
"public java.nio.ByteOrder org.jboss.netty.buffer.DynamicChannelBuffer.order()",7,1153,1146,"16371.43%",0.016055045871559634,0.4987024221453287,0.4826473762737691,"3006.2%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.writeDouble(double)",5,72,67,"1340.0%",0.011467889908256881,0.031141868512110725,0.019673978603853844,"171.56%"
"public org.jboss.netty.buffer.ChannelBuffer org.jboss.netty.buffer.DynamicChannelBuffer.slice(int|int)",8,66,58,"725.0%",0.01834862385321101,0.028546712802768166,0.010198088949557156,"55.58%"
"public org.jboss.netty.buffer.ChannelBuffer org.jboss.netty.buffer.DynamicChannelBuffer.copy(int|int)",7,30,23,"328.57%",0.016055045871559634,0.012975778546712802,-0.003079267324846832,"-19.18%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.discardReadBytes()",12,74,62,"516.67%",0.027522935779816515,0.03200692041522491,0.004483984635408396,"16.29%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.writerIndex()",3,58,55,"1833.33%",0.006880733944954129,0.025086505190311418,0.01820577124535729,"264.59%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.writerIndex(int)",4,106,102,"2550.0%",0.009174311926605505,0.045847750865051905,0.0366734389384464,"399.74%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.bytesBefore(int|int|org.jboss.netty.buffer.ChannelBufferIndexFinder)",15,12,-3,"-20.0%",0.034403669724770644,0.005190311418685121,-0.029213358306085523,"-84.91%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.bytesBefore(int|org.jboss.netty.buffer.ChannelBufferIndexFinder)",2,26,24,"1200.0%",0.0045871559633027525,0.01124567474048443,0.006658518777181677,"145.16%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.bytesBefore(org.jboss.netty.buffer.ChannelBufferIndexFinder)",3,42,39,"1300.0%",0.006880733944954129,0.018166089965397925,0.011285356020443796,"164.01%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.bytesBefore(int|int|byte)",6,31,25,"416.67%",0.013761467889908258,0.013408304498269897,-0.0003531633916383607,"-2.57%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.bytesBefore(int|byte)",5,35,30,"600.0%",0.011467889908256881,0.01513840830449827,0.003670518396241388,"32.01%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.bytesBefore(byte)",5,46,41,"820.0%",0.011467889908256881,0.019896193771626297,0.008428303863369416,"73.49%"
"public int org.jboss.netty.buffer.DynamicChannelBuffer.getUnsignedMedium(int)",2,38,36,"1800.0%",0.0045871559633027525,0.01643598615916955,0.011848830195866796,"258.3%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.getUnsignedShort(int)",4,42,38,"950.0%",0.009174311926605505,0.018166089965397925,0.00899177803879242,"98.01%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.setIndex(int|int)",90,24,-66,"-73.33%",0.20642201834862386,0.010380622837370242,-0.19604139551125363,"-94.97%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.setBytes(int|org.jboss.netty.buffer.ChannelBuffer)",23,67,44,"191.3%",0.052752293577981654,0.02897923875432526,-0.023773054823656395,"-45.07%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.setBytes(int|org.jboss.netty.buffer.ChannelBuffer|int)",14,46,32,"228.57%",0.03211009174311927,0.019896193771626297,-0.01221389797149297,"-38.04%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.setBytes(int|byte[])",5,66,61,"1220.0%",0.011467889908256881,0.028546712802768166,0.017078822894511285,"148.93%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.writeBoolean(boolean)",9,310,301,"3344.44%",0.020642201834862386,0.13408304498269896,0.11344084314783658,"549.56%"
"public byte org.jboss.netty.buffer.AbstractChannelBuffer.readByte()",4,19,15,"375.0%",0.009174311926605505,0.008217993079584774,-0.0009563188470207307,"-10.42%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.readUnsignedShort()",2,24,22,"1100.0%",0.0045871559633027525,0.010380622837370242,0.005793466874067489,"126.3%"
"public static final int org.jboss.netty.channel.Channel.OP_NONE",1,1,0,"0.0%",0.0022935779816513763,0.00043252595155709344,-0.0018610520300942827,"-81.14%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.resetWriterIndex()",82,139,57,"69.51%",0.18807339449541285,0.060121107266435984,-0.12795228722897686,"-68.03%"
"public final native java.lang.Class java.lang.Object.getClass()",4,14,10,"250.0%",0.009174311926605505,0.006055363321799308,-0.003118948604806197,"-34.0%"
"public void org.jboss.netty.buffer.DynamicChannelBuffer.writeInt(int)",87,132,45,"51.72%",0.19954128440366972,0.05709342560553633,-0.14244785879813338,"-71.39%"
"public float org.jboss.netty.buffer.AbstractChannelBuffer.getFloat(int)",16,24,8,"50.0%",0.03669724770642202,0.010380622837370242,-0.02631662486905178,"-71.71%"
"public void org.jboss.netty.buffer.DynamicChannelBuffer.getBytes(int|java.io.OutputStream|int) throws java.io.IOException",4,18,14,"350.0%",0.009174311926605505,0.007785467128027681,-0.0013888447985778238,"-15.14%"
"public void org.jboss.netty.buffer.DynamicChannelBuffer.getBytes(int|org.jboss.netty.buffer.ChannelBuffer|int|int)",2,15,13,"650.0%",0.0045871559633027525,0.006487889273356401,0.0019007333100536485,"41.44%"
"public int org.jboss.netty.buffer.DynamicChannelBuffer.getBytes(int|java.nio.channels.GatheringByteChannel|int) throws java.io.IOException",2,30,28,"1400.0%",0.0045871559633027525,0.012975778546712802,0.00838862258341005,"182.87%"
"public void org.jboss.netty.buffer.DynamicChannelBuffer.getBytes(int|java.nio.ByteBuffer)",3,221,218,"7266.67%",0.006880733944954129,0.09558823529411764,0.08870750134916351,"1289.22%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.markReaderIndex()",45,123,78,"173.33%",0.10321100917431193,0.053200692041522495,-0.05001031713278944,"-48.45%"
