Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.Short,37,111,74,"200.0%",3,5,2,"66.67%",0.08486238532110092,0.04801038062283737,-0.03685200469826355,"-43.43%",0.006880733944954129,0.0021626297577854673,-0.0047181041871686615,"-68.57%"
class java.lang.String,74,263,189,"255.41%",6,12,6,"100.0%",0.16972477064220184,0.11375432525951557,-0.05597044538268628,"-32.98%",0.013761467889908258,0.005190311418685121,-0.008571156471223137,"-62.28%"
class java.lang.Long,6,213,207,"3450.0%",1,5,4,"400.0%",0.013761467889908258,0.0921280276816609,0.07836655979175264,"569.46%",0.0022935779816513763,0.0021626297577854673,-0.00013094822386590897,"-5.71%"
class java.lang.Integer,320,2079,1759,"549.69%",14,37,23,"164.29%",0.7339449541284404,0.8992214532871973,0.16527649915875686,"22.52%",0.03211009174311927,0.016003460207612456,-0.016106631535506812,"-50.16%"
class [B,259,220,-39,"-15.06%",25,23,-2,"-8.0%",0.5940366972477065,0.09515570934256055,-0.4988809879051459,"-83.98%",0.05733944954128441,0.009948096885813149,-0.04739135265547126,"-82.65%"
class java.lang.Float,16,24,8,"50.0%",2,6,4,"200.0%",0.03669724770642202,0.010380622837370242,-0.02631662486905178,"-71.71%",0.0045871559633027525,0.0025951557093425604,-0.001992000253960192,"-43.43%"
class java.lang.Character,20,38,18,"90.0%",1,4,3,"300.0%",0.045871559633027525,0.01643598615916955,-0.029435573473857977,"-64.17%",0.0022935779816513763,0.0017301038062283738,-0.0005634741754230025,"-24.57%"
class org.jboss.netty.buffer.SlicedChannelBuffer,7,40,33,"471.43%",5,7,2,"40.0%",0.016055045871559634,0.01730103806228374,0.0012459921907241045,"7.76%",0.011467889908256881,0.003027681660899654,-0.008440208247357228,"-73.6%"
class org.jboss.netty.buffer.BigEndianHeapChannelBuffer,12,167,155,"1291.67%",2,2,0,"0.0%",0.027522935779816515,0.0722318339100346,0.04470889813021808,"162.44%",0.0045871559633027525,0.0008650519031141869,-0.0037221040601885655,"-81.14%"
class java.lang.Byte,13,1251,1238,"9523.08%",1,1,0,"0.0%",0.02981651376146789,0.5410899653979239,0.511273451636456,"1714.73%",0.0022935779816513763,0.00043252595155709344,-0.0018610520300942827,"-81.14%"
class java.lang.Double,7,27,20,"285.71%",2,5,3,"150.0%",0.016055045871559634,0.011678200692041523,-0.004376845179518111,"-27.26%",0.0045871559633027525,0.0021626297577854673,-0.0024245262055172852,"-52.85%"
class [Ljava.nio.ByteBuffer;,83,97,14,"16.87%",4,10,6,"150.0%",0.19036697247706422,0.04195501730103806,-0.14841195517602615,"-77.96%",0.009174311926605505,0.004325259515570935,-0.0048490524110345705,"-52.85%"
class org.jboss.netty.buffer.HeapChannelBufferFactory,22,670,648,"2945.45%",1,1,0,"0.0%",0.05045871559633028,0.2897923875432526,0.23933367194692232,"474.32%",0.0022935779816513763,0.00043252595155709344,-0.0018610520300942827,"-81.14%"
class java.nio.ByteOrder,7,1153,1146,"16371.43%",1,1,0,"0.0%",0.016055045871559634,0.4987024221453287,0.4826473762737691,"3006.2%",0.0022935779816513763,0.00043252595155709344,-0.0018610520300942827,"-81.14%"
class org.jboss.netty.buffer.DynamicChannelBuffer,647,8999,8352,"1290.88%",52,111,59,"113.46%",1.4839449541284404,3.892301038062284,2.4083560839338434,"162.29%",0.11926605504587157,0.04801038062283737,-0.0712556744230342,"-59.75%"
class java.lang.Boolean,228,244,16,"7.02%",2,2,0,"0.0%",0.5229357798165137,0.10553633217993079,-0.41739944763658293,"-79.82%",0.0045871559633027525,0.0008650519031141869,-0.0037221040601885655,"-81.14%"
class java.lang.Class,4,14,10,"250.0%",2,4,2,"100.0%",0.009174311926605505,0.006055363321799308,-0.003118948604806197,"-34.0%",0.0045871559633027525,0.0017301038062283738,-0.002857052157074379,"-62.28%"
class java.nio.HeapByteBuffer,56,410,354,"632.14%",5,31,26,"520.0%",0.12844036697247707,0.1773356401384083,0.04889527316593123,"38.07%",0.011467889908256881,0.013408304498269897,0.0019404145900130156,"16.92%"
class org.jboss.netty.buffer.TruncatedChannelBuffer,2,25,23,"1150.0%",2,18,16,"800.0%",0.0045871559633027525,0.010813148788927335,0.006225992825624582,"135.73%",0.0045871559633027525,0.007785467128027681,0.0031983111647249287,"69.72%"
class org.jboss.netty.buffer.DuplicatedChannelBuffer,7,1049,1042,"14885.71%",4,33,29,"725.0%",0.016055045871559634,0.453719723183391,0.43766467731183134,"2726.03%",0.009174311926605505,0.014273356401384083,0.005099044474778578,"55.58%"
class org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder,7,114,107,"1528.57%",7,27,20,"285.71%",0.016055045871559634,0.04930795847750865,0.033252912605949016,"207.12%",0.016055045871559634,0.011678200692041523,-0.004376845179518111,"-27.26%"
