Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public com.squareup.okhttp.OkAuthenticator com.squareup.okhttp.OkHttpClient.authenticator",4339,3501,-838,"-19.31%",0.33803365534434404,0.22158227848101267,-0.11645137686333137,"-34.45%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.OkHttpClient.setFollowProtocolRedirects(boolean)",7235,4296,-2939,"-40.62%",0.5636491118728576,0.27189873417721516,-0.29175037769564244,"-51.76%"
"public java.net.ProxySelector com.squareup.okhttp.OkHttpClient.proxySelector",2681,2140,-541,"-20.18%",0.20886569024618262,0.13544303797468354,-0.07342265227149908,"-35.15%"
"com.squareup.okhttp.Route[0]",8560,291,-8269,"-96.6%",0.6668744157058274,0.01841772151898734,-0.64845669418684,"-97.24%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.OkHttpClient.setCookieHandler(java.net.CookieHandler)",12799,3819,-8980,"-70.16%",0.9971174820816454,0.24170886075949366,-0.7554086213221518,"-75.76%"
"public java.net.CookieHandler com.squareup.okhttp.OkHttpClient.getCookieHandler()",2141,7086,4945,"230.97%",0.1667965098161421,0.4484810126582279,0.2816845028420858,"168.88%"
"public java.net.ResponseCache com.squareup.okhttp.OkHttpClient.getResponseCache()",5832,1481,-4351,"-74.61%",0.45434714864443754,0.09373417721518987,-0.36061297142924764,"-79.37%"
"public boolean com.squareup.okhttp.OkHttpClient.followProtocolRedirects",3793,2223,-1570,"-41.39%",0.29549703957619194,0.14069620253164558,-0.15480083704454636,"-52.39%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.OkHttpClient.setResponseCache(java.net.ResponseCache)",9052,10154,1102,"12.17%",0.7052041134309753,0.6426582278481012,-0.0625458855828741,"-8.87%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.OkHttpClient.setTransports(java.util.List)",391,324,-67,"-17.14%",0.03046120286693674,0.02050632911392405,-0.00995487375301269,"-32.68%"
"public com.squareup.okhttp.ConnectionPool com.squareup.okhttp.OkHttpClient.getConnectionPool()",4120,3842,-278,"-6.75%",0.32097226550327207,0.24316455696202532,-0.07780770854124675,"-24.24%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.OkHttpClient.setProxySelector(java.net.ProxySelector)",5185,11391,6206,"119.69%",0.40394203801807416,0.7209493670886076,0.3170073290705334,"78.48%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.OkHttpClient.setHostnameVerifier(javax.net.ssl.HostnameVerifier)",59361,5414,-53947,"-90.88%",4.624571517606731,0.3426582278481013,-4.28191328975863,"-92.59%"
"public static boolean java.util.Collections.addAll(java.util.Collection|java.lang.Object[])",9388,3279,-6109,"-65.07%",0.7313804923652228,0.20753164556962025,-0.5238488467956026,"-71.62%"
"public java.util.List com.squareup.okhttp.OkHttpClient.transports",5886,5533,-353,"-6.0%",0.4585540666874416,0.3501898734177215,-0.10836419326972008,"-23.63%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.OkHttpClient.setAuthenticator(com.squareup.okhttp.OkAuthenticator)",8989,2275,-6714,"-74.69%",0.700296042380804,0.1439873417721519,-0.5563087006086521,"-79.44%"
"public com.squareup.okhttp.internal.http.OkResponseCache com.squareup.okhttp.OkHttpClient.okResponseCache()",2241,9479,7238,"322.98%",0.17458709878466813,0.5999367088607594,0.4253496100760913,"243.63%"
"public java.net.Proxy com.squareup.okhttp.OkHttpClient.getProxy()",3038,12954,9916,"326.4%",0.2366780928638205,0.819873417721519,0.5831953248576985,"246.41%"
"public com.squareup.okhttp.OkHttpClient com.squareup.okhttp.OkHttpClient.setSSLSocketFactory(javax.net.ssl.SSLSocketFactory)",8495,5646,-2849,"-33.54%",0.6618105328762854,0.3573417721518987,-0.3044687607243867,"-46.01%"
"public java.net.HttpURLConnection com.squareup.okhttp.OkHttpClient.open(java.net.URL)",589,487,-102,"-17.32%",0.04588656902461826,0.030822784810126583,-0.015063784214491678,"-32.83%"
"public java.net.ResponseCache com.squareup.okhttp.OkHttpClient.responseCache",4278,4610,332,"7.76%",0.3332813960735432,0.2917721518987342,-0.041509244174809,"-12.45%"
"public static java.util.List com.squareup.okhttp.OkHttpClient.DEFAULT_TRANSPORTS",3076,105,-2971,"-96.59%",0.2396385166718604,0.006645569620253164,-0.23299294705160722,"-97.23%"
"public javax.net.ssl.SSLSocketFactory com.squareup.okhttp.OkHttpClient.getSslSocketFactory()",6262,6264,2,"0.03%",0.4878466812090994,0.3964556962025316,-0.09139098500656778,"-18.73%"
"public javax.net.ssl.SSLSocketFactory com.squareup.okhttp.OkHttpClient.sslSocketFactory",2882,6188,3306,"114.71%",0.2245247740729199,0.39164556962025315,0.16712079554733325,"74.43%"
"public com.squareup.okhttp.OkAuthenticator com.squareup.okhttp.OkHttpClient.getAuthenticator()",4928,4712,-216,"-4.38%",0.3839202243689623,0.29822784810126585,-0.08569237626769644,"-22.32%"
"public java.util.Set com.squareup.okhttp.OkHttpClient.failedRoutes",7959,4432,-3527,"-44.31%",0.620052976004986,0.28050632911392404,-0.33954664689106195,"-54.76%"
"java.util.ArrayList()",828,2988,2160,"260.87%",0.06450607665939545,0.1891139240506329,0.12460784739123745,"193.17%"
"public javax.net.ssl.HostnameVerifier com.squareup.okhttp.OkHttpClient.hostnameVerifier",3755,15127,11372,"302.85%",0.2925366157681521,0.9574050632911393,0.6648684475229871,"227.28%"
"public java.net.ProxySelector com.squareup.okhttp.OkHttpClient.getProxySelector()",4704,2219,-2485,"-52.83%",0.366469305079464,0.14044303797468355,-0.22602626710478047,"-61.68%"
"com.squareup.okhttp.OkHttpClient()",53545,53912,367,"0.69%",4.171470863197258,3.412151898734177,-0.7593189644630809,"-18.2%"
