Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class [Lcom.squareup.okhttp.Route;,2,31,29,"1450.0%",1,1,0,"0.0%",0.0011344299489506524,0.0144253140995812,0.013290884150630549,"1171.59%",0.0005672149744753262,0.00046533271288971617,-0.00010188226158561002,"-17.96%"
class com.squareup.okhttp.OkHttpClient,15763,13598,-2165,"-13.73%",33,173,140,"424.24%",8.941009642654565,6.32759422987436,-2.6134154127802054,"-29.23%",0.01871809415768576,0.0805025593299209,0.06178446517223514,"330.08%"
class java.lang.Boolean,20,108,88,"440.0%",2,2,0,"0.0%",0.011344299489506523,0.050255932992089344,0.038911633502582824,"343.01%",0.0011344299489506524,0.0009306654257794323,-0.00020376452317122005,"-17.96%"
class java.util.LinkedHashSet,2,31,29,"1450.0%",1,1,0,"0.0%",0.0011344299489506524,0.0144253140995812,0.013290884150630549,"1171.59%",0.0005672149744753262,0.00046533271288971617,-0.00010188226158561002,"-17.96%"
class java.lang.Class,12,18,6,"50.0%",2,3,1,"50.0%",0.006806579693703914,0.00837598883201489,0.0015694091383109763,"23.06%",0.0011344299489506524,0.0013959981386691485,0.0002615681897184961,"23.06%"
class java.util.Collections$SynchronizedSet,30,40,10,"33.33%",1,1,0,"0.0%",0.017016449234259785,0.018613308515588647,0.001596859281328862,"9.38%",0.0005672149744753262,0.00046533271288971617,-0.00010188226158561002,"-17.96%"
class java.net.Proxy,368,2867,2499,"679.08%",9,10,1,"11.11%",0.20873511060692002,1.3341088878548162,1.1253737772478962,"539.14%",0.005104934770277935,0.004653327128897162,-0.0004516076413807737,"-8.85%"
class com.squareup.okhttp.SerializedObjectSupporter,1810,2220,410,"22.65%",1,1,0,"0.0%",1.0266591038003403,1.0330386226151698,0.006379518814829455,"0.62%",0.0005672149744753262,0.00046533271288971617,-0.00010188226158561002,"-17.96%"
class sun.net.spi.DefaultProxySelector,0,33,33,"INF%",0,1,1,"INF%",0.0,0.015355979525360632,0.015355979525360632,"INF%",0.0,0.00046533271288971617,0.00046533271288971617,"INF%"
class java.lang.String,0,21,21,"INF%",0,6,6,"INF%",0.0,0.009771986970684038,0.009771986970684038,"INF%",0.0,0.002791996277338297,0.002791996277338297,"INF%"
class java.net.InetSocketAddress,0,37,37,"INF%",0,8,8,"INF%",0.0,0.0172173103769195,0.0172173103769195,"INF%",0.0,0.0037226617031177293,0.0037226617031177293,"INF%"
class sun.security.ssl.SSLSocketFactoryImpl,0,43,43,"INF%",0,1,1,"INF%",0.0,0.020009306654257795,0.020009306654257795,"INF%",0.0,0.00046533271288971617,0.00046533271288971617,"INF%"
class java.net.Proxy$Type,0,42,42,"INF%",0,2,2,"INF%",0.0,0.019543973941368076,0.019543973941368076,"INF%",0.0,0.0009306654257794323,0.0009306654257794323,"INF%"
class com.squareup.okhttp.internal.tls.OkHostnameVerifier,0,15,15,"INF%",0,1,1,"INF%",0.0,0.006979990693345742,0.006979990693345742,"INF%",0.0,0.00046533271288971617,0.00046533271288971617,"INF%"
class java.lang.Integer,0,36,36,"INF%",0,1,1,"INF%",0.0,0.01675197766402978,0.01675197766402978,"INF%",0.0,0.00046533271288971617,0.00046533271288971617,"INF%"
class sun.security.ssl.SSLSocketImpl,0,104,104,"INF%",0,104,104,"INF%",0.0,0.04839460214053048,0.04839460214053048,"INF%",0.0,0.04839460214053048,0.04839460214053048,"INF%"
class com.squareup.okhttp.ConnectionPool,0,184,184,"INF%",0,183,183,"INF%",0.0,0.08562121917170777,0.08562121917170777,"INF%",0.0,0.08515588645881805,0.08515588645881805,"INF%"
