Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public retrofit.RestAdapter retrofit.SerializedObjectSupporter.deserializeObjectLogLevel3() throws java.io.IOException",3,19,16,"533.33%",0.008595988538681949,0.015793848711554447,0.007197860172872498,"83.74%"
"retrofit.client.Header[0]",32,38,6,"18.75%",0.09169054441260745,0.03158769742310889,-0.060102846989498554,"-65.55%"
"public retrofit.RestAdapter retrofit.SerializedObjectSupporter.deserializeObjectLogLevel2() throws java.io.IOException",6,10,4,"66.67%",0.017191977077363897,0.00831255195344971,-0.008879425123914188,"-51.65%"
"BASIC",4,925,921,"23025.0%",0.011461318051575931,0.7689110556940981,0.7574497376425222,"6608.75%"
"public retrofit.RestAdapter retrofit.SerializedObjectSupporter.deserializeObjectLogLevel1() throws java.io.IOException",2,19,17,"850.0%",0.0057306590257879654,0.015793848711554447,0.010063189685766482,"175.6%"
"public static final java.lang.String retrofit.RestAdapter.IDLE_THREAD_NAME",1,1,0,"0.0%",0.0028653295128939827,0.0008312551953449709,-0.0020340743175490117,"-70.99%"
"public final java.util.concurrent.Executor retrofit.RestAdapter.callbackExecutor",1,49,48,"4800.0%",0.0028653295128939827,0.040731504571903575,0.03786617505900959,"1321.53%"
"public retrofit.client.Client$Provider retrofit.RestAdapter$Builder.clientProvider",29,77,48,"165.52%",0.0830945558739255,0.06400665004156277,-0.019087905832362737,"-22.97%"
"public java.util.concurrent.Executor retrofit.RestAdapter$Builder.getcallbackExecutor()",35,170,135,"385.71%",0.10028653295128939,0.14131338320864506,0.04102685025735567,"40.91%"
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString7() throws java.io.IOException",24,37,13,"54.17%",0.06876790830945559,0.030756442227763924,-0.03801146608169166,"-55.28%"
"public retrofit.client.Response retrofit.SerializedObjectSupporter.deserializeObjectResponse2() throws java.io.IOException",5,83,78,"1560.0%",0.014326647564469915,0.06899418121363259,0.05466753364916267,"381.58%"
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString5() throws java.io.IOException",7,33,26,"371.43%",0.02005730659025788,0.02743142144638404,0.007374114856126157,"36.77%"
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString8() throws java.io.IOException",20,32,12,"60.0%",0.05730659025787966,0.02660016625103907,-0.03070642400684059,"-53.58%"
"public retrofit.client.Response retrofit.SerializedObjectSupporter.deserializeObjectResponse3() throws java.io.IOException",6,17,11,"183.33%",0.017191977077363897,0.014131338320864505,-0.003060638756499392,"-17.8%"
"public retrofit.client.Response retrofit.SerializedObjectSupporter.deserializeObjectResponse1() throws java.io.IOException",15,7,-8,"-53.33%",0.04297994269340974,0.005818786367414797,-0.03716115632599494,"-86.46%"
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString9() throws java.io.IOException",11,2315,2304,"20945.45%",0.03151862464183381,1.9243557772236077,1.892837152581774,"6005.46%"
"public retrofit.client.Response retrofit.SerializedObjectSupporter.deserializeObjectResponse4() throws java.io.IOException",132,15,-117,"-88.64%",0.37822349570200575,0.012468827930174564,-0.3657546677718312,"-96.7%"
"public retrofit.client.Response retrofit.SerializedObjectSupporter.deserializeObjectResponse7() throws java.io.IOException",13,30,17,"130.77%",0.03724928366762178,0.02493765586034913,-0.01231162780727265,"-33.05%"
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString2() throws java.io.IOException",65,517,452,"695.38%",0.18624641833810887,0.42975893599334997,0.2435125176552411,"130.75%"
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString3() throws java.io.IOException",76,31,-45,"-59.21%",0.2177650429799427,0.025768911055694097,-0.1919961319242486,"-88.17%"
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString6() throws java.io.IOException",37,14,-23,"-62.16%",0.10601719197707736,0.011637572734829594,-0.09437961924224776,"-89.02%"
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString1() throws java.io.IOException",20,17,-3,"-15.0%",0.05730659025787966,0.014131338320864505,-0.04317525193701516,"-75.34%"
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString4() throws java.io.IOException",7,523,516,"7371.43%",0.02005730659025788,0.43474646716541976,0.41468916057516186,"2067.52%"
"public retrofit.Server retrofit.RestAdapter$Builder.server",43,111,68,"158.14%",0.12320916905444126,0.09226932668329177,-0.030939842371149495,"-25.11%"
"public retrofit.RequestInterceptor retrofit.SerializedObjectSupporter.deserializeObjectRequestInterceptor1() throws java.io.IOException",21,727,706,"3361.9%",0.06017191977077364,0.6043225270157938,0.5441506072450202,"904.33%"
"public retrofit.RestAdapter$Log retrofit.RestAdapter$Builder.log",9,134,125,"1388.89%",0.025787965616045846,0.1113881961762261,0.08560023056018025,"331.94%"
"public retrofit.RestAdapter$Builder retrofit.RestAdapter$Builder.setLogLevel(retrofit.RestAdapter$LogLevel)",276,104,-172,"-62.32%",0.7908309455587392,0.08645054031587697,-0.7043804052428623,"-89.07%"
"public retrofit.RequestInterceptor retrofit.RestAdapter$Builder.requestInterceptor",7,63,56,"800.0%",0.02005730659025788,0.05236907730673317,0.032311770716475285,"161.1%"
"public java.lang.Class retrofit.SerializedObjectSupporter.deserializeObjectClass1() throws java.io.IOException",25,29,4,"16.0%",0.07163323782234957,0.024106400665004156,-0.04752683715734541,"-66.35%"
"public static final java.lang.String retrofit.RestAdapter.THREAD_PREFIX",1,1,0,"0.0%",0.0028653295128939827,0.0008312551953449709,-0.0020340743175490117,"-70.99%"
"public retrofit.client.Client$Provider retrofit.RestAdapter$Builder.getclientProvider()",154,221,67,"43.51%",0.44126074498567336,0.18370739817123857,-0.25755334681443476,"-58.37%"
"public retrofit.RestAdapter$LogLevel retrofit.RestAdapter$Builder.logLevel",69,30,-39,"-56.52%",0.1977077363896848,0.02493765586034913,-0.17277008052933568,"-87.39%"
"public retrofit.ErrorHandler retrofit.SerializedObjectSupporter.deserializeObjectErrorHandler1() throws java.io.IOException",70,411,341,"487.14%",0.20057306590257878,0.341645885286783,0.14107281938420424,"70.33%"
"public retrofit.RestAdapter$Builder retrofit.RestAdapter$Builder.setServer(retrofit.Server)",46,58,12,"26.09%",0.1318051575931232,0.04821280133000831,-0.08359235626311488,"-63.42%"
"public retrofit.RestAdapter$Builder retrofit.RestAdapter$Builder.setServer(java.lang.String)",7,130,123,"1757.14%",0.02005730659025788,0.10806317539484622,0.08800586880458834,"438.77%"
"java.util.ArrayList()",32,38,6,"18.75%",0.09169054441260745,0.03158769742310889,-0.060102846989498554,"-65.55%"
"public retrofit.client.Client$Provider retrofit.RestAdapter.getclientProvider()",2,164,162,"8100.0%",0.0057306590257879654,0.13632585203657524,0.13059519301078729,"2278.89%"
"retrofit.RestAdapter$RestHandler(retrofit.RestAdapter)",1,458,457,"45700.0%",0.0028653295128939827,0.38071487946799665,0.37784954995510267,"13186.95%"
"NONE",279,2,-277,"-99.28%",0.7994269340974212,0.0016625103906899418,-0.7977644237067312,"-99.79%"
"public retrofit.ErrorHandler retrofit.RestAdapter$Builder.errorHandler",7,55,48,"685.71%",0.02005730659025788,0.0457190357439734,0.02566172915371552,"127.94%"
"public final native java.lang.Class java.lang.Object.getClass()",11,17,6,"54.55%",0.03151862464183381,0.014131338320864505,-0.017387286320969305,"-55.17%"
"public java.util.concurrent.Executor retrofit.RestAdapter$Builder.gethttpExecutor()",14,45,31,"221.43%",0.04011461318051576,0.03740648379052369,-0.00270812938999207,"-6.75%"
"retrofit.RestAdapter$Builder()",469,1710,1241,"264.61%",1.343839541547278,1.4214463840399003,0.0776068424926224,"5.78%"
"public retrofit.RestAdapter$LogLevel retrofit.RestAdapter.getLogLevel()",4,58,54,"1350.0%",0.011461318051575931,0.04821280133000831,0.03675148327843238,"320.66%"
"public void retrofit.RestAdapter$Builder.setcallbackExecutor(java.util.concurrent.Executor)",20,21,1,"5.0%",0.05730659025787966,0.017456359102244388,-0.03985023115563527,"-69.54%"
"public java.lang.String retrofit.client.Request.getUrl()",22,53,31,"140.91%",0.06303724928366762,0.04405652535328346,-0.018980723930384164,"-30.11%"
"public retrofit.RestAdapter$Builder retrofit.RestAdapter$Builder.setErrorHandler(retrofit.ErrorHandler)",30,353,323,"1076.67%",0.08595988538681948,0.29343308395677475,0.20747319856995527,"241.36%"
"public retrofit.Server retrofit.SerializedObjectSupporter.deserializeObjectServer1() throws java.io.IOException",75,1608,1533,"2044.0%",0.2148997134670487,1.3366583541147132,1.1217586406476645,"521.99%"
"public retrofit.mime.TypedOutput retrofit.client.Request.getBody()",8,28,20,"250.0%",0.022922636103151862,0.023275145469659187,0.00035250936650732534,"1.54%"
"public void retrofit.RestAdapter.logException(java.lang.Throwable|java.lang.String)",1,14,13,"1300.0%",0.0028653295128939827,0.011637572734829594,0.008772243221935611,"306.15%"
"public abstract void retrofit.RestAdapter$Log.log(java.lang.String)",19,35,16,"84.21%",0.054441260744985676,0.029093931837073983,-0.025347328907911693,"-46.56%"
"public retrofit.RestAdapter$Builder retrofit.RestAdapter$Builder.setExecutors(java.util.concurrent.Executor|java.util.concurrent.Executor)",10,4,-6,"-60.0%",0.02865329512893983,0.0033250207813798837,-0.025328274347559947,"-88.4%"
"public void retrofit.RestAdapter$Builder.sethttpExecutor(java.util.concurrent.Executor)",16,58,42,"262.5%",0.045845272206303724,0.04821280133000831,0.0023675291237045884,"5.16%"
"public java.lang.String retrofit.client.Request.getMethod()",18,23,5,"27.78%",0.05157593123209169,0.019118869492934332,-0.032457061739157356,"-62.93%"
"retrofit.RestAdapter(retrofit.Server| retrofit.client.Client$Provider| java.util.concurrent.Executor| java.util.concurrent.Executor| retrofit.RequestInterceptor| retrofit.converter.Converter| retrofit.Profiler| retrofit.ErrorHandler| retrofit.RestAdapter$Log| retrofit.RestAdapter$LogLevel)",13,1067,1054,"8107.69%",0.03724928366762178,0.8869492934330839,0.8497000097654621,"2281.12%"
"HEADERS",5,12,7,"140.0%",0.014326647564469915,0.00997506234413965,-0.004351585220330264,"-30.37%"
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString10() throws java.io.IOException",9,16,7,"77.78%",0.025787965616045846,0.013300083125519535,-0.012487882490526311,"-48.43%"
"public java.util.concurrent.Executor retrofit.RestAdapter.gethttpExecutor()",1,32,31,"3100.0%",0.0028653295128939827,0.02660016625103907,0.023734836738145085,"828.35%"
"public retrofit.SerializedObjectSupporter retrofit.RestAdapter$Builder.serializedObjectSupporter",24,7,-17,"-70.83%",0.06876790830945559,0.005818786367414797,-0.06294912194204079,"-91.54%"
"public static boolean java.util.Collections.addAll(java.util.Collection|java.lang.Object[])",32,38,6,"18.75%",0.09169054441260745,0.03158769742310889,-0.060102846989498554,"-65.55%"
"public boolean retrofit.RestAdapter$LogLevel.log()",12,148,136,"1133.33%",0.034383954154727794,0.1230257689110557,0.0886418147563279,"257.8%"
"FULL",1,1,0,"0.0%",0.0028653295128939827,0.0008312551953449709,-0.0020340743175490117,"-70.99%"
"retrofit.SerializedObjectSupporter()",372,2322,1950,"524.19%",1.0659025787965617,1.9301745635910224,0.8642719847944607,"81.08%"
"public retrofit.RestAdapter$Builder retrofit.RestAdapter$Builder.setProfiler(retrofit.Profiler)",8,14,6,"75.0%",0.022922636103151862,0.011637572734829594,-0.011285063368322268,"-49.23%"
"public retrofit.RestAdapter$Builder retrofit.RestAdapter$Builder.setRequestInterceptor(retrofit.RequestInterceptor)",3,200,197,"6566.67%",0.008595988538681949,0.1662510390689942,0.15765505053031223,"1834.05%"
"public java.util.concurrent.Executor retrofit.RestAdapter$Builder.httpExecutor",11,201,190,"1727.27%",0.03151862464183381,0.16708229426433915,0.13556366962250535,"430.11%"
"public retrofit.RestAdapter$Builder retrofit.RestAdapter$Builder.setLog(retrofit.RestAdapter$Log)",138,41,-97,"-70.29%",0.3954154727793696,0.03408146300914381,-0.3613340097702258,"-91.38%"
"public void retrofit.RestAdapter$Builder.setclientProvider(retrofit.client.Client$Provider)",21,77,56,"266.67%",0.06017191977077364,0.06400665004156277,0.0038347302707891287,"6.37%"
"public retrofit.converter.GsonConverter retrofit.SerializedObjectSupporter.deserializeObjectConverter8() throws java.io.IOException",32,39,7,"21.88%",0.09169054441260745,0.032418952618453865,-0.05927159179415358,"-64.64%"
"public retrofit.Profiler retrofit.RestAdapter$Builder.profiler",8,119,111,"1387.5%",0.022922636103151862,0.09891936824605153,0.07599673214289968,"331.54%"
"public retrofit.converter.GsonConverter retrofit.SerializedObjectSupporter.deserializeObjectConverter6() throws java.io.IOException",14,1576,1562,"11157.14%",0.04011461318051576,1.3100581878636741,1.2699435746831584,"3165.79%"
