Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class retrofit.RequestInterceptor$1,21,796,775,"3690.48%",1,1,0,"0.0%",0.06017191977077364,0.6616791354945969,0.6015072157238233,"999.65%",0.0028653295128939827,0.0008312551953449709,-0.0020340743175490117,"-70.99%"
class retrofit.client.Request,68,700,632,"929.41%",11,49,38,"345.45%",0.19484240687679083,0.5818786367414797,0.38703622986468883,"198.64%",0.03151862464183381,0.040731504571903575,0.009212879930069764,"29.23%"
class retrofit.SerializedObjectSupporter,380,2324,1944,"511.58%",1,1,0,"0.0%",1.0888252148997135,1.9318370739817123,0.8430118590819988,"77.42%",0.0028653295128939827,0.0008312551953449709,-0.0020340743175490117,"-70.99%"
class java.lang.Boolean,44,186,142,"322.73%",1,2,1,"100.0%",0.12607449856733524,0.1546134663341646,0.02853896776682935,"22.64%",0.0028653295128939827,0.0016625103906899418,-0.0012028191222040409,"-41.98%"
class [Lretrofit.client.Header;,32,38,6,"18.75%",1,1,0,"0.0%",0.09169054441260745,0.03158769742310889,-0.060102846989498554,"-65.55%",0.0028653295128939827,0.0008312551953449709,-0.0020340743175490117,"-70.99%"
class retrofit.ErrorHandler$1,71,465,394,"554.93%",1,1,0,"0.0%",0.2034383954154728,0.3865336658354115,0.1830952704199387,"90.0%",0.0028653295128939827,0.0008312551953449709,-0.0020340743175490117,"-70.99%"
class java.lang.String,318,3997,3679,"1156.92%",5,7,2,"40.0%",0.9111747851002865,3.322527015793849,2.4113522306935624,"264.64%",0.014326647564469915,0.005818786367414797,-0.008507861197055117,"-59.38%"
class retrofit.RestAdapter$Builder,973,3127,2154,"221.38%",288,958,670,"232.64%",2.7879656160458453,2.599334995843724,-0.18863062020212107,"-6.77%",0.8252148997134671,0.7963424771404821,-0.028872422572984946,"-3.5%"
class retrofit.RestAdapter$Log$1,101,863,762,"754.46%",1,1,0,"0.0%",0.28939828080229224,0.7173732335827099,0.42797495278041764,"147.88%",0.0028653295128939827,0.0008312551953449709,-0.0020340743175490117,"-70.99%"
class retrofit.Server,78,2761,2683,"3439.74%",1,36,35,"3500.0%",0.22349570200573066,2.2950955943474645,2.071599892341734,"926.91%",0.0028653295128939827,0.029925187032418952,0.027059857519524968,"944.39%"
class retrofit.RestAdapter,14,1071,1057,"7550.0%",14,866,852,"6085.71%",0.04011461318051576,0.8902743142144638,0.850159701033948,"2119.33%",0.04011461318051576,0.7198669991687449,0.6797523859882291,"1694.53%"
class retrofit.RestAdapter$LogLevel,547,1082,535,"97.81%",4,4,0,"0.0%",1.5673352435530086,0.8994181213632585,-0.6679171221897501,"-42.61%",0.011461318051575931,0.0033250207813798837,-0.008136297270196047,"-70.99%"
class java.util.ArrayList,32,38,6,"18.75%",1,1,0,"0.0%",0.09169054441260745,0.03158769742310889,-0.060102846989498554,"-65.55%",0.0028653295128939827,0.0008312551953449709,-0.0020340743175490117,"-70.99%"
class java.lang.Class,34,46,12,"35.29%",6,8,2,"33.33%",0.09742120343839542,0.038237738985868665,-0.05918346445252675,"-60.75%",0.017191977077363897,0.006650041562759767,-0.010541935514604129,"-61.32%"
class retrofit.client.Response,171,175,4,"2.34%",3,3,0,"0.0%",0.4899713467048711,0.14546965918536992,-0.34450168751950117,"-70.31%",0.008595988538681949,0.0024937655860349127,-0.006102222952647036,"-70.99%"
class java.util.Collections$UnmodifiableRandomAccessList,85,45,-40,"-47.06%",1,1,0,"0.0%",0.24355300859598855,0.03740648379052369,-0.20614652480546486,"-84.64%",0.0028653295128939827,0.0008312551953449709,-0.0020340743175490117,"-70.99%"
class retrofit.converter.GsonConverter,567,1789,1222,"215.52%",563,1741,1178,"209.24%",1.6246418338108883,1.4871155444721529,-0.13752628933873545,"-8.47%",1.6131805157593124,1.4472152950955943,-0.1659652206637181,"-10.29%"
class retrofit.Utils$SynchronousExecutor,0,261,261,"INF%",0,1,1,"INF%",0.0,0.2169576059850374,0.2169576059850374,"INF%",0.0,0.0008312551953449709,0.0008312551953449709,"INF%"
class retrofit.Platform$Base$3,0,105,105,"INF%",0,1,1,"INF%",0.0,0.08728179551122195,0.08728179551122195,"INF%",0.0,0.0008312551953449709,0.0008312551953449709,"INF%"
class retrofit.RestAdapter$RestHandler,0,457,457,"INF%",0,4,4,"INF%",0.0,0.3798836242726517,0.3798836242726517,"INF%",0.0,0.0033250207813798837,0.0033250207813798837,"INF%"
class java.util.concurrent.ThreadPoolExecutor,0,17,17,"INF%",0,16,16,"INF%",0.0,0.014131338320864505,0.014131338320864505,"INF%",0.0,0.013300083125519535,0.013300083125519535,"INF%"
class java.util.Collections$EmptyList,0,127,127,"INF%",0,1,1,"INF%",0.0,0.1055694098088113,0.1055694098088113,"INF%",0.0,0.0008312551953449709,0.0008312551953449709,"INF%"
class [Ljava.lang.Object;,0,2,2,"INF%",0,2,2,"INF%",0.0,0.0016625103906899418,0.0016625103906899418,"INF%",0.0,0.0016625103906899418,0.0016625103906899418,"INF%"
class retrofit.Platform$Base$1,0,271,271,"INF%",0,1,1,"INF%",0.0,0.22527015793848712,0.22527015793848712,"INF%",0.0,0.0008312551953449709,0.0008312551953449709,"INF%"
