Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.String,227,298,71,"31.28%",11,12,1,"9.09%",0.2570781426953567,0.35645933014354064,0.09938118744818392,"38.66%",0.01245753114382786,0.014354066985645933,0.0018965358418180731,"15.22%"
class java.util.ArrayList,555,508,-47,"-8.47%",3,3,0,"0.0%",0.6285390713476784,0.6076555023923444,-0.020883568955333942,"-3.32%",0.0033975084937712344,0.0035885167464114833,0.0001910082526402489,"5.62%"
class retrofit.client.Request,220,610,390,"177.27%",65,207,142,"218.46%",0.2491506228765572,0.7296650717703349,0.4805144488937777,"192.86%",0.07361268403171008,0.24760765550239233,0.17399497147068227,"236.37%"
class [Lretrofit.client.Header;,95,248,153,"161.05%",1,1,0,"0.0%",0.10758776896942242,0.2966507177033493,0.18906294873392687,"175.73%",0.0011325028312570782,0.0011961722488038277,6.366941754674948e-05,"5.62%"
class retrofit.converter.GsonConverter$JsonTypedOutput,2,74,72,"3600.0%",1,1,0,"0.0%",0.0022650056625141564,0.08851674641148326,0.0862517407489691,"3808.01%",0.0011325028312570782,0.0011961722488038277,6.366941754674948e-05,"5.62%"
class java.util.Collections$UnmodifiableRandomAccessList,50,19,-31,"-62.0%",2,2,0,"0.0%",0.056625141562853906,0.022727272727272728,-0.03389786883558118,"-59.86%",0.0022650056625141564,0.0023923444976076554,0.00012733883509349897,"5.62%"
class retrofit.mime.MultipartTypedOutput,25,0,-25,"-INF%",24,0,-24,"-INF%",0.028312570781426953,0.0,-0.028312570781426953,"-INF%",0.027180067950169876,0.0,-0.027180067950169876,"-INF%"
class retrofit.converter.GsonConverter,1027,1259,232,"22.59%",1022,1255,233,"22.8%",1.1630804077010193,1.505980861244019,0.3429004535429998,"29.48%",1.157417893544734,1.5011961722488039,0.34377827870406996,"29.7%"
class retrofit.RequestBuilder,4944,5191,247,"5.0%",4784,4986,202,"4.22%",5.599093997734994,6.20933014354067,0.6102361458056755,"10.9%",5.417893544733862,5.964114832535885,0.5462212878020232,"10.08%"
class retrofit.SerializedObjectSupporter,1115,1368,253,"22.69%",1,1,0,"0.0%",1.2627406568516422,1.6363636363636365,0.3736229795119943,"29.59%",0.0011325028312570782,0.0011961722488038277,6.366941754674948e-05,"5.62%"
class [Ljava.lang.Object;,84,189,105,"125.0%",14,57,43,"307.14%",0.09513023782559456,0.22607655502392343,0.1309463171983289,"137.65%",0.015855039637599093,0.06818181818181818,0.052326778544219084,"330.03%"
class java.lang.Boolean,95,248,153,"161.05%",1,1,0,"0.0%",0.10758776896942242,0.2966507177033493,0.18906294873392687,"175.73%",0.0011325028312570782,0.0011961722488038277,6.366941754674948e-05,"5.62%"
class java.lang.Class,33,24,-9,"-27.27%",5,7,2,"40.0%",0.03737259343148358,0.028708133971291867,-0.008664459460191714,"-23.18%",0.0056625141562853904,0.008373205741626795,0.002710691585341404,"47.87%"
class java.util.Collections$EmptyList,36,29,-7,"-19.44%",1,1,0,"0.0%",0.04077010192525481,0.034688995215311005,-0.006081106709943808,"-14.92%",0.0011325028312570782,0.0011961722488038277,6.366941754674948e-05,"5.62%"
