Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public static final int org.apache.storm.kafka.spout.KafkaSpoutConfig.DEFAULT_MAX_UNCOMMITTED_OFFSETS",1,1,0,"0.0%",0.004651162790697674,0.004651162790697674,0.0,"0.0%"
"public static final int org.apache.storm.kafka.spout.KafkaSpoutConfig.DEFAULT_MAX_RETRIES",1,1,0,"0.0%",0.004651162790697674,0.004651162790697674,0.0,"0.0%"
"public static final java.lang.String org.apache.storm.kafka.spout.KafkaSpoutConfig$Consumer.AUTO_COMMIT_INTERVAL_MS",1,1,0,"0.0%",0.004651162790697674,0.004651162790697674,0.0,"0.0%"
"LATEST",1,1,0,"0.0%",0.004651162790697674,0.004651162790697674,0.0,"0.0%"
"UNCOMMITTED_EARLIEST",1,1,0,"0.0%",0.004651162790697674,0.004651162790697674,0.0,"0.0%"
"EARLIEST",1,1,0,"0.0%",0.004651162790697674,0.004651162790697674,0.0,"0.0%"
"UNCOMMITTED_LATEST",1,1,0,"0.0%",0.004651162790697674,0.004651162790697674,0.0,"0.0%"
"public static final long org.apache.storm.kafka.spout.KafkaSpoutConfig.DEFAULT_OFFSET_COMMIT_PERIOD_MS",1,1,0,"0.0%",0.004651162790697674,0.004651162790697674,0.0,"0.0%"
"public static final java.lang.String org.apache.storm.kafka.spout.KafkaSpoutConfig$Consumer.GROUP_ID",1,1,0,"0.0%",0.004651162790697674,0.004651162790697674,0.0,"0.0%"
"public static final long org.apache.storm.kafka.spout.KafkaSpoutConfig.DEFAULT_POLL_TIMEOUT_MS",1,1,0,"0.0%",0.004651162790697674,0.004651162790697674,0.0,"0.0%"
"public static final java.lang.String org.apache.storm.kafka.spout.KafkaSpoutConfig$Consumer.VALUE_DESERIALIZER",1,1,0,"0.0%",0.004651162790697674,0.004651162790697674,0.0,"0.0%"
"public static final java.lang.String org.apache.storm.kafka.spout.KafkaSpoutConfig$Consumer.BOOTSTRAP_SERVERS",1,1,0,"0.0%",0.004651162790697674,0.004651162790697674,0.0,"0.0%"
"public final native java.lang.Class java.lang.Object.getClass()",5,5,0,"0.0%",0.023255813953488372,0.023255813953488372,0.0,"0.0%"
"java.lang.Object()",1,1,0,"0.0%",0.004651162790697674,0.004651162790697674,0.0,"0.0%"
"org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder(java.util.Map| org.apache.storm.kafka.spout.KafkaSpoutStreams| org.apache.storm.kafka.spout.KafkaSpoutTuplesBuilder)",100,100,0,"0.0%",0.46511627906976744,0.46511627906976744,0.0,"0.0%"
"org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder(java.util.Map| org.apache.storm.kafka.spout.KafkaSpoutStreams| org.apache.storm.kafka.spout.KafkaSpoutTuplesBuilder| org.apache.storm.kafka.spout.KafkaSpoutRetryService)",100,100,0,"0.0%",0.46511627906976744,0.46511627906976744,0.0,"0.0%"
"public static final java.lang.String org.apache.storm.kafka.spout.KafkaSpoutConfig$Consumer.ENABLE_AUTO_COMMIT",1,1,0,"0.0%",0.004651162790697674,0.004651162790697674,0.0,"0.0%"
"public static final java.lang.String org.apache.storm.kafka.spout.KafkaSpoutConfig$Consumer.KEY_DESERIALIZER",1,1,0,"0.0%",0.004651162790697674,0.004651162790697674,0.0,"0.0%"
