Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public java.util.Optional org.apache.kafka.clients.consumer.ConsumerRecord.leaderEpoch()",10722,12149,1427,"13.31%",0.875265306122449,0.9149032306649597,0.039637924542510694,"4.53%"
"public long org.apache.kafka.clients.consumer.ConsumerRecord.checksum()",7947,7776,-171,"-2.15%",0.648734693877551,0.5855862640259055,-0.06314842985164548,"-9.73%"
"public int org.apache.kafka.clients.consumer.ConsumerRecord.partition()",14050,7866,-6184,"-44.01%",1.146938775510204,0.5923638828225017,-0.5545748926877023,"-48.35%"
"public static final int org.apache.kafka.clients.consumer.ConsumerRecord.NULL_SIZE",1,1,0,"0.0%",8.163265306122449e-05,7.530687551773477e-05,-6.325777543489722e-06,"-7.75%"
"public long org.apache.kafka.clients.consumer.ConsumerRecord.timestamp()",11001,7181,-3820,"-34.72%",0.8980408163265307,0.5407786730928533,-0.35726214323367733,"-39.78%"
"public java.lang.String org.apache.kafka.clients.consumer.ConsumerRecord.topic()",12771,9296,-3475,"-27.21%",1.042530612244898,0.7000527148128625,-0.3424778974320356,"-32.85%"
"public java.lang.Object org.apache.kafka.clients.consumer.ConsumerRecord.value()",8790,17401,8611,"97.96%",0.7175510204081633,1.3104149408841028,0.5928639204759395,"82.62%"
"public static final int org.apache.kafka.clients.consumer.ConsumerRecord.NULL_CHECKSUM",1,1,0,"0.0%",8.163265306122449e-05,7.530687551773477e-05,-6.325777543489722e-06,"-7.75%"
"public org.apache.kafka.common.record.TimestampType org.apache.kafka.clients.consumer.ConsumerRecord.timestampType()",27458,18518,-8940,"-32.56%",2.241469387755102,1.3945327208374125,-0.8469366669176897,"-37.78%"
"public java.lang.String org.apache.kafka.clients.consumer.ConsumerRecord.toString()",7149,4715,-2434,"-34.05%",0.5835918367346938,0.35507191806611943,-0.2285199186685744,"-39.16%"
"public java.lang.Object org.apache.kafka.clients.consumer.ConsumerRecord.key()",8607,11082,2475,"28.76%",0.7026122448979591,0.8345507944875367,0.13193854958957751,"18.78%"
"public int org.apache.kafka.clients.consumer.ConsumerRecord.serializedKeySize()",6998,11604,4606,"65.82%",0.571265306122449,0.8738609835077943,0.3025956773853453,"52.97%"
"org.apache.kafka.clients.consumer.ConsumerRecord(java.lang.String| int| long| long| org.apache.kafka.common.record.TimestampType| long| int| int| java.lang.Object| java.lang.Object)",5131,24507,19376,"377.63%",0.4188571428571429,1.845545598313126,1.426688455455983,"340.61%"
"org.apache.kafka.clients.consumer.ConsumerRecord(java.lang.String| int| long| java.lang.Object| java.lang.Object)",31413,19016,-12397,"-39.46%",2.5643265306122447,1.4320355448452444,-1.1322909857670003,"-44.16%"
"org.apache.kafka.clients.consumer.ConsumerRecord(java.lang.String| int| long| long| org.apache.kafka.common.record.TimestampType| java.lang.Long| int| int| java.lang.Object| java.lang.Object| org.apache.kafka.common.header.Headers)",2168,3093,925,"42.67%",0.1769795918367347,0.23292416597635365,0.05594457413961895,"31.61%"
"org.apache.kafka.clients.consumer.ConsumerRecord(java.lang.String| int| long| long| org.apache.kafka.common.record.TimestampType| java.lang.Long| int| int| java.lang.Object| java.lang.Object| org.apache.kafka.common.header.Headers| java.util.Optional)",2028,1380,-648,"-31.95%",0.16555102040816327,0.10392348821447397,-0.0616275321936893,"-37.23%"
"public org.apache.kafka.common.header.Headers org.apache.kafka.clients.consumer.ConsumerRecord.headers()",12198,11339,-859,"-7.04%",0.9957551020408163,0.8539046614955945,-0.14185044054522178,"-14.25%"
"public final native java.lang.Class java.lang.Object.getClass()",4361,5040,679,"15.57%",0.356,0.37954665260938325,0.023546652609383267,"6.61%"
"java.lang.Object()",1,158,157,"15700.0%",8.163265306122449e-05,0.011898486331802094,0.01181685367874087,"14475.65%"
"public static final long org.apache.kafka.clients.consumer.ConsumerRecord.NO_TIMESTAMP",1,1,0,"0.0%",8.163265306122449e-05,7.530687551773477e-05,-6.325777543489722e-06,"-7.75%"
"public int org.apache.kafka.clients.consumer.ConsumerRecord.serializedValueSize()",16565,9968,-6597,"-39.82%",1.3522448979591837,0.7506589351607802,-0.6015859627984035,"-44.49%"
"public long org.apache.kafka.clients.consumer.ConsumerRecord.offset()",13038,8556,-4482,"-34.38%",1.064326530612245,0.6443256269297387,-0.4200009036825062,"-39.46%"
"org.apache.storm.kafka.spout.KafkaSpout(org.apache.storm.kafka.spout.KafkaSpoutConfig)",196,196,0,"0.0%",0.016,0.014760147601476014,-0.001239852398523986,"-7.75%"
