Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.discriminator(io.swagger.oas.models.media.Discriminator)",1345,1384,39,"2.9%",0.09535625664657922,0.10199719949885769,0.006640942852278467,"6.96%"
"public java.lang.Object io.swagger.oas.models.media.Schema.getDefault()",710,18,-692,"-97.46%",0.05033676001417937,0.0013265531726730046,-0.049010206841506365,"-97.36%"
"io.swagger.oas.annotations.servers.Server[1]",5,21,16,"320.0%",0.0003544842254519674,0.0015476453681185054,0.001193161142666538,"336.59%"
"java.lang.String[31]",20,0,-20,"-INF%",0.0014179369018078695,0.0,-0.0014179369018078695,"-INF%"
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.format(java.lang.String)",1680,1632,-48,"-2.86%",0.11910669975186104,0.12027415432235242,0.0011674545704913747,"0.98%"
"public java.lang.Boolean io.swagger.oas.models.media.Schema.getNullable()",4560,839,-3721,"-81.6%",0.32328961361219427,0.06183211732625838,-0.2614574962859359,"-80.87%"
"io.swagger.oas.annotations.servers.Server[0]",4,26,22,"550.0%",0.0002835873803615739,0.0019161323605276733,0.0016325449801660994,"575.68%"
"public java.util.Map io.swagger.oas.models.media.Schema.getProperties()",1338,3933,2595,"193.95%",0.09485997873094647,0.2898518682290515,0.19499188949810503,"205.56%"
"java.lang.reflect.AnnotatedElement[1]",330,0,-330,"-INF%",0.02339595887982985,0.0,-0.02339595887982985,"-INF%"
"java.lang.reflect.AnnotatedElement[3]",95,0,-95,"-INF%",0.00673520028358738,0.0,-0.00673520028358738,"-INF%"
"public static java.util.Optional io.swagger.jaxrs2.OperationParser.getInfo(io.swagger.oas.annotations.info.Info)",426,1,-425,"-99.77%",0.030202056008507623,7.369739848183359e-05,-0.03012835861002579,"-99.76%"
"public void io.swagger.oas.models.media.Schema.addEnumItemObject(java.lang.Object)",619,798,179,"28.92%",0.043885147110953565,0.058810523988503206,0.014925376877549641,"34.01%"
"public void io.swagger.oas.models.media.Schema.setUniqueItems(java.lang.Boolean)",2026,948,-1078,"-53.21%",0.14363700815313718,0.06986513376077824,-0.07377187439235894,"-51.36%"
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.additionalProperties(io.swagger.oas.models.media.Schema)",1762,1735,-27,"-1.53%",0.12492024104927331,0.1278649863659813,0.002944745316707978,"2.36%"
"public void io.swagger.oas.models.media.Schema.setMinimum(java.math.BigDecimal)",710,3031,2321,"326.9%",0.05033676001417937,0.22337681479843763,0.17304005478425827,"343.76%"
"public java.lang.String io.swagger.oas.models.media.Schema.getPattern()",6780,773,-6007,"-88.6%",0.4806806097128678,0.056968089026457364,-0.4237125206864104,"-88.15%"
"public java.lang.Boolean io.swagger.oas.models.media.Schema.getReadOnly()",5951,646,-5305,"-89.14%",0.4219071251329316,0.0476085194192645,-0.37429860571366713,"-88.72%"
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.maxLength(java.lang.Integer)",2371,61869,59498,"2509.41%",0.16809641970932293,4.559584346672563,4.39148792696324,"2612.48%"
