Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.util.ArrayList,1823,10420,8597,"471.59%",40,58,18,"45.0%",0.1297508896797153,0.7694579825727367,0.6397070928930214,"493.03%",0.0028469750889679717,0.00428297149608625,0.0014359964071182785,"50.44%"
class java.lang.String,1768,2906,1138,"64.37%",134,66,-68,"-50.75%",0.12583629893238435,0.214591640821149,0.08875534188876466,"70.53%",0.009537366548042705,0.004873726185201595,-0.004663640362841111,"-48.9%"
class [Ljava.lang.String;,1492,5876,4384,"293.83%",16,14,-2,"-12.5%",0.10619217081850534,0.4339093191552208,0.32771714833671545,"308.61%",0.0011387900355871886,0.0010338207059518536,-0.00010496932963533498,"-9.22%"
class [Lio.swagger.oas.annotations.links.Link;,7,48,41,"585.71%",2,2,0,"0.0%",0.000498220640569395,0.003544528134692069,0.003046307494122674,"611.44%",0.00014234875444839857,0.0001476886722788362,5.33991783043764e-06,"3.75%"
class io.swagger.oas.models.media.Schema,143621,149512,5891,"4.1%",14581,13827,-754,"-5.17%",10.222135231316726,11.04061438487668,0.818479153559954,"8.01%",1.03779359430605,1.0210456357997342,-0.01674795850631572,"-1.61%"
class io.swagger.jaxrs2.OperationParser,544,5,-539,"-99.08%",1,1,0,"0.0%",0.038718861209964414,0.0003692216806970905,-0.03834963952926732,"-99.05%",7.117437722419929e-05,7.38443361394181e-05,2.66995891521882e-06,"3.75%"
class java.lang.Boolean,3756,13670,9914,"263.95%",2,2,0,"0.0%",0.2673309608540925,1.0094520750258456,0.742121114171753,"277.6%",0.00014234875444839857,0.0001476886722788362,5.33991783043764e-06,"3.75%"
class [Lio.swagger.oas.annotations.Parameter;,154,32,-122,"-79.22%",2,2,0,"0.0%",0.01096085409252669,0.0023630187564613794,-0.00859783533606531,"-78.44%",0.00014234875444839857,0.0001476886722788362,5.33991783043764e-06,"3.75%"
class java.util.Optional,1019,7982,6963,"683.32%",12,149,137,"1141.67%",0.07252669039145908,0.5894254910648353,0.5168988006733762,"712.7%",0.0008540925266903915,0.011002806084773298,0.010148713558082906,"1188.25%"
class [Lio.swagger.oas.annotations.responses.ApiResponse;,2,31,29,"1450.0%",2,2,0,"0.0%",0.00014234875444839857,0.0022891744203219614,0.0021468256658735627,"1508.15%",0.00014234875444839857,0.0001476886722788362,5.33991783043764e-06,"3.75%"
class java.util.LinkedHashMap,2917,277,-2640,"-90.5%",36,7,-29,"-80.56%",0.2076156583629893,0.020454881110618814,-0.1871607772523705,"-90.15%",0.002562277580071174,0.0005169103529759268,-0.0020453672270952473,"-79.83%"
class java.lang.Class,269,238,-31,"-11.52%",7,8,1,"14.29%",0.019145907473309607,0.01757495200118151,-0.001570955472128096,"-8.21%",0.000498220640569395,0.0005907546891153448,9.253404854594983e-05,"18.57%"
class java.util.HashMap,328,733,405,"123.48%",8,14,6,"75.0%",0.023345195729537367,0.054127898390193475,0.03078270266065611,"131.86%",0.0005693950177935943,0.0010338207059518536,0.0004644256881582593,"81.56%"
class [Lio.swagger.oas.annotations.servers.Server;,95,3066,2971,"3127.37%",2,2,0,"0.0%",0.006761565836298933,0.22640673460345592,0.21964516876715698,"3248.44%",0.00014234875444839857,0.0001476886722788362,5.33991783043764e-06,"3.75%"
class java.lang.Object,7,0,-7,"-INF%",1,0,-1,"-INF%",0.000498220640569395,0.0,-0.000498220640569395,"-INF%",7.117437722419929e-05,0.0,-7.117437722419929e-05,"-INF%"
class [Lio.swagger.oas.annotations.media.Content;,5,55,50,"1000.0%",2,2,0,"0.0%",0.00035587188612099647,0.004061438487667996,0.0037055666015469993,"1041.26%",0.00014234875444839857,0.0001476886722788362,5.33991783043764e-06,"3.75%"
class java.lang.Integer,0,1,1,"INF%",0,1,1,"INF%",0.0,7.38443361394181e-05,7.38443361394181e-05,"INF%",0.0,7.38443361394181e-05,7.38443361394181e-05,"INF%"
class [Lio.swagger.oas.models.servers.Server;,0,1272,1272,"INF%",0,1,1,"INF%",0.0,0.09392999556933983,0.09392999556933983,"INF%",0.0,7.38443361394181e-05,7.38443361394181e-05,"INF%"
