Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public java.util.Arrays com.github.kongchen.swagger.docgen.reader.SerializedObjectSupporter.deserializeObjectArrays157() throws java.io.IOException",8,10,2,"25.0%",0.003432003432003432,0.004545454545454545,0.0011134511134511132,"32.44%"
"public java.util.Arrays com.github.kongchen.swagger.docgen.reader.SerializedObjectSupporter.deserializeObjectArrays162() throws java.io.IOException",10,10,0,"0.0%",0.00429000429000429,0.004545454545454545,0.0002554502554502555,"5.95%"
"public com.github.kongchen.swagger.docgen.LogAdapter com.github.kongchen.swagger.docgen.reader.AbstractReader.getLOG()",43,19,-24,"-55.81%",0.018447018447018446,0.008636363636363636,-0.00981065481065481,"-53.18%"
"public java.util.Arrays com.github.kongchen.swagger.docgen.reader.SerializedObjectSupporter.deserializeObjectArrays161() throws java.io.IOException",9,5,-4,"-44.44%",0.003861003861003861,0.0022727272727272726,-0.0015882765882765885,"-41.14%"
"public java.util.Arrays com.github.kongchen.swagger.docgen.reader.SerializedObjectSupporter.deserializeObjectArrays160() throws java.io.IOException",8,7,-1,"-12.5%",0.003432003432003432,0.003181818181818182,-0.0002501852501852501,"-7.29%"
"public void com.github.kongchen.swagger.docgen.reader.AbstractReader.updateExtensionChain()",25,12,-13,"-52.0%",0.010725010725010725,0.005454545454545455,-0.00527046527046527,"-49.14%"
"public void com.github.kongchen.swagger.docgen.reader.AbstractReader.updatePath(java.lang.String|java.lang.String|io.swagger.models.Operation)",12,10,-2,"-16.67%",0.005148005148005148,0.004545454545454545,-0.0006025506025506026,"-11.7%"
"com.github.kongchen.swagger.docgen.reader.SerializedObjectSupporter()",2395,2398,3,"0.13%",1.0274560274560274,1.09,0.0625439725439727,"6.09%"
"public void com.github.kongchen.swagger.docgen.reader.AbstractReader.updateTagsForOperation(io.swagger.models.Operation|io.swagger.annotations.ApiOperation)",33,14,-19,"-57.58%",0.014157014157014158,0.006363636363636364,-0.007793377793377794,"-55.05%"
"public boolean com.github.kongchen.swagger.docgen.reader.AbstractReader.canReadApi(boolean|io.swagger.annotations.Api)",15,13,-2,"-13.33%",0.006435006435006435,0.005909090909090909,-0.0005259155259155256,"-8.17%"
"public java.lang.String com.github.kongchen.swagger.docgen.reader.SpringMvcApiReader.getresourcePath()",76,8,-68,"-89.47%",0.03260403260403261,0.0036363636363636364,-0.02896766896766897,"-88.85%"
"public java.util.Arrays com.github.kongchen.swagger.docgen.reader.SerializedObjectSupporter.deserializeObjectArrays9() throws java.io.IOException",8,8,0,"0.0%",0.003432003432003432,0.0036363636363636364,0.00020436020436020432,"5.95%"
"public java.util.Arrays com.github.kongchen.swagger.docgen.reader.SerializedObjectSupporter.deserializeObjectArrays8() throws java.io.IOException",11,11,0,"0.0%",0.004719004719004719,0.005,0.0002809952809952809,"5.95%"
"public java.util.Arrays com.github.kongchen.swagger.docgen.reader.SerializedObjectSupporter.deserializeObjectArrays3() throws java.io.IOException",14,12,-2,"-14.29%",0.006006006006006006,0.005454545454545455,-0.000551460551460551,"-9.18%"
"public com.github.kongchen.swagger.docgen.reader.JaxrsReader com.github.kongchen.swagger.docgen.reader.SerializedObjectSupporter.deserializeObjectJaxrsReader60() throws java.io.IOException",38,37,-1,"-2.63%",0.016302016302016303,0.01681818181818182,0.0005161655161655156,"3.17%"
"public com.github.kongchen.swagger.docgen.reader.JaxrsReader com.github.kongchen.swagger.docgen.reader.SerializedObjectSupporter.deserializeObjectJaxrsReader61() throws java.io.IOException",65,18,-47,"-72.31%",0.027885027885027884,0.008181818181818182,-0.0197032097032097,"-70.66%"
"public com.github.kongchen.swagger.docgen.reader.JaxrsReader com.github.kongchen.swagger.docgen.reader.SerializedObjectSupporter.deserializeObjectJaxrsReader66() throws java.io.IOException",18,19,1,"5.56%",0.007722007722007722,0.008636363636363636,0.0009143559143559143,"11.84%"
"public com.github.kongchen.swagger.docgen.reader.JaxrsReader com.github.kongchen.swagger.docgen.reader.SerializedObjectSupporter.deserializeObjectJaxrsReader64() throws java.io.IOException",49,38,-11,"-22.45%",0.021021021021021023,0.017272727272727273,-0.0037482937482937496,"-17.83%"
