Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.String,87,34,-53,"-60.92%",11,8,-3,"-27.27%",0.03732303732303732,0.015454545454545455,-0.021868491868491866,"-58.59%",0.004719004719004719,0.0036363636363636364,-0.0010826410826410829,"-22.94%"
class [Ljava.lang.annotation.Annotation;,24,18,-6,"-25.0%",1,1,0,"0.0%",0.010296010296010296,0.008181818181818182,-0.002114192114192113,"-20.53%",0.000429000429000429,0.00045454545454545455,2.554502554502554e-05,"5.95%"
class java.util.LinkedHashSet,48,2,-46,"-95.83%",1,2,1,"100.0%",0.02059202059202059,0.0009090909090909091,-0.019682929682929683,"-95.59%",0.000429000429000429,0.0009090909090909091,0.0004800904800904801,"111.91%"
class com.github.kongchen.swagger.docgen.LogAdapter,27,34,7,"25.93%",27,34,7,"25.93%",0.011583011583011582,0.015454545454545455,0.0038715338715338728,"33.42%",0.011583011583011582,0.015454545454545455,0.0038715338715338728,"33.42%"
class com.github.kongchen.swagger.docgen.reader.SerializedObjectSupporter,2395,2398,3,"0.13%",1,1,0,"0.0%",1.0274560274560274,1.09,0.0625439725439727,"6.09%",0.000429000429000429,0.00045454545454545455,2.554502554502554e-05,"5.95%"
class [Ljava.lang.reflect.Method;,18,16,-2,"-11.11%",1,1,0,"0.0%",0.007722007722007722,0.007272727272727273,-0.00044928044928044947,"-5.82%",0.000429000429000429,0.00045454545454545455,2.554502554502554e-05,"5.95%"
class java.util.HashMap,19,17,-2,"-10.53%",1,1,0,"0.0%",0.008151008151008152,0.007727272727272728,-0.0004237354237354241,"-5.2%",0.000429000429000429,0.00045454545454545455,2.554502554502554e-05,"5.95%"
class java.util.HashSet,33,22,-11,"-33.33%",1,1,0,"0.0%",0.014157014157014158,0.01,-0.004157014157014157,"-29.36%",0.000429000429000429,0.00045454545454545455,2.554502554502554e-05,"5.95%"
class [Lio.swagger.annotations.ResponseHeader;,3,5,2,"66.67%",2,2,0,"0.0%",0.001287001287001287,0.0022727272727272726,0.0009857259857259857,"76.59%",0.000858000858000858,0.0009090909090909091,5.109005109005108e-05,"5.95%"
class [Lio.swagger.models.parameters.Parameter;,4,1,-3,"-75.0%",1,1,0,"0.0%",0.001716001716001716,0.00045454545454545455,-0.0012614562614562614,"-73.51%",0.000429000429000429,0.00045454545454545455,2.554502554502554e-05,"5.95%"
class [Ljava.lang.String;,100,71,-29,"-29.0%",15,7,-8,"-53.33%",0.0429000429000429,0.03227272727272727,-0.010627315627315628,"-24.77%",0.006435006435006435,0.003181818181818182,-0.0032531882531882527,"-50.55%"
class com.github.kongchen.swagger.docgen.reader.SpringMvcApiReader,9844,9863,19,"0.19%",9708,9862,154,"1.59%",4.223080223080223,4.483181818181818,0.26010159510159525,"6.16%",4.164736164736165,4.4827272727272724,0.31799110799110775,"7.64%"
class com.github.kongchen.swagger.docgen.reader.JaxrsReader,5156,4694,-462,"-8.96%",5156,4694,-462,"-8.96%",2.2119262119262117,2.1336363636363638,-0.07828984828984797,"-3.54%",2.2119262119262117,2.1336363636363638,-0.07828984828984797,"-3.54%"
class io.swagger.models.Swagger,26,33,7,"26.92%",9,12,3,"33.33%",0.011154011154011155,0.015,0.003845988845988845,"34.48%",0.003861003861003861,0.005454545454545455,0.0015935415935415939,"41.27%"
class [Lio.swagger.models.SecurityRequirement;,24,24,0,"0.0%",1,1,0,"0.0%",0.010296010296010296,0.01090909090909091,0.0006130806130806143,"5.95%",0.000429000429000429,0.00045454545454545455,2.554502554502554e-05,"5.95%"
class java.util.ArrayList,127,98,-29,"-22.83%",2,2,0,"0.0%",0.05448305448305448,0.04454545454545455,-0.009937599937599934,"-18.24%",0.000858000858000858,0.0009090909090909091,5.109005109005108e-05,"5.95%"
class java.lang.Boolean,212,94,-118,"-55.66%",2,2,0,"0.0%",0.09094809094809095,0.042727272727272725,-0.04822081822081822,"-53.02%",0.000858000858000858,0.0009090909090909091,5.109005109005108e-05,"5.95%"
class java.lang.Class,22,23,1,"4.55%",3,2,-1,"-33.33%",0.009438009438009438,0.010454545454545454,0.0010165360165360158,"10.77%",0.001287001287001287,0.0009090909090909091,-0.00037791037791037787,"-29.36%"
class [Ljava.lang.reflect.Type;,84,6,-78,"-92.86%",2,3,1,"50.0%",0.036036036036036036,0.0027272727272727275,-0.03330876330876331,"-92.43%",0.000858000858000858,0.0013636363636363637,0.0005056355056355057,"58.93%"
