Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class com.esotericsoftware.kryo.Kryo,1,1,0,"0.0%",1,1,0,"0.0%",0.0005707762557077625,0.0006045949214026602,3.3818665694897664e-05,"5.93%",0.0005707762557077625,0.0006045949214026602,3.3818665694897664e-05,"5.93%"
class com.google.common.cache.LocalCache$LocalManualCache,6,5,-1,"-16.67%",1,1,0,"0.0%",0.003424657534246575,0.003022974607013301,-0.0004016829272332741,"-11.73%",0.0005707762557077625,0.0006045949214026602,3.3818665694897664e-05,"5.93%"
class java.lang.Integer,9,8,-1,"-11.11%",3,3,0,"0.0%",0.005136986301369863,0.0048367593712212815,-0.0003002269301485812,"-5.84%",0.0017123287671232876,0.0018137847642079807,0.0001014559970846931,"5.93%"
class com.thinkaurelius.titan.graphdb.database.serialize.kryo.KryoSerializer$2,6,0,-6,"-INF%",5,0,-5,"-INF%",0.003424657534246575,0.0,-0.003424657534246575,"-INF%",0.0028538812785388126,0.0,-0.0028538812785388126,"-INF%"
class java.util.HashMap,6,1,-5,"-83.33%",2,1,-1,"-50.0%",0.003424657534246575,0.0006045949214026602,-0.002820062612843915,"-82.35%",0.001141552511415525,0.0006045949214026602,-0.0005369575900128649,"-47.04%"
class com.thinkaurelius.titan.graphdb.database.serialize.SerializedObjectSupporter,1739,1645,-94,"-5.41%",1,1,0,"0.0%",0.992579908675799,0.9945586457073761,0.001978737031577027,"0.2%",0.0005707762557077625,0.0006045949214026602,3.3818665694897664e-05,"5.93%"
class com.thinkaurelius.titan.graphdb.database.serialize.kryo.KryoSerializer$1,1,3,2,"200.0%",1,1,0,"0.0%",0.0005707762557077625,0.0018137847642079807,0.0012430085085002182,"217.78%",0.0005707762557077625,0.0006045949214026602,3.3818665694897664e-05,"5.93%"
class com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization,6,5,-1,"-16.67%",4,5,1,"25.0%",0.003424657534246575,0.003022974607013301,-0.0004016829272332741,"-11.73%",0.00228310502283105,0.003022974607013301,0.000739869584182251,"32.41%"
class java.lang.Boolean,7,5,-2,"-28.57%",1,1,0,"0.0%",0.003995433789954338,0.003022974607013301,-0.0009724591829410366,"-24.34%",0.0005707762557077625,0.0006045949214026602,3.3818665694897664e-05,"5.93%"
class java.lang.Class,3,7,4,"133.33%",1,1,0,"0.0%",0.0017123287671232876,0.004232164449818622,0.002519835682695334,"147.16%",0.0005707762557077625,0.0006045949214026602,3.3818665694897664e-05,"5.93%"
class com.thinkaurelius.titan.graphdb.database.serialize.kryo.KryoSerializer,14675,14972,297,"2.02%",14675,14972,297,"2.02%",8.376141552511415,9.051995163240628,0.675853610729213,"8.07%",8.376141552511415,9.051995163240628,0.675853610729213,"8.07%"
class com.thinkaurelius.titan.graphdb.database.serialize.kryo.KryoSerializer$TypeRegistration,5,37,32,"640.0%",2,2,0,"0.0%",0.0028538812785388126,0.022370012091898428,0.019516130813359615,"683.85%",0.001141552511415525,0.0012091898428053204,6.763733138979533e-05,"5.93%"
class com.thinkaurelius.titan.graphdb.database.serialize.kryo.KryoDataOutput,1,0,-1,"-INF%",1,0,-1,"-INF%",0.0005707762557077625,0.0,-0.0005707762557077625,"-INF%",0.0005707762557077625,0.0,-0.0005707762557077625,"-INF%"
